BRN,ACC,CCY,VERSION_NO,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,CREATION_DT,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_EVENT_SEQ_NO,TENOR,NEXT_RATE_CHANGE_DT,INPUT_TAX_AMT,TD_MATURITY_AMT,TD_INT_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,XREF,TD_PRN_AMT_READJ_CCY,TD_INT_AMT,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,TXN_ID,ARCHIVE_DATE
011,100000000011,EUR,2588,P,18054.800,OFF,100000000011,TRN000000000011,2026-01-11,2026-01-11,TD_DEPOSITER,Td Depositer Name 11,TD_CERT_COLL,Td Cert Collector Name 11,TD_WITHDRAWE,Td Withdrawer Name 11,2026-01-11,E,J,JOINT_HOLDER,2026-01-11,PAY,100000000011,EUR,RA,RO,100000000011,INT,EUR,A,G,G,ADVICE_MEDIA_11,EMAIL_11,CU,D,A,A,REASON_CODE_11,6487,8615,2026-01-11,11879.700,21573.100,2921.6000,23134.2000,XREF_11,5637.1000,15385.100,21239.0000,A,647207,3.10000,2026-01-11,383063,255794,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-11,011,MAI,MAI,MAI,CMA,4.2400,COMME,011,847233,104630,BAE,AUTHORIZE,VAL,M,DESTI,CUST000011,CUST000011,OPERATION_KEY_1,D,D,B,2.68000,1.73000,A,RATE_CODE_,4.24000,M,RETN_,RETN_,53957.00000,477038.00000,15316.7000,NAT,TXN0000000000000011,2026-01-11
012,100000000012,BRL,3050,P,4368.400,OFF,100000000012,TRN000000000012,2026-01-12,2026-01-12,TD_DEPOSITER,Td Depositer Name 12,TD_CERT_COLL,Td Cert Collector Name 12,TD_WITHDRAWE,Td Withdrawer Name 12,2026-01-12,E,J,JOINT_HOLDER,2026-01-12,PAY,100000000012,BRL,RA,RO,100000000012,INT,BRL,A,G,G,ADVICE_MEDIA_12,EMAIL_12,CU,D,A,A,REASON_CODE_12,8113,2692,2026-01-12,23931.200,17788.400,10298.3000,15813.2000,XREF_12,21988.2000,19290.900,24231.9000,A,762240,3.69000,2026-01-12,979568,360350,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-12,012,MAI,MAI,MAI,CMA,4.0600,COMME,012,125927,579615,BAE,AUTHORIZE,VAL,M,DESTI,CUST000012,CUST000012,OPERATION_KEY_1,D,D,B,2.03000,2.58000,A,RATE_CODE_,1.80000,M,RETN_,RETN_,244224.00000,989550.00000,4430.6000,NAT,TXN0000000000000012,2026-01-12
013,100000000013,USD,2033,P,20605.200,OFF,100000000013,TRN000000000013,2026-01-13,2026-01-13,TD_DEPOSITER,Td Depositer Name 13,TD_CERT_COLL,Td Cert Collector Name 13,TD_WITHDRAWE,Td Withdrawer Name 13,2026-01-13,E,J,JOINT_HOLDER,2026-01-13,PAY,100000000013,USD,RA,RO,100000000013,INT,USD,A,G,G,ADVICE_MEDIA_13,EMAIL_13,CU,D,A,A,REASON_CODE_13,4179,2376,2026-01-13,10618.600,2113.300,3244.0000,9019.4000,XREF_13,1572.2000,8391.300,17940.1000,A,228770,3.48000,2026-01-13,876810,574858,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-13,013,MAI,MAI,MAI,CMA,2.1300,COMME,013,478137,170484,BAE,AUTHORIZE,VAL,M,DESTI,CUST000013,CUST000013,OPERATION_KEY_1,D,D,B,2.44000,3.80000,A,RATE_CODE_,3.26000,M,RETN_,RETN_,790160.00000,407202.00000,3471.0000,NAT,TXN0000000000000013,2026-01-13
014,100000000014,PEN,3175,P,21578.000,OFF,100000000014,TRN000000000014,2026-01-14,2026-01-14,TD_DEPOSITER,Td Depositer Name 14,TD_CERT_COLL,Td Cert Collector Name 14,TD_WITHDRAWE,Td Withdrawer Name 14,2026-01-14,E,J,JOINT_HOLDER,2026-01-14,PAY,100000000014,PEN,RA,RO,100000000014,INT,PEN,A,G,G,ADVICE_MEDIA_14,EMAIL_14,CU,D,A,A,REASON_CODE_14,7565,8615,2026-01-14,24844.900,22909.200,22007.7000,1914.3000,XREF_14,24042.5000,17517.600,11457.5000,A,466324,3.53000,2026-01-14,454531,968231,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-14,014,MAI,MAI,MAI,CMA,4.4400,COMME,014,974637,326615,BAE,AUTHORIZE,VAL,M,DESTI,CUST000014,CUST000014,OPERATION_KEY_1,D,D,B,1.78000,4.15000,A,RATE_CODE_,2.75000,M,RETN_,RETN_,147478.00000,979345.00000,5891.8000,NAT,TXN0000000000000014,2026-01-14
015,100000000015,EUR,341,P,8625.200,OFF,100000000015,TRN000000000015,2026-01-15,2026-01-15,TD_DEPOSITER,Td Depositer Name 15,TD_CERT_COLL,Td Cert Collector Name 15,TD_WITHDRAWE,Td Withdrawer Name 15,2026-01-15,E,J,JOINT_HOLDER,2026-01-15,PAY,100000000015,EUR,RA,RO,100000000015,INT,EUR,A,G,G,ADVICE_MEDIA_15,EMAIL_15,CU,D,A,A,REASON_CODE_15,8515,7625,2026-01-15,2601.700,24614.900,6878.7000,9266.4000,XREF_15,14100.4000,11900.000,19844.4000,A,20323,1.63000,2026-01-15,725589,330775,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-15,015,MAI,MAI,MAI,CMA,0.8600,COMME,015,340096,105487,BAE,AUTHORIZE,VAL,M,DESTI,CUST000015,CUST000015,OPERATION_KEY_1,D,D,B,3.04000,2.12000,A,RATE_CODE_,3.25000,M,RETN_,RETN_,712943.00000,965257.00000,6500.5000,NAT,TXN0000000000000015,2026-01-15
016,100000000016,BRL,1544,P,4209.800,OFF,100000000016,TRN000000000016,2026-01-16,2026-01-16,TD_DEPOSITER,Td Depositer Name 16,TD_CERT_COLL,Td Cert Collector Name 16,TD_WITHDRAWE,Td Withdrawer Name 16,2026-01-16,E,J,JOINT_HOLDER,2026-01-16,PAY,100000000016,BRL,RA,RO,100000000016,INT,BRL,A,G,G,ADVICE_MEDIA_16,EMAIL_16,CU,D,A,A,REASON_CODE_16,5031,7943,2026-01-16,9684.300,11722.700,22023.4000,2861.3000,XREF_16,7.2000,13788.100,10861.1000,A,223522,3.48000,2026-01-16,400374,355101,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-16,016,MAI,MAI,MAI,CMA,2.5000,COMME,016,666228,914052,BAE,AUTHORIZE,VAL,M,DESTI,CUST000016,CUST000016,OPERATION_KEY_1,D,D,B,1.84000,3.26000,A,RATE_CODE_,1.10000,M,RETN_,RETN_,695774.00000,249398.00000,7458.6000,NAT,TXN0000000000000016,2026-01-16
017,100000000017,USD,4117,P,967.700,OFF,100000000017,TRN000000000017,2026-01-17,2026-01-17,TD_DEPOSITER,Td Depositer Name 17,TD_CERT_COLL,Td Cert Collector Name 17,TD_WITHDRAWE,Td Withdrawer Name 17,2026-01-17,E,J,JOINT_HOLDER,2026-01-17,PAY,100000000017,USD,RA,RO,100000000017,INT,USD,A,G,G,ADVICE_MEDIA_17,EMAIL_17,CU,D,A,A,REASON_CODE_17,2111,7969,2026-01-17,32.500,16101.000,14611.1000,20700.2000,XREF_17,23329.2000,12737.700,14900.4000,A,613709,1.70000,2026-01-17,801867,285449,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-17,017,MAI,MAI,MAI,CMA,3.3500,COMME,017,977674,69538,BAE,AUTHORIZE,VAL,M,DESTI,CUST000017,CUST000017,OPERATION_KEY_1,D,D,B,2.57000,4.11000,A,RATE_CODE_,4.08000,M,RETN_,RETN_,567002.00000,341023.00000,5273.1000,NAT,TXN0000000000000017,2026-01-17
018,100000000018,PEN,4979,P,7282.000,OFF,100000000018,TRN000000000018,2026-01-18,2026-01-18,TD_DEPOSITER,Td Depositer Name 18,TD_CERT_COLL,Td Cert Collector Name 18,TD_WITHDRAWE,Td Withdrawer Name 18,2026-01-18,E,J,JOINT_HOLDER,2026-01-18,PAY,100000000018,PEN,RA,RO,100000000018,INT,PEN,A,G,G,ADVICE_MEDIA_18,EMAIL_18,CU,D,A,A,REASON_CODE_18,2306,8626,2026-01-18,2130.700,18277.900,12781.3000,3961.5000,XREF_18,10389.3000,3425.000,24176.6000,A,959143,3.51000,2026-01-18,595252,800114,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-18,018,MAI,MAI,MAI,CMA,2.7400,COMME,018,722571,981176,BAE,AUTHORIZE,VAL,M,DESTI,CUST000018,CUST000018,OPERATION_KEY_1,D,D,B,2.04000,3.23000,A,RATE_CODE_,4.20000,M,RETN_,RETN_,467413.00000,8712.00000,14310.7000,NAT,TXN0000000000000018,2026-01-18
019,100000000019,EUR,46,P,7470.800,OFF,100000000019,TRN000000000019,2026-01-19,2026-01-19,TD_DEPOSITER,Td Depositer Name 19,TD_CERT_COLL,Td Cert Collector Name 19,TD_WITHDRAWE,Td Withdrawer Name 19,2026-01-19,E,J,JOINT_HOLDER,2026-01-19,PAY,100000000019,EUR,RA,RO,100000000019,INT,EUR,A,G,G,ADVICE_MEDIA_19,EMAIL_19,CU,D,A,A,REASON_CODE_19,2074,3672,2026-01-19,4531.700,13022.600,4225.8000,22480.6000,XREF_19,4428.8000,20141.400,9685.4000,A,898398,1.90000,2026-01-19,879787,369136,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-19,019,MAI,MAI,MAI,CMA,4.3500,COMME,019,204270,729763,BAE,AUTHORIZE,VAL,M,DESTI,CUST000019,CUST000019,OPERATION_KEY_1,D,D,B,1.81000,3.49000,A,RATE_CODE_,3.90000,M,RETN_,RETN_,671439.00000,383279.00000,6542.5000,NAT,TXN0000000000000019,2026-01-19
020,100000000020,BRL,1276,P,8459.600,OFF,100000000020,TRN000000000020,2026-01-20,2026-01-20,TD_DEPOSITER,Td Depositer Name 20,TD_CERT_COLL,Td Cert Collector Name 20,TD_WITHDRAWE,Td Withdrawer Name 20,2026-01-20,E,J,JOINT_HOLDER,2026-01-20,PAY,100000000020,BRL,RA,RO,100000000020,INT,BRL,A,G,G,ADVICE_MEDIA_20,EMAIL_20,CU,D,A,A,REASON_CODE_20,9866,9355,2026-01-20,23537.500,18975.900,524.1000,6450.3000,XREF_20,19287.8000,14748.400,16220.7000,A,580848,4.21000,2026-01-20,789515,209483,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-20,020,MAI,MAI,MAI,CMA,1.0300,COMME,020,517391,368584,BAE,AUTHORIZE,VAL,M,DESTI,CUST000020,CUST000020,OPERATION_KEY_2,D,D,B,1.14000,1.82000,A,RATE_CODE_,3.54000,M,RETN_,RETN_,587700.00000,641749.00000,3901.2000,NAT,TXN0000000000000020,2026-01-20
