BRN,ACC,CCY,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,TENOR,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CREATION_DT,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_VERSION_NO,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,LATEST_EVENT_SEQ_NO,TXN_ID,NEXT_RATE_CHANGE_DT,TD_INT_AMT_READJ_CCY,TD_INT_AMT,TD_MATURITY_AMT,TD_PRN_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,INPUT_TAX_AMT,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY
011,100000000011,EUR,P,18319.500,OFF,100000000011,TRN000000000011,7881,Td Withdrawer Name 11,2026-01-11,E,J,JOINT_HOLDER,2026-01-11,PAY,100000000011,EUR,RA,RO,100000000011,INT,EUR,A,G,GE,ADVICE_MEDIA_11,EMAIL_11,2026-01-11,CU,D,A,A,REASON_CODE_11,LATE,2026-01-11,TD_DEPOSITER,Td Depositer Name 11,TD_CERT_COLL,Td Cert Collector Name 11,TD_WITHDRAWE,1023,TXN0000000000000011,2026-01-11,21369.4000,22307.100,16734.100,15720.5000,18043.1000,5835.600,A,37311,2.31000,2026-01-11,472510,12942,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-11,011,MAI,MAI,MAI,CMA,1.6300,COMME,011,330732,947312,BAE,AUTHORIZE,VAL,M,DESTI,CUST000011,CUST000011,OPERATION_KEY_1,D,D,B,1.58000,1.47000,A,RATE_CODE_,4.29000,M,RETN_,RETN_,1453.500,624564.00000,976552.00000,22415.9000,NAT
012,100000000012,BRL,P,9473.600,OFF,100000000012,TRN000000000012,9505,Td Withdrawer Name 12,2026-01-12,E,J,JOINT_HOLDER,2026-01-12,PAY,100000000012,BRL,RA,RO,100000000012,INT,BRL,A,G,GE,ADVICE_MEDIA_12,EMAIL_12,2026-01-12,CU,D,A,A,REASON_CODE_12,LATE,2026-01-12,TD_DEPOSITER,Td Depositer Name 12,TD_CERT_COLL,Td Cert Collector Name 12,TD_WITHDRAWE,1171,TXN0000000000000012,2026-01-12,12747.3000,15351.200,14274.600,22287.1000,22880.1000,13375.100,A,620749,2.83000,2026-01-12,902681,124966,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-12,012,MAI,MAI,MAI,CMA,2.6700,COMME,012,615450,731219,BAE,AUTHORIZE,VAL,M,DESTI,CUST000012,CUST000012,OPERATION_KEY_1,D,D,B,2.52000,4.39000,A,RATE_CODE_,4.03000,M,RETN_,RETN_,5962.900,705612.00000,424269.00000,8984.1000,NAT
013,100000000013,USD,P,5507.600,OFF,100000000013,TRN000000000013,1341,Td Withdrawer Name 13,2026-01-13,E,J,JOINT_HOLDER,2026-01-13,PAY,100000000013,USD,RA,RO,100000000013,INT,USD,A,G,GE,ADVICE_MEDIA_13,EMAIL_13,2026-01-13,CU,D,A,A,REASON_CODE_13,LATE,2026-01-13,TD_DEPOSITER,Td Depositer Name 13,TD_CERT_COLL,Td Cert Collector Name 13,TD_WITHDRAWE,8417,TXN0000000000000013,2026-01-13,4647.7000,4605.400,16693.400,17550.4000,22892.2000,10434.000,A,131639,2.07000,2026-01-13,778357,497792,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-13,013,MAI,MAI,MAI,CMA,2.1100,COMME,013,826194,952668,BAE,AUTHORIZE,VAL,M,DESTI,CUST000013,CUST000013,OPERATION_KEY_1,D,D,B,3.24000,3.19000,A,RATE_CODE_,1.72000,M,RETN_,RETN_,14850.500,181346.00000,546486.00000,12402.6000,NAT
014,100000000014,PEN,P,7704.700,OFF,100000000014,TRN000000000014,6777,Td Withdrawer Name 14,2026-01-14,E,J,JOINT_HOLDER,2026-01-14,PAY,100000000014,PEN,RA,RO,100000000014,INT,PEN,A,G,GE,ADVICE_MEDIA_14,EMAIL_14,2026-01-14,CU,D,A,A,REASON_CODE_14,LATE,2026-01-14,TD_DEPOSITER,Td Depositer Name 14,TD_CERT_COLL,Td Cert Collector Name 14,TD_WITHDRAWE,8558,TXN0000000000000014,2026-01-14,17520.2000,5742.500,3189.700,19105.8000,4096.5000,20769.900,A,686922,2.31000,2026-01-14,413063,517042,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-14,014,MAI,MAI,MAI,CMA,1.0900,COMME,014,24020,798699,BAE,AUTHORIZE,VAL,M,DESTI,CUST000014,CUST000014,OPERATION_KEY_1,D,D,B,2.90000,2.20000,A,RATE_CODE_,3.44000,M,RETN_,RETN_,24373.200,798889.00000,523799.00000,18898.0000,NAT
015,100000000015,EUR,P,16019.900,OFF,100000000015,TRN000000000015,606,Td Withdrawer Name 15,2026-01-15,E,J,JOINT_HOLDER,2026-01-15,PAY,100000000015,EUR,RA,RO,100000000015,INT,EUR,A,G,GE,ADVICE_MEDIA_15,EMAIL_15,2026-01-15,CU,D,A,A,REASON_CODE_15,LATE,2026-01-15,TD_DEPOSITER,Td Depositer Name 15,TD_CERT_COLL,Td Cert Collector Name 15,TD_WITHDRAWE,6755,TXN0000000000000015,2026-01-15,18486.0000,8292.400,9444.300,18443.7000,15604.1000,7970.300,A,519437,1.46000,2026-01-15,11205,64617,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-15,015,MAI,MAI,MAI,CMA,3.1500,COMME,015,942343,638550,BAE,AUTHORIZE,VAL,M,DESTI,CUST000015,CUST000015,OPERATION_KEY_1,D,D,B,3.56000,4.01000,A,RATE_CODE_,1.30000,M,RETN_,RETN_,15588.200,192937.00000,22715.00000,4312.0000,NAT
016,100000000016,BRL,P,8703.800,OFF,100000000016,TRN000000000016,4303,Td Withdrawer Name 16,2026-01-16,E,J,JOINT_HOLDER,2026-01-16,PAY,100000000016,BRL,RA,RO,100000000016,INT,BRL,A,G,GE,ADVICE_MEDIA_16,EMAIL_16,2026-01-16,CU,D,A,A,REASON_CODE_16,LATE,2026-01-16,TD_DEPOSITER,Td Depositer Name 16,TD_CERT_COLL,Td Cert Collector Name 16,TD_WITHDRAWE,1177,TXN0000000000000016,2026-01-16,11250.9000,4851.700,11521.400,11365.0000,3617.6000,11747.900,A,419513,2.82000,2026-01-16,179158,548806,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-16,016,MAI,MAI,MAI,CMA,2.9200,COMME,016,328116,457053,BAE,AUTHORIZE,VAL,M,DESTI,CUST000016,CUST000016,OPERATION_KEY_1,D,D,B,1.95000,3.55000,A,RATE_CODE_,2.92000,M,RETN_,RETN_,13609.800,372739.00000,546001.00000,14502.5000,NAT
017,100000000017,USD,P,15659.300,OFF,100000000017,TRN000000000017,5594,Td Withdrawer Name 17,2026-01-17,E,J,JOINT_HOLDER,2026-01-17,PAY,100000000017,USD,RA,RO,100000000017,INT,USD,A,G,GE,ADVICE_MEDIA_17,EMAIL_17,2026-01-17,CU,D,A,A,REASON_CODE_17,LATE,2026-01-17,TD_DEPOSITER,Td Depositer Name 17,TD_CERT_COLL,Td Cert Collector Name 17,TD_WITHDRAWE,7437,TXN0000000000000017,2026-01-17,1808.7000,23743.900,5305.500,7548.1000,13095.0000,10666.800,A,823652,1.11000,2026-01-17,390175,933323,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-17,017,MAI,MAI,MAI,CMA,1.9000,COMME,017,3489,960470,BAE,AUTHORIZE,VAL,M,DESTI,CUST000017,CUST000017,OPERATION_KEY_1,D,D,B,3.33000,0.94000,A,RATE_CODE_,1.48000,M,RETN_,RETN_,8182.200,357962.00000,134666.00000,20750.0000,NAT
018,100000000018,PEN,P,11388.000,OFF,100000000018,TRN000000000018,2980,Td Withdrawer Name 18,2026-01-18,E,J,JOINT_HOLDER,2026-01-18,PAY,100000000018,PEN,RA,RO,100000000018,INT,PEN,A,G,GE,ADVICE_MEDIA_18,EMAIL_18,2026-01-18,CU,D,A,A,REASON_CODE_18,LATE,2026-01-18,TD_DEPOSITER,Td Depositer Name 18,TD_CERT_COLL,Td Cert Collector Name 18,TD_WITHDRAWE,6856,TXN0000000000000018,2026-01-18,21163.3000,4910.700,18800.600,1655.7000,13234.7000,22636.800,A,449633,2.68000,2026-01-18,918656,282104,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-18,018,MAI,MAI,MAI,CMA,1.9500,COMME,018,263190,228820,BAE,AUTHORIZE,VAL,M,DESTI,CUST000018,CUST000018,OPERATION_KEY_1,D,D,B,3.28000,3.22000,A,RATE_CODE_,3.33000,M,RETN_,RETN_,2256.000,306237.00000,616918.00000,1507.2000,NAT
019,100000000019,EUR,P,17364.800,OFF,100000000019,TRN000000000019,7583,Td Withdrawer Name 19,2026-01-19,E,J,JOINT_HOLDER,2026-01-19,PAY,100000000019,EUR,RA,RO,100000000019,INT,EUR,A,G,GE,ADVICE_MEDIA_19,EMAIL_19,2026-01-19,CU,D,A,A,REASON_CODE_19,LATE,2026-01-19,TD_DEPOSITER,Td Depositer Name 19,TD_CERT_COLL,Td Cert Collector Name 19,TD_WITHDRAWE,7314,TXN0000000000000019,2026-01-19,5256.3000,13480.000,22521.900,14232.4000,9851.5000,9149.400,A,185382,1.46000,2026-01-19,650460,736101,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-19,019,MAI,MAI,MAI,CMA,3.8100,COMME,019,560915,639099,BAE,AUTHORIZE,VAL,M,DESTI,CUST000019,CUST000019,OPERATION_KEY_1,D,D,B,3.45000,4.08000,A,RATE_CODE_,2.96000,M,RETN_,RETN_,734.900,698688.00000,807478.00000,23659.0000,NAT
020,100000000020,BRL,P,22977.300,OFF,100000000020,TRN000000000020,2501,Td Withdrawer Name 20,2026-01-20,E,J,JOINT_HOLDER,2026-01-20,PAY,100000000020,BRL,RA,RO,100000000020,INT,BRL,A,G,GE,ADVICE_MEDIA_20,EMAIL_20,2026-01-20,CU,D,A,A,REASON_CODE_20,LATE,2026-01-20,TD_DEPOSITER,Td Depositer Name 20,TD_CERT_COLL,Td Cert Collector Name 20,TD_WITHDRAWE,1601,TXN0000000000000020,2026-01-20,1554.0000,17696.000,10480.300,6573.4000,6246.5000,22281.400,A,797028,1.52000,2026-01-20,999685,516216,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-20,020,MAI,MAI,MAI,CMA,1.7200,COMME,020,868424,192847,BAE,AUTHORIZE,VAL,M,DESTI,CUST000020,CUST000020,OPERATION_KEY_2,D,D,B,1.70000,1.43000,A,RATE_CODE_,4.39000,M,RETN_,RETN_,13990.600,882175.00000,24556.00000,13988.7000,NAT
021,100000000021,USD,P,21437.800,OFF,100000000021,TRN000000000021,24,Td Withdrawer Name 21,2026-01-21,E,J,JOINT_HOLDER,2026-01-21,PAY,100000000021,USD,RA,RO,100000000021,INT,USD,A,G,GE,ADVICE_MEDIA_21,EMAIL_21,2026-01-21,CU,D,A,A,REASON_CODE_21,LATE,2026-01-21,TD_DEPOSITER,Td Depositer Name 21,TD_CERT_COLL,Td Cert Collector Name 21,TD_WITHDRAWE,3947,TXN0000000000000021,2026-01-21,15835.5000,21474.400,6511.700,5614.5000,20010.8000,4283.200,A,292288,0.99000,2026-01-21,910786,615242,DOCUME,D,021,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-21,021,MAI,MAI,MAI,CMA,2.3800,COMME,021,987662,683428,BAE,AUTHORIZE,VAL,M,DESTI,CUST000021,CUST000021,OPERATION_KEY_2,D,D,B,1.72000,0.96000,A,RATE_CODE_,1.56000,M,RETN_,RETN_,8471.000,802547.00000,936146.00000,20719.1000,NAT
