TRN_REF_NO,TRN_DT,TXN_BRANCH,PRODUCT_CODE,VALUE_DATE,AC_BRANCH,ACCOUNT_NO,TRN_CODE,LCY_AMOUNT,AMOUNT,DRCR_IND,MODULE,INSTRUMENT_NO,EXTENDED_CODE,RELATED_CUSTOMER,TXN_INIT_DATE,EXTRACTION_DATE,AC_ENTRY_SR_NO,EVENT,AMOUNT_TAG,OFS_ACC,OFS_BRANCH,EVENT_SR_NO,AC_CCY,GROUP_TXN_COUNT,HIDE_TXN_IN_STMT,AUTH_STAT,PERIOD_CODE,TXN_ID,EXT_OFSTXN_CODE,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,REAL_DT_TIME,SOURCE_CODE
TRN000000000017,2026-01-17,017,CARD,2026-01-17,017,100000000017,ATM,16963.600,23650.800,D,MOD,INSTRUMENT_NO_17,356426,CUST000017,2026-01-17,2026-01-17,161208,EVEN,AMOUNT_TAG_17,100000000017,017,569932,USD,15,N,A,PER,TXN0000000000000017,EXT_OFSTXN_CODE,DATA_1_17,DATA_2_17,DATA_3_17,DATA_4_17,DATA_5_17,DATA_6_17,DATA_7_17,DATA_8_17,DATA_9_17,C,BATCH_REF_NO_17,ATM,2026-01-17 16:52:00,SOURCE_CODE_17
TRN000000000018,2026-01-18,018,CLRG,2026-01-18,018,100000000018,DEP,11581.400,20630.300,C,MOD,INSTRUMENT_NO_18,99930,CUST000018,2026-01-18,2026-01-18,880903,EVEN,AMOUNT_TAG_18,100000000018,018,618716,PEN,6,N,A,PER,TXN0000000000000018,EXT_OFSTXN_CODE,DATA_1_18,DATA_2_18,DATA_3_18,DATA_4_18,DATA_5_18,DATA_6_18,DATA_7_18,DATA_8_18,DATA_9_18,C,BATCH_REF_NO_18,DEP,2026-01-18 17:59:00,SOURCE_CODE_18
TRN000000000019,2026-01-19,019,SAV1,2026-01-19,019,100000000019,WDR,1018.500,17584.800,D,MOD,INSTRUMENT_NO_19,82604,CUST000019,2026-01-19,2026-01-19,386978,EVEN,AMOUNT_TAG_19,100000000019,019,127101,EUR,15,N,A,PER,TXN0000000000000019,EXT_OFSTXN_CODE,DATA_1_19,DATA_2_19,DATA_3_19,DATA_4_19,DATA_5_19,DATA_6_19,DATA_7_19,DATA_8_19,DATA_9_19,C,BATCH_REF_NO_19,WDR,2026-01-19 18:06:00,SOURCE_CODE_19
TRN000000000020,2026-01-20,020,CURR,2026-01-20,020,100000000020,TRF,5512.600,2187.100,C,MOD,INSTRUMENT_NO_20,797323,CUST000020,2026-01-20,2026-01-20,450455,EVEN,AMOUNT_TAG_20,100000000020,020,535603,BRL,14,Y,A,PER,TXN0000000000000020,EXT_OFSTXN_CODE,DATA_1_20,DATA_2_20,DATA_3_20,DATA_4_20,DATA_5_20,DATA_6_20,DATA_7_20,DATA_8_20,DATA_9_20,C,BATCH_REF_NO_20,TRF,2026-01-20 19:13:00,SOURCE_CODE_20
TRN_CUST123_0001,2026-04-27,021,LOAN,2026-04-27,021,001234567890,WDR,12000.000,12000.000,D,MOD,INSTRUMENT_NO_21,612150,CUST000123,2026-04-27 09:00:00,2026-04-27,401317,EVEN,AMOUNT_TAG_21,100000000021,021,80975,USD,22,N,A,PER,TXN_CUST123_0001,EXT_OFSTXN_CODE,DATA_1_21,DATA_2_21,DATA_3_21,DATA_4_21,DATA_5_21,DATA_6_21,DATA_7_21,DATA_8_21,DATA_9_21,C,BATCH_REF_NO_21,WDR,2026-01-21 20:20:00,SOURCE_CODE_21
TRN_CUST123_0002,2026-04-28,022,TD01,2026-04-28,022,001234567890,WDR,11000.000,11000.000,D,MOD,INSTRUMENT_NO_22,339337,CUST000123,2026-04-28 09:03:00,2026-04-28,662570,EVEN,AMOUNT_TAG_22,100000000022,022,708925,USD,4,N,A,PER,TXN_CUST123_0002,EXT_OFSTXN_CODE,DATA_1_22,DATA_2_22,DATA_3_22,DATA_4_22,DATA_5_22,DATA_6_22,DATA_7_22,DATA_8_22,DATA_9_22,C,BATCH_REF_NO_22,WDR,2026-01-22 21:27:00,SOURCE_CODE_22
TRN_CUST123_0003,2026-04-29,023,CARD,2026-04-29,023,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_23,182170,CUST000123,2026-04-29 09:06:00,2026-04-29,736273,EVEN,AMOUNT_TAG_23,100000000023,023,949370,USD,23,N,A,PER,TXN_CUST123_0003,EXT_OFSTXN_CODE,DATA_1_23,DATA_2_23,DATA_3_23,DATA_4_23,DATA_5_23,DATA_6_23,DATA_7_23,DATA_8_23,DATA_9_23,C,BATCH_REF_NO_23,DEP,2026-01-23 22:34:00,SOURCE_CODE_23
TRN_CUST123_0004,2026-04-30,024,CLRG,2026-04-30,024,001234567890,WDR,1387.500,1387.500,D,MOD,INSTRUMENT_NO_24,615251,CUST000123,2026-04-30 09:09:00,2026-04-30,199544,EVEN,AMOUNT_TAG_24,100000000024,024,134360,USD,4,N,A,PER,TXN_CUST123_0004,EXT_OFSTXN_CODE,DATA_1_24,DATA_2_24,DATA_3_24,DATA_4_24,DATA_5_24,DATA_6_24,DATA_7_24,DATA_8_24,DATA_9_24,C,BATCH_REF_NO_24,WDR,2026-01-24 23:41:00,SOURCE_CODE_24
TRN_CUST123_0005,2026-05-01,025,SAV1,2026-05-01,025,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_25,217033,CUST000123,2026-05-01 09:12:00,2026-05-01,231591,EVEN,AMOUNT_TAG_25,100000000025,025,560912,USD,21,N,A,PER,TXN_CUST123_0005,EXT_OFSTXN_CODE,DATA_1_25,DATA_2_25,DATA_3_25,DATA_4_25,DATA_5_25,DATA_6_25,DATA_7_25,DATA_8_25,DATA_9_25,C,BATCH_REF_NO_25,DEP,2026-01-25 00:48:00,SOURCE_CODE_25
TRN_CUST123_0006,2026-05-02,001,CURR,2026-05-02,001,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_26,342656,CUST000123,2026-05-02 09:15:00,2026-05-02,905212,EVEN,AMOUNT_TAG_26,100000000026,001,389116,USD,13,N,A,PER,TXN_CUST123_0006,EXT_OFSTXN_CODE,DATA_1_26,DATA_2_26,DATA_3_26,DATA_4_26,DATA_5_26,DATA_6_26,DATA_7_26,DATA_8_26,DATA_9_26,C,BATCH_REF_NO_26,DEP,2026-01-26 01:55:00,SOURCE_CODE_26
TRN_CUST123_0007,2026-05-03,002,LOAN,2026-05-03,002,001234567890,WDR,1387.500,1387.500,D,MOD,INSTRUMENT_NO_27,396643,CUST000123,2026-05-03 09:18:00,2026-05-03,198485,EVEN,AMOUNT_TAG_27,100000000027,002,414197,USD,34,N,A,PER,TXN_CUST123_0007,EXT_OFSTXN_CODE,DATA_1_27,DATA_2_27,DATA_3_27,DATA_4_27,DATA_5_27,DATA_6_27,DATA_7_27,DATA_8_27,DATA_9_27,C,BATCH_REF_NO_27,WDR,2026-01-27 02:02:00,SOURCE_CODE_27
TRN_CUST123_0008,2026-04-27,003,TD01,2026-04-27,003,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_28,343285,CUST000123,2026-04-27 09:21:00,2026-04-27,892041,EVEN,AMOUNT_TAG_28,100000000028,003,168411,USD,35,N,A,PER,TXN_CUST123_0008,EXT_OFSTXN_CODE,DATA_1_28,DATA_2_28,DATA_3_28,DATA_4_28,DATA_5_28,DATA_6_28,DATA_7_28,DATA_8_28,DATA_9_28,C,BATCH_REF_NO_28,DEP,2026-01-28 03:09:00,SOURCE_CODE_28
TRN_CUST123_0009,2026-04-28,004,CARD,2026-04-28,004,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_29,774174,CUST000123,2026-04-28 09:24:00,2026-04-28,955609,EVEN,AMOUNT_TAG_29,100000000029,004,680954,USD,0,N,A,PER,TXN_CUST123_0009,EXT_OFSTXN_CODE,DATA_1_29,DATA_2_29,DATA_3_29,DATA_4_29,DATA_5_29,DATA_6_29,DATA_7_29,DATA_8_29,DATA_9_29,C,BATCH_REF_NO_29,DEP,2026-01-29 04:16:00,SOURCE_CODE_29
TRN_CUST123_0010,2026-04-29,005,CLRG,2026-04-29,005,001234567890,WDR,1387.500,1387.500,D,MOD,INSTRUMENT_NO_30,658549,CUST000123,2026-04-29 09:27:00,2026-04-29,267195,EVEN,AMOUNT_TAG_30,100000000030,005,480583,USD,35,N,A,PER,TXN_CUST123_0010,EXT_OFSTXN_CODE,DATA_1_30,DATA_2_30,DATA_3_30,DATA_4_30,DATA_5_30,DATA_6_30,DATA_7_30,DATA_8_30,DATA_9_30,C,BATCH_REF_NO_30,WDR,2026-01-30 05:23:00,SOURCE_CODE_30
TRN_CUST123_0011,2026-04-30,006,SAV1,2026-04-30,006,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_31,307439,CUST000123,2026-04-30 09:30:00,2026-04-30,691591,EVEN,AMOUNT_TAG_31,100000000031,006,633959,USD,32,N,A,PER,TXN_CUST123_0011,EXT_OFSTXN_CODE,DATA_1_31,DATA_2_31,DATA_3_31,DATA_4_31,DATA_5_31,DATA_6_31,DATA_7_31,DATA_8_31,DATA_9_31,C,BATCH_REF_NO_31,DEP,2026-01-31 06:30:00,SOURCE_CODE_31
TRN_CUST123_0012,2026-05-01,007,CURR,2026-05-01,007,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_32,437502,CUST000123,2026-05-01 09:33:00,2026-05-01,635422,EVEN,AMOUNT_TAG_32,100000000032,007,880754,USD,22,N,A,PER,TXN_CUST123_0012,EXT_OFSTXN_CODE,DATA_1_32,DATA_2_32,DATA_3_32,DATA_4_32,DATA_5_32,DATA_6_32,DATA_7_32,DATA_8_32,DATA_9_32,C,BATCH_REF_NO_32,DEP,2026-02-01 07:37:00,SOURCE_CODE_32
TRN_CUST123_0013,2026-05-02,008,LOAN,2026-05-02,008,001234567890,WDR,1387.500,1387.500,D,MOD,INSTRUMENT_NO_33,516367,CUST000123,2026-05-02 09:36:00,2026-05-02,334364,EVEN,AMOUNT_TAG_33,100000000033,008,641053,USD,29,N,A,PER,TXN_CUST123_0013,EXT_OFSTXN_CODE,DATA_1_33,DATA_2_33,DATA_3_33,DATA_4_33,DATA_5_33,DATA_6_33,DATA_7_33,DATA_8_33,DATA_9_33,C,BATCH_REF_NO_33,WDR,2026-02-02 08:44:00,SOURCE_CODE_33
TRN_CUST123_0014,2026-05-03,009,TD01,2026-05-03,009,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_34,22040,CUST000123,2026-05-03 09:39:00,2026-05-03,526882,EVEN,AMOUNT_TAG_34,100000000034,009,72291,USD,33,N,A,PER,TXN_CUST123_0014,EXT_OFSTXN_CODE,DATA_1_34,DATA_2_34,DATA_3_34,DATA_4_34,DATA_5_34,DATA_6_34,DATA_7_34,DATA_8_34,DATA_9_34,C,BATCH_REF_NO_34,DEP,2026-02-03 09:51:00,SOURCE_CODE_34
TRN_CUST123_0015,2026-04-27,010,CARD,2026-04-27,010,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_35,436251,CUST000123,2026-04-27 09:42:00,2026-04-27,530402,EVEN,AMOUNT_TAG_35,100000000035,010,435137,USD,33,N,A,PER,TXN_CUST123_0015,EXT_OFSTXN_CODE,DATA_1_35,DATA_2_35,DATA_3_35,DATA_4_35,DATA_5_35,DATA_6_35,DATA_7_35,DATA_8_35,DATA_9_35,C,BATCH_REF_NO_35,DEP,2026-02-04 10:58:00,SOURCE_CODE_35
TRN_CUST123_0016,2026-04-28,011,CLRG,2026-04-28,011,001234567890,WDR,1387.500,1387.500,D,MOD,INSTRUMENT_NO_36,744373,CUST000123,2026-04-28 09:45:00,2026-04-28,837035,EVEN,AMOUNT_TAG_36,100000000036,011,670747,USD,31,N,A,PER,TXN_CUST123_0016,EXT_OFSTXN_CODE,DATA_1_36,DATA_2_36,DATA_3_36,DATA_4_36,DATA_5_36,DATA_6_36,DATA_7_36,DATA_8_36,DATA_9_36,C,BATCH_REF_NO_36,WDR,2026-02-05 11:05:00,SOURCE_CODE_36
TRN_CUST123_0017,2026-04-29,012,SAV1,2026-04-29,012,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_37,168266,CUST000123,2026-04-29 09:48:00,2026-04-29,472801,EVEN,AMOUNT_TAG_37,100000000037,012,667339,USD,21,N,A,PER,TXN_CUST123_0017,EXT_OFSTXN_CODE,DATA_1_37,DATA_2_37,DATA_3_37,DATA_4_37,DATA_5_37,DATA_6_37,DATA_7_37,DATA_8_37,DATA_9_37,C,BATCH_REF_NO_37,DEP,2026-02-06 12:12:00,SOURCE_CODE_37
TRN_CUST123_0018,2026-04-30,013,CURR,2026-04-30,013,001234567890,DEP,1387.500,1387.500,C,MOD,INSTRUMENT_NO_38,504127,CUST000123,2026-04-30 09:51:00,2026-04-30,993572,EVEN,AMOUNT_TAG_38,100000000038,013,97108,USD,22,N,A,PER,TXN_CUST123_0018,EXT_OFSTXN_CODE,DATA_1_38,DATA_2_38,DATA_3_38,DATA_4_38,DATA_5_38,DATA_6_38,DATA_7_38,DATA_8_38,DATA_9_38,C,BATCH_REF_NO_38,DEP,2026-02-07 13:19:00,SOURCE_CODE_38
TRN000000000039,2026-02-08,014,LOAN,2026-02-08,014,100000000039,REV,6777.700,4377.000,D,MOD,INSTRUMENT_NO_39,17612,CUST000039,2026-02-08,2026-02-08,101116,EVEN,AMOUNT_TAG_39,100000000039,014,532682,EUR,32,Y,A,PER,TXN0000000000000039,EXT_OFSTXN_CODE,DATA_1_39,DATA_2_39,DATA_3_39,DATA_4_39,DATA_5_39,DATA_6_39,DATA_7_39,DATA_8_39,DATA_9_39,C,BATCH_REF_NO_39,REV,2026-02-08 14:26:00,SOURCE_CODE_39
TRN000000000040,2026-02-09,015,TD01,2026-02-09,015,100000000040,PAY,1904.300,13205.900,C,MOD,INSTRUMENT_NO_40,921288,CUST000040,2026-02-09,2026-02-09,353513,EVEN,AMOUNT_TAG_40,100000000040,015,190473,BRL,31,N,A,PER,TXN0000000000000040,EXT_OFSTXN_CODE,DATA_1_40,DATA_2_40,DATA_3_40,DATA_4_40,DATA_5_40,DATA_6_40,DATA_7_40,DATA_8_40,DATA_9_40,C,BATCH_REF_NO_40,PAY,2026-02-09 15:33:00,SOURCE_CODE_40
TRN_FRAUD_0001,2026-04-18,016,CARD,2026-04-18,016,4455667788,REV,8500.000,8500.000,D,MOD,INSTRUMENT_NO_41,254240,CUST000445,2026-04-18 14:00:00,2026-04-18,107700,EVEN,AMOUNT_TAG_41,100000000041,016,687224,USD,29,Y,U,PER,TXN_FRAUD_0001,EXT_OFSTXN_CODE,DATA_1_41,DATA_2_41,DATA_3_41,DATA_4_41,DATA_5_41,DATA_6_41,DATA_7_41,DATA_8_41,DATA_9_41,C,BATCH_REF_NO_41,REV,2026-04-18 14:00:00,SOURCE_CODE_41
TRN_FRAUD_0002,2026-04-18,017,CLRG,2026-04-18,017,4455667788,PAY,8500.000,8500.000,D,MOD,INSTRUMENT_NO_42,868292,CUST000445,2026-04-18 14:02:00,2026-04-18,430507,EVEN,AMOUNT_TAG_42,100000000042,017,987915,USD,13,Y,A,PER,TXN_FRAUD_0002,EXT_OFSTXN_CODE,DATA_1_42,DATA_2_42,DATA_3_42,DATA_4_42,DATA_5_42,DATA_6_42,DATA_7_42,DATA_8_42,DATA_9_42,C,BATCH_REF_NO_42,PAY,2026-04-18 14:02:00,SOURCE_CODE_42
TRN_FRAUD_0003,2026-04-18,018,SAV1,2026-04-18,018,4455667788,PAY,8500.000,8500.000,D,MOD,INSTRUMENT_NO_43,965763,CUST000445,2026-04-18 14:04:00,2026-04-18,948656,EVEN,AMOUNT_TAG_43,100000000043,018,3295,USD,4,Y,A,PER,TXN_FRAUD_0003,EXT_OFSTXN_CODE,DATA_1_43,DATA_2_43,DATA_3_43,DATA_4_43,DATA_5_43,DATA_6_43,DATA_7_43,DATA_8_43,DATA_9_43,C,BATCH_REF_NO_43,PAY,2026-04-18 14:04:00,SOURCE_CODE_43
TRN_FRAUD_0004,2026-04-18,019,CURR,2026-04-18,019,4455667788,PAY,8500.000,8500.000,D,MOD,INSTRUMENT_NO_44,77952,CUST000445,2026-04-18 14:06:00,2026-04-18,850705,EVEN,AMOUNT_TAG_44,100000000044,019,484373,USD,32,Y,A,PER,TXN_FRAUD_0004,EXT_OFSTXN_CODE,DATA_1_44,DATA_2_44,DATA_3_44,DATA_4_44,DATA_5_44,DATA_6_44,DATA_7_44,DATA_8_44,DATA_9_44,C,BATCH_REF_NO_44,PAY,2026-04-18 14:06:00,SOURCE_CODE_44
TRN_FRAUD_0005,2026-04-18,020,LOAN,2026-04-18,020,4455667788,REV,6500.000,6500.000,D,MOD,INSTRUMENT_NO_45,523533,CUST000445,2026-04-18 14:08:00,2026-04-18,403941,EVEN,AMOUNT_TAG_45,100000000045,020,607434,USD,27,N,A,PER,TXN_FRAUD_0005,EXT_OFSTXN_CODE,DATA_1_45,DATA_2_45,DATA_3_45,DATA_4_45,DATA_5_45,DATA_6_45,DATA_7_45,DATA_8_45,DATA_9_45,C,BATCH_REF_NO_45,REV,2026-04-18 14:08:00,SOURCE_CODE_45
