BRN,ACC,PROD,UDE_EFF_DT,UDE_ID,UDE_VALUE,RATE_CODE,AUTH_STAT,RECORD_STAT,VERSION_NO,WAIVE_NOTARY_CHARGE,VALIDATE_MCR
021,100000000071,PROD,2026-03-12,UDE_ID_71,466364.00000,RATE_CODE_,A,O,9483,W,V
022,100000000072,PROD,2026-03-13,UDE_ID_72,834342.00000,RATE_CODE_,A,O,5304,W,V
023,100000000073,PROD,2026-03-14,UDE_ID_73,212043.00000,RATE_CODE_,A,O,5073,W,V
024,100000000074,PROD,2026-03-15,UDE_ID_74,362535.00000,RATE_CODE_,A,O,5056,W,V
025,100000000075,PROD,2026-03-16,UDE_ID_75,295239.00000,RATE_CODE_,A,O,3688,W,V
001,100000000076,PROD,2026-03-17,UDE_ID_76,833343.00000,RATE_CODE_,A,O,3654,W,V
002,100000000077,PROD,2026-03-18,UDE_ID_77,522612.00000,RATE_CODE_,A,O,1035,W,V
003,100000000078,PROD,2026-03-19,UDE_ID_78,738789.00000,RATE_CODE_,A,O,4875,W,V
004,100000000079,PROD,2026-03-20,UDE_ID_79,18484.00000,RATE_CODE_,A,O,1222,W,V
005,100000000080,PROD,2026-03-21,UDE_ID_80,107928.00000,RATE_CODE_,A,O,4160,W,V
006,100000000081,PROD,2026-03-22,UDE_ID_81,389057.00000,RATE_CODE_,A,O,3006,W,V
007,100000000082,PROD,2026-03-23,UDE_ID_82,180638.00000,RATE_CODE_,A,O,7292,W,V
008,100000000083,PROD,2026-03-24,UDE_ID_83,462790.00000,RATE_CODE_,A,O,5871,W,V
009,100000000084,PROD,2026-03-25,UDE_ID_84,684843.00000,RATE_CODE_,A,O,3365,W,V
010,100000000085,PROD,2026-03-26,UDE_ID_85,125995.00000,RATE_CODE_,A,O,3337,W,V
011,100000000086,PROD,2026-03-27,UDE_ID_86,690423.00000,RATE_CODE_,A,O,7365,W,V
012,100000000087,PROD,2026-03-28,UDE_ID_87,402227.00000,RATE_CODE_,A,O,3144,W,V
013,100000000088,PROD,2026-03-29,UDE_ID_88,379736.00000,RATE_CODE_,A,O,1816,W,V
014,100000000089,PROD,2026-03-30,UDE_ID_89,226591.00000,RATE_CODE_,A,O,507,W,V
015,100000000090,PROD,2026-03-31,UDE_ID_90,281216.00000,RATE_CODE_,A,O,8113,W,V
016,100000000091,PROD,2026-04-01,UDE_ID_91,822106.00000,RATE_CODE_,A,O,6413,W,V
017,100000000092,PROD,2026-04-02,UDE_ID_92,714010.00000,RATE_CODE_,A,O,7126,W,V
018,100000000093,PROD,2026-04-03,UDE_ID_93,144163.00000,RATE_CODE_,U,O,5210,W,V
019,100000000094,PROD,2026-04-04,UDE_ID_94,448434.00000,RATE_CODE_,A,O,6871,W,V
020,100000000095,PROD,2026-04-05,UDE_ID_95,819779.00000,RATE_CODE_,A,O,9638,W,V
021,100000000096,PROD,2026-04-06,UDE_ID_96,274241.00000,RATE_CODE_,A,O,8006,W,V
022,100000000097,PROD,2026-04-07,UDE_ID_97,840012.00000,RATE_CODE_,A,O,3020,W,V
023,100000000098,PROD,2026-04-08,UDE_ID_98,371529.00000,RATE_CODE_,A,O,4680,W,V
024,100000000099,PROD,2026-04-09,UDE_ID_99,929515.00000,RATE_CODE_,A,O,2972,W,V
025,100000000100,PROD,2026-04-10,UDE_ID_100,680681.00000,RATE_CODE_,A,O,4052,W,V
001,100000000101,PROD,2026-04-11,UDE_ID_101,415133.00000,RATE_CODE_,A,O,5714,W,V
002,100000000102,PROD,2026-04-12,UDE_ID_102,95086.00000,RATE_CODE_,A,O,7683,W,V
003,100000000103,PROD,2026-04-13,UDE_ID_103,300022.00000,RATE_CODE_,A,O,9374,W,V
004,100000000104,PROD,2026-04-14,UDE_ID_104,667290.00000,RATE_CODE_,A,O,238,W,V
005,100000000105,PROD,2026-04-15,UDE_ID_105,971486.00000,RATE_CODE_,A,O,8148,W,V
006,100000000106,PROD,2026-04-16,UDE_ID_106,431957.00000,RATE_CODE_,A,O,6984,W,V
007,100000000107,PROD,2026-04-17,UDE_ID_107,818599.00000,RATE_CODE_,A,O,6715,W,V
008,100000000108,PROD,2026-04-18,UDE_ID_108,870885.00000,RATE_CODE_,A,O,954,W,V
009,100000000109,PROD,2026-04-19,UDE_ID_109,766343.00000,RATE_CODE_,A,O,8808,W,V
010,100000000110,PROD,2026-04-20,UDE_ID_110,378866.00000,RATE_CODE_,A,O,3541,W,V
011,100000000111,PROD,2026-04-21,UDE_ID_111,188111.00000,RATE_CODE_,A,O,4438,W,V
012,100000000112,PROD,2026-04-22,UDE_ID_112,847586.00000,RATE_CODE_,A,O,9520,W,V
013,100000000113,PROD,2026-04-23,UDE_ID_113,405191.00000,RATE_CODE_,A,O,3798,W,V
014,100000000114,PROD,2026-04-24,UDE_ID_114,199301.00000,RATE_CODE_,A,O,6148,W,V
015,100000000115,PROD,2026-04-25,UDE_ID_115,386609.00000,RATE_CODE_,A,O,5669,W,V
016,100000000116,PROD,2026-04-26,UDE_ID_116,270858.00000,RATE_CODE_,U,O,1167,W,V
017,100000000117,PROD,2026-04-27,UDE_ID_117,903406.00000,RATE_CODE_,A,O,5776,W,V
018,100000000118,PROD,2026-04-28,UDE_ID_118,226660.00000,RATE_CODE_,A,O,3764,W,V
019,100000000119,PROD,2026-04-29,UDE_ID_119,248358.00000,RATE_CODE_,A,O,9871,W,V
020,100000000120,PROD,2026-04-30,UDE_ID_120,919995.00000,RATE_CODE_,A,O,6748,W,V
021,100000000121,PROD,2026-05-01,UDE_ID_121,938484.00000,RATE_CODE_,A,O,4382,W,V
022,100000000122,PROD,2026-05-02,UDE_ID_122,141396.00000,RATE_CODE_,A,O,6074,W,V
023,100000000123,PROD,2026-05-03,UDE_ID_123,540113.00000,RATE_CODE_,A,O,7297,W,V
024,100000000124,PROD,2026-05-04,UDE_ID_124,113961.00000,RATE_CODE_,A,O,1132,W,V
025,100000000125,PROD,2026-05-05,UDE_ID_125,968516.00000,RATE_CODE_,A,O,3577,W,V
001,100000000126,PROD,2026-05-06,UDE_ID_126,495958.00000,RATE_CODE_,A,O,4796,W,V
002,100000000127,PROD,2026-05-07,UDE_ID_127,177292.00000,RATE_CODE_,A,O,7292,W,V
003,100000000128,PROD,2026-05-08,UDE_ID_128,340840.00000,RATE_CODE_,A,O,312,W,V
004,100000000129,PROD,2026-05-09,UDE_ID_129,924811.00000,RATE_CODE_,A,O,7473,W,V
005,100000000130,PROD,2026-05-10,UDE_ID_130,784765.00000,RATE_CODE_,A,O,1349,W,V
006,100000000131,PROD,2026-05-11,UDE_ID_131,223352.00000,RATE_CODE_,A,O,7979,W,V
007,100000000132,PROD,2026-05-12,UDE_ID_132,123727.00000,RATE_CODE_,A,O,3368,W,V
008,100000000133,PROD,2026-05-13,UDE_ID_133,756383.00000,RATE_CODE_,A,O,5529,W,V
009,100000000134,PROD,2026-05-14,UDE_ID_134,114062.00000,RATE_CODE_,A,O,9425,W,V
010,100000000135,PROD,2026-05-15,UDE_ID_135,828766.00000,RATE_CODE_,A,O,7065,W,V
011,100000000136,PROD,2026-05-16,UDE_ID_136,344190.00000,RATE_CODE_,A,O,7283,W,V
012,100000000137,PROD,2026-05-17,UDE_ID_137,562365.00000,RATE_CODE_,A,O,3208,W,V
013,100000000138,PROD,2026-05-18,UDE_ID_138,612143.00000,RATE_CODE_,A,O,8536,W,V
014,100000000139,PROD,2026-05-19,UDE_ID_139,373692.00000,RATE_CODE_,U,O,1062,W,V
015,100000000140,PROD,2026-05-20,UDE_ID_140,346010.00000,RATE_CODE_,A,O,628,W,V
016,100000000141,PROD,2026-05-21,UDE_ID_141,67380.00000,RATE_CODE_,A,O,2954,W,V
017,100000000142,PROD,2026-05-22,UDE_ID_142,570142.00000,RATE_CODE_,A,O,9256,W,V
018,100000000143,PROD,2026-05-23,UDE_ID_143,518591.00000,RATE_CODE_,A,O,2110,W,V
019,100000000144,PROD,2026-05-24,UDE_ID_144,192409.00000,RATE_CODE_,A,O,9941,W,V
020,100000000145,PROD,2026-05-25,UDE_ID_145,449277.00000,RATE_CODE_,A,O,9492,W,V
021,100000000146,PROD,2026-05-26,UDE_ID_146,757214.00000,RATE_CODE_,A,O,8910,W,V
022,100000000147,PROD,2026-05-27,UDE_ID_147,556964.00000,RATE_CODE_,A,O,9484,W,V
023,100000000148,PROD,2026-05-28,UDE_ID_148,829648.00000,RATE_CODE_,A,O,7574,W,V
024,100000000149,PROD,2026-05-29,UDE_ID_149,417524.00000,RATE_CODE_,A,O,6161,W,V
025,100000000150,PROD,2026-05-30,UDE_ID_150,27349.00000,RATE_CODE_,A,O,794,W,V
001,100000000151,PROD,2026-05-31,UDE_ID_151,872577.00000,RATE_CODE_,A,O,1151,W,V
002,100000000152,PROD,2026-06-01,UDE_ID_152,974850.00000,RATE_CODE_,A,O,4538,W,V
003,100000000153,PROD,2026-06-02,UDE_ID_153,981034.00000,RATE_CODE_,A,O,8842,W,V
004,100000000154,PROD,2026-06-03,UDE_ID_154,393180.00000,RATE_CODE_,A,O,5391,W,V
005,100000000155,PROD,2026-06-04,UDE_ID_155,414126.00000,RATE_CODE_,A,O,1613,W,V
006,100000000156,PROD,2026-06-05,UDE_ID_156,983587.00000,RATE_CODE_,A,O,7890,W,V
007,100000000157,PROD,2026-06-06,UDE_ID_157,971120.00000,RATE_CODE_,A,O,589,W,V
008,100000000158,PROD,2026-06-07,UDE_ID_158,298542.00000,RATE_CODE_,A,O,9050,W,V
009,100000000159,PROD,2026-06-08,UDE_ID_159,146586.00000,RATE_CODE_,A,O,5305,W,V
010,100000000160,PROD,2026-06-09,UDE_ID_160,236589.00000,RATE_CODE_,A,O,7708,W,V
011,100000000161,PROD,2026-06-10,UDE_ID_161,162399.00000,RATE_CODE_,A,O,283,W,V
012,100000000162,PROD,2026-06-11,UDE_ID_162,476932.00000,RATE_CODE_,U,O,8445,W,V
013,100000000163,PROD,2026-06-12,UDE_ID_163,655498.00000,RATE_CODE_,A,O,1959,W,V
014,100000000164,PROD,2026-06-13,UDE_ID_164,568463.00000,RATE_CODE_,A,O,9587,W,V
015,100000000165,PROD,2026-06-14,UDE_ID_165,308750.00000,RATE_CODE_,A,O,3790,W,V
016,100000000166,PROD,2026-06-15,UDE_ID_166,80892.00000,RATE_CODE_,A,O,1009,W,V
017,100000000167,PROD,2026-06-16,UDE_ID_167,934329.00000,RATE_CODE_,A,O,8083,W,V
018,100000000168,PROD,2026-06-17,UDE_ID_168,347669.00000,RATE_CODE_,A,O,4731,W,V
019,100000000169,PROD,2026-06-18,UDE_ID_169,92077.00000,RATE_CODE_,A,O,7086,W,V
020,100000000170,PROD,2026-06-19,UDE_ID_170,973883.00000,RATE_CODE_,A,O,2922,W,V
021,100000000171,PROD,2026-06-20,UDE_ID_171,551307.00000,RATE_CODE_,A,O,9651,W,V
022,100000000172,PROD,2026-06-21,UDE_ID_172,848958.00000,RATE_CODE_,A,O,6082,W,V
023,100000000173,PROD,2026-06-22,UDE_ID_173,636921.00000,RATE_CODE_,A,O,8789,W,V
024,100000000174,PROD,2026-06-23,UDE_ID_174,866679.00000,RATE_CODE_,A,O,7893,W,V
025,100000000175,PROD,2026-06-24,UDE_ID_175,469453.00000,RATE_CODE_,A,O,1409,W,V
001,100000000176,PROD,2026-06-25,UDE_ID_176,268159.00000,RATE_CODE_,A,O,2004,W,V
002,100000000177,PROD,2026-06-26,UDE_ID_177,747165.00000,RATE_CODE_,A,O,5169,W,V
003,100000000178,PROD,2026-06-27,UDE_ID_178,418360.00000,RATE_CODE_,A,O,1235,W,V
004,100000000179,PROD,2026-06-28,UDE_ID_179,436953.00000,RATE_CODE_,A,O,7683,W,V
005,100000000180,PROD,2026-06-29,UDE_ID_180,563753.00000,RATE_CODE_,A,O,8604,W,V
006,100000000181,PROD,2026-06-30,UDE_ID_181,297919.00000,RATE_CODE_,A,O,6925,W,V
007,100000000182,PROD,2026-07-01,UDE_ID_182,819174.00000,RATE_CODE_,A,O,8427,W,V
008,100000000183,PROD,2026-07-02,UDE_ID_183,219088.00000,RATE_CODE_,A,O,5496,W,V
009,100000000184,PROD,2026-07-03,UDE_ID_184,63038.00000,RATE_CODE_,A,O,6182,W,V
010,100000000185,PROD,2026-07-04,UDE_ID_185,851496.00000,RATE_CODE_,U,O,5528,W,V
011,100000000186,PROD,2026-07-05,UDE_ID_186,284918.00000,RATE_CODE_,A,O,3867,W,V
012,100000000187,PROD,2026-07-06,UDE_ID_187,112098.00000,RATE_CODE_,A,O,2258,W,V
013,100000000188,PROD,2026-07-07,UDE_ID_188,164548.00000,RATE_CODE_,A,O,427,W,V
014,100000000189,PROD,2026-07-08,UDE_ID_189,471442.00000,RATE_CODE_,A,O,3927,W,V
015,100000000190,PROD,2026-07-09,UDE_ID_190,215728.00000,RATE_CODE_,A,O,9428,W,V
016,100000000191,PROD,2026-07-10,UDE_ID_191,643129.00000,RATE_CODE_,A,O,9936,W,V
017,100000000192,PROD,2026-07-11,UDE_ID_192,663439.00000,RATE_CODE_,A,O,7564,W,V
018,100000000193,PROD,2026-07-12,UDE_ID_193,983774.00000,RATE_CODE_,A,O,9191,W,V
019,100000000194,PROD,2026-07-13,UDE_ID_194,702650.00000,RATE_CODE_,A,O,998,W,V
020,100000000195,PROD,2026-07-14,UDE_ID_195,326951.00000,RATE_CODE_,A,O,3998,W,V
021,100000000196,PROD,2026-07-15,UDE_ID_196,978372.00000,RATE_CODE_,A,O,3592,W,V
022,100000000197,PROD,2026-07-16,UDE_ID_197,969870.00000,RATE_CODE_,A,O,8540,W,V
023,100000000198,PROD,2026-07-17,UDE_ID_198,940763.00000,RATE_CODE_,A,O,3873,W,V
024,100000000199,PROD,2026-07-18,UDE_ID_199,868767.00000,RATE_CODE_,A,O,4217,W,V
025,100000000200,PROD,2026-07-19,UDE_ID_200,630281.00000,RATE_CODE_,A,O,8281,W,V
001,100000000201,PROD,2026-07-20,UDE_ID_201,119329.00000,RATE_CODE_,A,O,3195,W,V
002,100000000202,PROD,2026-07-21,UDE_ID_202,341739.00000,RATE_CODE_,A,O,4132,W,V
003,100000000203,PROD,2026-07-22,UDE_ID_203,143883.00000,RATE_CODE_,A,O,4320,W,V
004,100000000204,PROD,2026-07-23,UDE_ID_204,745784.00000,RATE_CODE_,A,O,4728,W,V
005,100000000205,PROD,2026-07-24,UDE_ID_205,602272.00000,RATE_CODE_,A,O,6669,W,V
006,100000000206,PROD,2026-07-25,UDE_ID_206,561073.00000,RATE_CODE_,A,O,8976,W,V
007,100000000207,PROD,2026-07-26,UDE_ID_207,3298.00000,RATE_CODE_,A,O,3905,W,V
008,100000000208,PROD,2026-07-27,UDE_ID_208,75289.00000,RATE_CODE_,U,O,7420,W,V
009,100000000209,PROD,2026-07-28,UDE_ID_209,543002.00000,RATE_CODE_,A,O,8177,W,V
010,100000000210,PROD,2026-07-29,UDE_ID_210,931621.00000,RATE_CODE_,A,O,2423,W,V
011,100000000211,PROD,2026-07-30,UDE_ID_211,894471.00000,RATE_CODE_,A,O,6433,W,V
012,100000000212,PROD,2026-07-31,UDE_ID_212,277706.00000,RATE_CODE_,A,O,1213,W,V
013,100000000213,PROD,2026-08-01,UDE_ID_213,636044.00000,RATE_CODE_,A,O,7630,W,V
014,100000000214,PROD,2026-08-02,UDE_ID_214,879074.00000,RATE_CODE_,A,O,7395,W,V
015,100000000215,PROD,2026-08-03,UDE_ID_215,662547.00000,RATE_CODE_,A,O,1833,W,V
016,100000000216,PROD,2026-08-04,UDE_ID_216,600378.00000,RATE_CODE_,A,O,2355,W,V
017,100000000217,PROD,2026-08-05,UDE_ID_217,740109.00000,RATE_CODE_,A,O,3721,W,V
018,100000000218,PROD,2026-08-06,UDE_ID_218,806759.00000,RATE_CODE_,A,O,8518,W,V
019,100000000219,PROD,2026-08-07,UDE_ID_219,496043.00000,RATE_CODE_,A,O,7282,W,V
020,100000000220,PROD,2026-08-08,UDE_ID_220,238358.00000,RATE_CODE_,A,O,8959,W,V
021,100000000221,PROD,2026-08-09,UDE_ID_221,924046.00000,RATE_CODE_,A,O,6601,W,V
022,100000000222,PROD,2026-08-10,UDE_ID_222,266107.00000,RATE_CODE_,A,O,3380,W,V
023,100000000223,PROD,2026-08-11,UDE_ID_223,172118.00000,RATE_CODE_,A,O,5133,W,V
024,100000000224,PROD,2026-08-12,UDE_ID_224,274601.00000,RATE_CODE_,A,O,9880,W,V
025,100000000225,PROD,2026-08-13,UDE_ID_225,464992.00000,RATE_CODE_,A,O,7823,W,V
001,100000000226,PROD,2026-08-14,UDE_ID_226,467393.00000,RATE_CODE_,A,O,8629,W,V
002,100000000227,PROD,2026-08-15,UDE_ID_227,330194.00000,RATE_CODE_,A,O,329,W,V
003,100000000228,PROD,2026-08-16,UDE_ID_228,779386.00000,RATE_CODE_,A,O,3575,W,V
004,100000000229,PROD,2026-08-17,UDE_ID_229,171520.00000,RATE_CODE_,A,O,5111,W,V
005,100000000230,PROD,2026-08-18,UDE_ID_230,381133.00000,RATE_CODE_,A,O,5207,W,V
006,100000000231,PROD,2026-08-19,UDE_ID_231,321834.00000,RATE_CODE_,U,O,5579,W,V
007,100000000232,PROD,2026-08-20,UDE_ID_232,19789.00000,RATE_CODE_,A,O,4154,W,V
008,100000000233,PROD,2026-08-21,UDE_ID_233,240850.00000,RATE_CODE_,A,O,5069,W,V
009,100000000234,PROD,2026-08-22,UDE_ID_234,499880.00000,RATE_CODE_,A,O,5025,W,V
010,100000000235,PROD,2026-08-23,UDE_ID_235,854719.00000,RATE_CODE_,A,O,5018,W,V
011,100000000236,PROD,2026-08-24,UDE_ID_236,472128.00000,RATE_CODE_,A,O,1484,W,V
012,100000000237,PROD,2026-08-25,UDE_ID_237,450187.00000,RATE_CODE_,A,O,1959,W,V
013,100000000238,PROD,2026-08-26,UDE_ID_238,867485.00000,RATE_CODE_,A,O,9150,W,V
014,100000000239,PROD,2026-08-27,UDE_ID_239,268469.00000,RATE_CODE_,A,O,5438,W,V
015,100000000240,PROD,2026-08-28,UDE_ID_240,878007.00000,RATE_CODE_,A,O,820,W,V
016,100000000241,PROD,2026-08-29,UDE_ID_241,232400.00000,RATE_CODE_,A,O,4914,W,V
017,100000000242,PROD,2026-08-30,UDE_ID_242,96457.00000,RATE_CODE_,A,O,7181,W,V
018,100000000243,PROD,2026-08-31,UDE_ID_243,588642.00000,RATE_CODE_,A,O,7262,W,V
019,100000000244,PROD,2026-09-01,UDE_ID_244,951289.00000,RATE_CODE_,A,O,6829,W,V
020,100000000245,PROD,2026-09-02,UDE_ID_245,902129.00000,RATE_CODE_,A,O,1162,W,V
021,100000000246,PROD,2026-09-03,UDE_ID_246,305927.00000,RATE_CODE_,A,O,3365,W,V
022,100000000247,PROD,2026-09-04,UDE_ID_247,425271.00000,RATE_CODE_,A,O,3181,W,V
023,100000000248,PROD,2026-09-05,UDE_ID_248,184313.00000,RATE_CODE_,A,O,7507,W,V
024,100000000249,PROD,2026-09-06,UDE_ID_249,495328.00000,RATE_CODE_,A,O,3429,W,V
025,100000000250,PROD,2026-09-07,UDE_ID_250,24850.00000,RATE_CODE_,A,O,7650,W,V
001,100000000251,PROD,2026-09-08,UDE_ID_251,218005.00000,RATE_CODE_,A,O,5208,W,V
002,100000000252,PROD,2026-09-09,UDE_ID_252,764342.00000,RATE_CODE_,A,O,3037,W,V
003,100000000253,PROD,2026-09-10,UDE_ID_253,361407.00000,RATE_CODE_,A,O,7284,W,V
004,100000000254,PROD,2026-09-11,UDE_ID_254,752975.00000,RATE_CODE_,U,O,243,W,V
005,100000000255,PROD,2026-09-12,UDE_ID_255,382141.00000,RATE_CODE_,A,O,9126,W,V
006,100000000256,PROD,2026-09-13,UDE_ID_256,685306.00000,RATE_CODE_,A,O,3469,W,V
007,100000000257,PROD,2026-09-14,UDE_ID_257,128933.00000,RATE_CODE_,A,O,7322,W,V
008,100000000258,PROD,2026-09-15,UDE_ID_258,898911.00000,RATE_CODE_,A,O,3750,W,V
009,100000000259,PROD,2026-09-16,UDE_ID_259,72352.00000,RATE_CODE_,A,O,9855,W,V
010,100000000260,PROD,2026-09-17,UDE_ID_260,705060.00000,RATE_CODE_,A,O,8947,W,V
