ACCOUNT_NUMBER,BRANCH_CODE,EVENT_SEQ_NO,VALUE_DATE,EXECUTION_DATE,PAYMENT_STATUS,AUTH_STAT,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,REV_MAKER_ID,REV_MAKER_DT_STAMP,REV_CHECKER_ID,REV_CHECKER_DT_STAMP,REVP_ESN,MLIQ_ESN,PROCESS_NO,PREPMNT_RECOMP_BASIS,PREPMNT_RECOMP_FROM,INSTALLMENT_PAYMENT,LIMIT_DATE,SIMULATED,CURR_ACBAL_CHK,LIQD_WOFF_LOAN
100000000011,011,455017,2026-01-11,2026-01-11,P,A,MAKER_ID_11,2026-01-11,CHECKER_ID_1,2026-01-11,REV_MAKER_ID,2026-01-11,REV_CHECKER_,2026-01-11,609949,606991,5,P,P,I,2026-01-11,S,C,L
100000000012,012,845509,2026-01-12,2026-01-12,P,A,MAKER_ID_12,2026-01-12,CHECKER_ID_1,2026-01-12,REV_MAKER_ID,2026-01-12,REV_CHECKER_,2026-01-12,201962,178651,14,P,P,I,2026-01-12,S,C,L
100000000013,013,999744,2026-01-13,2026-01-13,P,A,MAKER_ID_13,2026-01-13,CHECKER_ID_1,2026-01-13,REV_MAKER_ID,2026-01-13,REV_CHECKER_,2026-01-13,896716,820487,97,P,P,I,2026-01-13,S,C,L
100000000014,014,611375,2026-01-14,2026-01-14,P,A,MAKER_ID_14,2026-01-14,CHECKER_ID_1,2026-01-14,REV_MAKER_ID,2026-01-14,REV_CHECKER_,2026-01-14,533363,111065,6,P,P,I,2026-01-14,S,C,L
100000000015,015,274774,2026-01-15,2026-01-15,P,A,MAKER_ID_15,2026-01-15,CHECKER_ID_1,2026-01-15,REV_MAKER_ID,2026-01-15,REV_CHECKER_,2026-01-15,118694,702226,28,P,P,I,2026-01-15,S,C,L
100000000016,016,573457,2026-01-16,2026-01-16,P,A,MAKER_ID_16,2026-01-16,CHECKER_ID_1,2026-01-16,REV_MAKER_ID,2026-01-16,REV_CHECKER_,2026-01-16,234842,266471,24,P,P,I,2026-01-16,S,C,L
100000000017,017,885965,2026-01-17,2026-01-17,P,A,MAKER_ID_17,2026-01-17,CHECKER_ID_1,2026-01-17,REV_MAKER_ID,2026-01-17,REV_CHECKER_,2026-01-17,976238,912891,72,P,P,I,2026-01-17,S,C,L
100000000018,018,644882,2026-01-18,2026-01-18,P,A,MAKER_ID_18,2026-01-18,CHECKER_ID_1,2026-01-18,REV_MAKER_ID,2026-01-18,REV_CHECKER_,2026-01-18,249520,394021,87,P,P,I,2026-01-18,S,C,L
100000000019,019,656056,2026-01-19,2026-01-19,P,A,MAKER_ID_19,2026-01-19,CHECKER_ID_1,2026-01-19,REV_MAKER_ID,2026-01-19,REV_CHECKER_,2026-01-19,754699,688192,36,P,P,I,2026-01-19,S,C,L
100000000020,020,644769,2026-01-20,2026-01-20,P,A,MAKER_ID_20,2026-01-20,CHECKER_ID_2,2026-01-20,REV_MAKER_ID,2026-01-20,REV_CHECKER_,2026-01-20,860870,560072,24,P,P,I,2026-01-20,S,C,L
100000000021,021,11402,2026-01-21,2026-01-21,P,A,MAKER_ID_21,2026-01-21,CHECKER_ID_2,2026-01-21,REV_MAKER_ID,2026-01-21,REV_CHECKER_,2026-01-21,817793,290316,86,P,P,I,2026-01-21,S,C,L
100000000022,022,274058,2026-01-22,2026-01-22,P,A,MAKER_ID_22,2026-01-22,CHECKER_ID_2,2026-01-22,REV_MAKER_ID,2026-01-22,REV_CHECKER_,2026-01-22,46525,699202,6,P,P,I,2026-01-22,S,C,L
100000000023,023,924767,2026-01-23,2026-01-23,P,A,MAKER_ID_23,2026-01-23,CHECKER_ID_2,2026-01-23,REV_MAKER_ID,2026-01-23,REV_CHECKER_,2026-01-23,356886,129351,70,P,P,I,2026-01-23,S,C,L
100000000024,024,924609,2026-01-24,2026-01-24,P,U,MAKER_ID_24,2026-01-24,CHECKER_ID_2,2026-01-24,REV_MAKER_ID,2026-01-24,REV_CHECKER_,2026-01-24,469592,745097,81,P,P,I,2026-01-24,S,C,L
100000000025,025,75569,2026-01-25,2026-01-25,P,A,MAKER_ID_25,2026-01-25,CHECKER_ID_2,2026-01-25,REV_MAKER_ID,2026-01-25,REV_CHECKER_,2026-01-25,796186,410144,6,P,P,I,2026-01-25,S,C,L
100000000026,001,978712,2026-01-26,2026-01-26,P,A,MAKER_ID_26,2026-01-26,CHECKER_ID_2,2026-01-26,REV_MAKER_ID,2026-01-26,REV_CHECKER_,2026-01-26,760544,663683,72,P,P,I,2026-01-26,S,C,L
100000000027,002,636101,2026-01-27,2026-01-27,P,A,MAKER_ID_27,2026-01-27,CHECKER_ID_2,2026-01-27,REV_MAKER_ID,2026-01-27,REV_CHECKER_,2026-01-27,604957,848122,6,P,P,I,2026-01-27,S,C,L
100000000028,003,697941,2026-01-28,2026-01-28,P,A,MAKER_ID_28,2026-01-28,CHECKER_ID_2,2026-01-28,REV_MAKER_ID,2026-01-28,REV_CHECKER_,2026-01-28,592502,794017,11,P,P,I,2026-01-28,S,C,L
100000000029,004,302048,2026-01-29,2026-01-29,P,A,MAKER_ID_29,2026-01-29,CHECKER_ID_2,2026-01-29,REV_MAKER_ID,2026-01-29,REV_CHECKER_,2026-01-29,578009,386797,58,P,P,I,2026-01-29,S,C,L
100000000030,005,890574,2026-01-30,2026-01-30,P,A,MAKER_ID_30,2026-01-30,CHECKER_ID_3,2026-01-30,REV_MAKER_ID,2026-01-30,REV_CHECKER_,2026-01-30,669999,831170,86,P,P,I,2026-01-30,S,C,L
100000000031,006,931635,2026-01-31,2026-01-31,P,A,MAKER_ID_31,2026-01-31,CHECKER_ID_3,2026-01-31,REV_MAKER_ID,2026-01-31,REV_CHECKER_,2026-01-31,503202,459290,29,P,P,I,2026-01-31,S,C,L
100000000032,007,296962,2026-02-01,2026-02-01,P,A,MAKER_ID_32,2026-02-01,CHECKER_ID_3,2026-02-01,REV_MAKER_ID,2026-02-01,REV_CHECKER_,2026-02-01,827020,73839,55,P,P,I,2026-02-01,S,C,L
100000000033,008,299206,2026-02-02,2026-02-02,P,A,MAKER_ID_33,2026-02-02,CHECKER_ID_3,2026-02-02,REV_MAKER_ID,2026-02-02,REV_CHECKER_,2026-02-02,752354,38919,16,P,P,I,2026-02-02,S,C,L
100000000034,009,419227,2026-02-03,2026-02-03,P,A,MAKER_ID_34,2026-02-03,CHECKER_ID_3,2026-02-03,REV_MAKER_ID,2026-02-03,REV_CHECKER_,2026-02-03,426783,41222,55,P,P,I,2026-02-03,S,C,L
100000000035,010,77791,2026-02-04,2026-02-04,P,A,MAKER_ID_35,2026-02-04,CHECKER_ID_3,2026-02-04,REV_MAKER_ID,2026-02-04,REV_CHECKER_,2026-02-04,138382,440447,17,P,P,I,2026-02-04,S,C,L
100000000036,011,111171,2026-02-05,2026-02-05,P,A,MAKER_ID_36,2026-02-05,CHECKER_ID_3,2026-02-05,REV_MAKER_ID,2026-02-05,REV_CHECKER_,2026-02-05,196763,927551,51,P,P,I,2026-02-05,S,C,L
100000000037,012,857141,2026-02-06,2026-02-06,P,A,MAKER_ID_37,2026-02-06,CHECKER_ID_3,2026-02-06,REV_MAKER_ID,2026-02-06,REV_CHECKER_,2026-02-06,354023,693121,54,P,P,I,2026-02-06,S,C,L
100000000038,013,804716,2026-02-07,2026-02-07,P,A,MAKER_ID_38,2026-02-07,CHECKER_ID_3,2026-02-07,REV_MAKER_ID,2026-02-07,REV_CHECKER_,2026-02-07,276803,207776,41,P,P,I,2026-02-07,S,C,L
100000000039,014,569769,2026-02-08,2026-02-08,P,A,MAKER_ID_39,2026-02-08,CHECKER_ID_3,2026-02-08,REV_MAKER_ID,2026-02-08,REV_CHECKER_,2026-02-08,626431,921818,49,P,P,I,2026-02-08,S,C,L
100000000040,015,153450,2026-02-09,2026-02-09,P,A,MAKER_ID_40,2026-02-09,CHECKER_ID_4,2026-02-09,REV_MAKER_ID,2026-02-09,REV_CHECKER_,2026-02-09,944406,281934,83,P,P,I,2026-02-09,S,C,L
100000000041,016,194409,2026-02-10,2026-02-10,P,A,MAKER_ID_41,2026-02-10,CHECKER_ID_4,2026-02-10,REV_MAKER_ID,2026-02-10,REV_CHECKER_,2026-02-10,309890,799775,13,P,P,I,2026-02-10,S,C,L
100000000042,017,45729,2026-02-11,2026-02-11,P,A,MAKER_ID_42,2026-02-11,CHECKER_ID_4,2026-02-11,REV_MAKER_ID,2026-02-11,REV_CHECKER_,2026-02-11,115241,843410,75,P,P,I,2026-02-11,S,C,L
100000000043,018,597899,2026-02-12,2026-02-12,P,A,MAKER_ID_43,2026-02-12,CHECKER_ID_4,2026-02-12,REV_MAKER_ID,2026-02-12,REV_CHECKER_,2026-02-12,170478,285737,49,P,P,I,2026-02-12,S,C,L
100000000044,019,330174,2026-02-13,2026-02-13,P,A,MAKER_ID_44,2026-02-13,CHECKER_ID_4,2026-02-13,REV_MAKER_ID,2026-02-13,REV_CHECKER_,2026-02-13,273849,845208,30,P,P,I,2026-02-13,S,C,L
100000000045,020,438194,2026-02-14,2026-02-14,P,A,MAKER_ID_45,2026-02-14,CHECKER_ID_4,2026-02-14,REV_MAKER_ID,2026-02-14,REV_CHECKER_,2026-02-14,533865,421832,94,P,P,I,2026-02-14,S,C,L
100000000046,021,40287,2026-02-15,2026-02-15,P,A,MAKER_ID_46,2026-02-15,CHECKER_ID_4,2026-02-15,REV_MAKER_ID,2026-02-15,REV_CHECKER_,2026-02-15,842507,803189,89,P,P,I,2026-02-15,S,C,L
100000000047,022,227961,2026-02-16,2026-02-16,P,U,MAKER_ID_47,2026-02-16,CHECKER_ID_4,2026-02-16,REV_MAKER_ID,2026-02-16,REV_CHECKER_,2026-02-16,111702,720420,51,P,P,I,2026-02-16,S,C,L
100000000048,023,2908,2026-02-17,2026-02-17,P,A,MAKER_ID_48,2026-02-17,CHECKER_ID_4,2026-02-17,REV_MAKER_ID,2026-02-17,REV_CHECKER_,2026-02-17,521466,791709,81,P,P,I,2026-02-17,S,C,L
100000000049,024,543285,2026-02-18,2026-02-18,P,A,MAKER_ID_49,2026-02-18,CHECKER_ID_4,2026-02-18,REV_MAKER_ID,2026-02-18,REV_CHECKER_,2026-02-18,60668,624308,74,P,P,I,2026-02-18,S,C,L
100000000050,025,674814,2026-02-19,2026-02-19,P,A,MAKER_ID_50,2026-02-19,CHECKER_ID_5,2026-02-19,REV_MAKER_ID,2026-02-19,REV_CHECKER_,2026-02-19,592766,149893,13,P,P,I,2026-02-19,S,C,L
100000000051,001,78985,2026-02-20,2026-02-20,P,A,MAKER_ID_51,2026-02-20,CHECKER_ID_5,2026-02-20,REV_MAKER_ID,2026-02-20,REV_CHECKER_,2026-02-20,524772,549715,62,P,P,I,2026-02-20,S,C,L
100000000052,002,849383,2026-02-21,2026-02-21,P,A,MAKER_ID_52,2026-02-21,CHECKER_ID_5,2026-02-21,REV_MAKER_ID,2026-02-21,REV_CHECKER_,2026-02-21,828145,564181,72,P,P,I,2026-02-21,S,C,L
100000000053,003,197185,2026-02-22,2026-02-22,P,A,MAKER_ID_53,2026-02-22,CHECKER_ID_5,2026-02-22,REV_MAKER_ID,2026-02-22,REV_CHECKER_,2026-02-22,331984,97910,99,P,P,I,2026-02-22,S,C,L
100000000054,004,138368,2026-02-23,2026-02-23,P,A,MAKER_ID_54,2026-02-23,CHECKER_ID_5,2026-02-23,REV_MAKER_ID,2026-02-23,REV_CHECKER_,2026-02-23,266510,404024,27,P,P,I,2026-02-23,S,C,L
100000000055,005,321020,2026-02-24,2026-02-24,P,A,MAKER_ID_55,2026-02-24,CHECKER_ID_5,2026-02-24,REV_MAKER_ID,2026-02-24,REV_CHECKER_,2026-02-24,556068,919204,28,P,P,I,2026-02-24,S,C,L
100000000056,006,738880,2026-02-25,2026-02-25,P,A,MAKER_ID_56,2026-02-25,CHECKER_ID_5,2026-02-25,REV_MAKER_ID,2026-02-25,REV_CHECKER_,2026-02-25,784608,77752,73,P,P,I,2026-02-25,S,C,L
100000000057,007,753917,2026-02-26,2026-02-26,P,A,MAKER_ID_57,2026-02-26,CHECKER_ID_5,2026-02-26,REV_MAKER_ID,2026-02-26,REV_CHECKER_,2026-02-26,500570,322081,26,P,P,I,2026-02-26,S,C,L
100000000058,008,636772,2026-02-27,2026-02-27,P,A,MAKER_ID_58,2026-02-27,CHECKER_ID_5,2026-02-27,REV_MAKER_ID,2026-02-27,REV_CHECKER_,2026-02-27,786734,871316,8,P,P,I,2026-02-27,S,C,L
100000000059,009,674555,2026-02-28,2026-02-28,P,A,MAKER_ID_59,2026-02-28,CHECKER_ID_5,2026-02-28,REV_MAKER_ID,2026-02-28,REV_CHECKER_,2026-02-28,859042,591677,40,P,P,I,2026-02-28,S,C,L
100000000060,010,914327,2026-03-01,2026-03-01,P,A,MAKER_ID_60,2026-03-01,CHECKER_ID_6,2026-03-01,REV_MAKER_ID,2026-03-01,REV_CHECKER_,2026-03-01,49889,80177,11,P,P,I,2026-03-01,S,C,L
100000000061,011,373939,2026-03-02,2026-03-02,P,A,MAKER_ID_61,2026-03-02,CHECKER_ID_6,2026-03-02,REV_MAKER_ID,2026-03-02,REV_CHECKER_,2026-03-02,75838,886972,73,P,P,I,2026-03-02,S,C,L
100000000062,012,45544,2026-03-03,2026-03-03,P,A,MAKER_ID_62,2026-03-03,CHECKER_ID_6,2026-03-03,REV_MAKER_ID,2026-03-03,REV_CHECKER_,2026-03-03,642081,373148,96,P,P,I,2026-03-03,S,C,L
100000000063,013,437599,2026-03-04,2026-03-04,P,A,MAKER_ID_63,2026-03-04,CHECKER_ID_6,2026-03-04,REV_MAKER_ID,2026-03-04,REV_CHECKER_,2026-03-04,700015,287996,3,P,P,I,2026-03-04,S,C,L
100000000064,014,120012,2026-03-05,2026-03-05,P,A,MAKER_ID_64,2026-03-05,CHECKER_ID_6,2026-03-05,REV_MAKER_ID,2026-03-05,REV_CHECKER_,2026-03-05,550409,910347,21,P,P,I,2026-03-05,S,C,L
100000000065,015,40903,2026-03-06,2026-03-06,P,A,MAKER_ID_65,2026-03-06,CHECKER_ID_6,2026-03-06,REV_MAKER_ID,2026-03-06,REV_CHECKER_,2026-03-06,98324,364520,23,P,P,I,2026-03-06,S,C,L
100000000066,016,752212,2026-03-07,2026-03-07,P,A,MAKER_ID_66,2026-03-07,CHECKER_ID_6,2026-03-07,REV_MAKER_ID,2026-03-07,REV_CHECKER_,2026-03-07,40666,556528,89,P,P,I,2026-03-07,S,C,L
100000000067,017,623568,2026-03-08,2026-03-08,P,A,MAKER_ID_67,2026-03-08,CHECKER_ID_6,2026-03-08,REV_MAKER_ID,2026-03-08,REV_CHECKER_,2026-03-08,725123,215712,70,P,P,I,2026-03-08,S,C,L
100000000068,018,812389,2026-03-09,2026-03-09,P,A,MAKER_ID_68,2026-03-09,CHECKER_ID_6,2026-03-09,REV_MAKER_ID,2026-03-09,REV_CHECKER_,2026-03-09,264334,878199,48,P,P,I,2026-03-09,S,C,L
100000000069,019,200163,2026-03-10,2026-03-10,P,A,MAKER_ID_69,2026-03-10,CHECKER_ID_6,2026-03-10,REV_MAKER_ID,2026-03-10,REV_CHECKER_,2026-03-10,744819,639628,77,P,P,I,2026-03-10,S,C,L
100000000070,020,168091,2026-03-11,2026-03-11,P,U,MAKER_ID_70,2026-03-11,CHECKER_ID_7,2026-03-11,REV_MAKER_ID,2026-03-11,REV_CHECKER_,2026-03-11,157412,100189,60,P,P,I,2026-03-11,S,C,L
100000000071,021,821050,2026-03-12,2026-03-12,P,A,MAKER_ID_71,2026-03-12,CHECKER_ID_7,2026-03-12,REV_MAKER_ID,2026-03-12,REV_CHECKER_,2026-03-12,717919,642218,1,P,P,I,2026-03-12,S,C,L
100000000072,022,699474,2026-03-13,2026-03-13,P,A,MAKER_ID_72,2026-03-13,CHECKER_ID_7,2026-03-13,REV_MAKER_ID,2026-03-13,REV_CHECKER_,2026-03-13,538190,323638,31,P,P,I,2026-03-13,S,C,L
100000000073,023,468665,2026-03-14,2026-03-14,P,A,MAKER_ID_73,2026-03-14,CHECKER_ID_7,2026-03-14,REV_MAKER_ID,2026-03-14,REV_CHECKER_,2026-03-14,943359,208513,95,P,P,I,2026-03-14,S,C,L
100000000074,024,576828,2026-03-15,2026-03-15,P,A,MAKER_ID_74,2026-03-15,CHECKER_ID_7,2026-03-15,REV_MAKER_ID,2026-03-15,REV_CHECKER_,2026-03-15,561129,137932,82,P,P,I,2026-03-15,S,C,L
100000000075,025,1281,2026-03-16,2026-03-16,P,A,MAKER_ID_75,2026-03-16,CHECKER_ID_7,2026-03-16,REV_MAKER_ID,2026-03-16,REV_CHECKER_,2026-03-16,945110,140336,29,P,P,I,2026-03-16,S,C,L
100000000076,001,803327,2026-03-17,2026-03-17,P,A,MAKER_ID_76,2026-03-17,CHECKER_ID_7,2026-03-17,REV_MAKER_ID,2026-03-17,REV_CHECKER_,2026-03-17,923926,297472,86,P,P,I,2026-03-17,S,C,L
100000000077,002,959451,2026-03-18,2026-03-18,P,A,MAKER_ID_77,2026-03-18,CHECKER_ID_7,2026-03-18,REV_MAKER_ID,2026-03-18,REV_CHECKER_,2026-03-18,347707,376947,28,P,P,I,2026-03-18,S,C,L
100000000078,003,876486,2026-03-19,2026-03-19,P,A,MAKER_ID_78,2026-03-19,CHECKER_ID_7,2026-03-19,REV_MAKER_ID,2026-03-19,REV_CHECKER_,2026-03-19,814191,257986,39,P,P,I,2026-03-19,S,C,L
100000000079,004,185061,2026-03-20,2026-03-20,P,A,MAKER_ID_79,2026-03-20,CHECKER_ID_7,2026-03-20,REV_MAKER_ID,2026-03-20,REV_CHECKER_,2026-03-20,329030,928604,69,P,P,I,2026-03-20,S,C,L
100000000080,005,40613,2026-03-21,2026-03-21,P,A,MAKER_ID_80,2026-03-21,CHECKER_ID_8,2026-03-21,REV_MAKER_ID,2026-03-21,REV_CHECKER_,2026-03-21,299358,369009,48,P,P,I,2026-03-21,S,C,L
100000000081,006,892088,2026-03-22,2026-03-22,P,A,MAKER_ID_81,2026-03-22,CHECKER_ID_8,2026-03-22,REV_MAKER_ID,2026-03-22,REV_CHECKER_,2026-03-22,329646,353067,77,P,P,I,2026-03-22,S,C,L
100000000082,007,395995,2026-03-23,2026-03-23,P,A,MAKER_ID_82,2026-03-23,CHECKER_ID_8,2026-03-23,REV_MAKER_ID,2026-03-23,REV_CHECKER_,2026-03-23,663242,381761,55,P,P,I,2026-03-23,S,C,L
100000000083,008,59874,2026-03-24,2026-03-24,P,A,MAKER_ID_83,2026-03-24,CHECKER_ID_8,2026-03-24,REV_MAKER_ID,2026-03-24,REV_CHECKER_,2026-03-24,45122,364475,21,P,P,I,2026-03-24,S,C,L
100000000084,009,337179,2026-03-25,2026-03-25,P,A,MAKER_ID_84,2026-03-25,CHECKER_ID_8,2026-03-25,REV_MAKER_ID,2026-03-25,REV_CHECKER_,2026-03-25,647269,176030,0,P,P,I,2026-03-25,S,C,L
100000000085,010,11882,2026-03-26,2026-03-26,P,A,MAKER_ID_85,2026-03-26,CHECKER_ID_8,2026-03-26,REV_MAKER_ID,2026-03-26,REV_CHECKER_,2026-03-26,156947,476497,22,P,P,I,2026-03-26,S,C,L
100000000086,011,65006,2026-03-27,2026-03-27,P,A,MAKER_ID_86,2026-03-27,CHECKER_ID_8,2026-03-27,REV_MAKER_ID,2026-03-27,REV_CHECKER_,2026-03-27,361383,319333,99,P,P,I,2026-03-27,S,C,L
100000000087,012,288433,2026-03-28,2026-03-28,P,A,MAKER_ID_87,2026-03-28,CHECKER_ID_8,2026-03-28,REV_MAKER_ID,2026-03-28,REV_CHECKER_,2026-03-28,458836,309309,51,P,P,I,2026-03-28,S,C,L
100000000088,013,847580,2026-03-29,2026-03-29,P,A,MAKER_ID_88,2026-03-29,CHECKER_ID_8,2026-03-29,REV_MAKER_ID,2026-03-29,REV_CHECKER_,2026-03-29,136476,163826,10,P,P,I,2026-03-29,S,C,L
100000000089,014,535959,2026-03-30,2026-03-30,P,A,MAKER_ID_89,2026-03-30,CHECKER_ID_8,2026-03-30,REV_MAKER_ID,2026-03-30,REV_CHECKER_,2026-03-30,379547,550338,13,P,P,I,2026-03-30,S,C,L
100000000090,015,280295,2026-03-31,2026-03-31,P,A,MAKER_ID_90,2026-03-31,CHECKER_ID_9,2026-03-31,REV_MAKER_ID,2026-03-31,REV_CHECKER_,2026-03-31,135073,182707,88,P,P,I,2026-03-31,S,C,L
100000000091,016,143627,2026-04-01,2026-04-01,P,A,MAKER_ID_91,2026-04-01,CHECKER_ID_9,2026-04-01,REV_MAKER_ID,2026-04-01,REV_CHECKER_,2026-04-01,118648,733202,13,P,P,I,2026-04-01,S,C,L
100000000092,017,881702,2026-04-02,2026-04-02,P,A,MAKER_ID_92,2026-04-02,CHECKER_ID_9,2026-04-02,REV_MAKER_ID,2026-04-02,REV_CHECKER_,2026-04-02,523385,144138,38,P,P,I,2026-04-02,S,C,L
100000000093,018,998303,2026-04-03,2026-04-03,P,U,MAKER_ID_93,2026-04-03,CHECKER_ID_9,2026-04-03,REV_MAKER_ID,2026-04-03,REV_CHECKER_,2026-04-03,132331,573475,64,P,P,I,2026-04-03,S,C,L
100000000094,019,966558,2026-04-04,2026-04-04,P,A,MAKER_ID_94,2026-04-04,CHECKER_ID_9,2026-04-04,REV_MAKER_ID,2026-04-04,REV_CHECKER_,2026-04-04,565033,55469,36,P,P,I,2026-04-04,S,C,L
100000000095,020,806406,2026-04-05,2026-04-05,P,A,MAKER_ID_95,2026-04-05,CHECKER_ID_9,2026-04-05,REV_MAKER_ID,2026-04-05,REV_CHECKER_,2026-04-05,893469,361036,63,P,P,I,2026-04-05,S,C,L
100000000096,021,573748,2026-04-06,2026-04-06,P,A,MAKER_ID_96,2026-04-06,CHECKER_ID_9,2026-04-06,REV_MAKER_ID,2026-04-06,REV_CHECKER_,2026-04-06,87671,267721,57,P,P,I,2026-04-06,S,C,L
100000000097,022,750087,2026-04-07,2026-04-07,P,A,MAKER_ID_97,2026-04-07,CHECKER_ID_9,2026-04-07,REV_MAKER_ID,2026-04-07,REV_CHECKER_,2026-04-07,188168,711328,57,P,P,I,2026-04-07,S,C,L
100000000098,023,814858,2026-04-08,2026-04-08,P,A,MAKER_ID_98,2026-04-08,CHECKER_ID_9,2026-04-08,REV_MAKER_ID,2026-04-08,REV_CHECKER_,2026-04-08,555855,595582,78,P,P,I,2026-04-08,S,C,L
100000000099,024,830020,2026-04-09,2026-04-09,P,A,MAKER_ID_99,2026-04-09,CHECKER_ID_9,2026-04-09,REV_MAKER_ID,2026-04-09,REV_CHECKER_,2026-04-09,207232,756517,23,P,P,I,2026-04-09,S,C,L
100000000100,025,655908,2026-04-10,2026-04-10,P,A,MAKER_ID_100,2026-04-10,CHECKER_ID_1,2026-04-10,REV_MAKER_ID,2026-04-10,REV_CHECKER_,2026-04-10,462239,14342,32,P,P,I,2026-04-10,S,C,L
100000000101,001,323321,2026-04-11,2026-04-11,P,A,MAKER_ID_101,2026-04-11,CHECKER_ID_1,2026-04-11,REV_MAKER_ID,2026-04-11,REV_CHECKER_,2026-04-11,486029,751058,69,P,P,I,2026-04-11,S,C,L
100000000102,002,165586,2026-04-12,2026-04-12,P,A,MAKER_ID_102,2026-04-12,CHECKER_ID_1,2026-04-12,REV_MAKER_ID,2026-04-12,REV_CHECKER_,2026-04-12,388565,851771,2,P,P,I,2026-04-12,S,C,L
100000000103,003,154315,2026-04-13,2026-04-13,P,A,MAKER_ID_103,2026-04-13,CHECKER_ID_1,2026-04-13,REV_MAKER_ID,2026-04-13,REV_CHECKER_,2026-04-13,971238,508716,18,P,P,I,2026-04-13,S,C,L
100000000104,004,655449,2026-04-14,2026-04-14,P,A,MAKER_ID_104,2026-04-14,CHECKER_ID_1,2026-04-14,REV_MAKER_ID,2026-04-14,REV_CHECKER_,2026-04-14,639249,940876,7,P,P,I,2026-04-14,S,C,L
100000000105,005,301831,2026-04-15,2026-04-15,P,A,MAKER_ID_105,2026-04-15,CHECKER_ID_1,2026-04-15,REV_MAKER_ID,2026-04-15,REV_CHECKER_,2026-04-15,498402,592119,80,P,P,I,2026-04-15,S,C,L
100000000106,006,828472,2026-04-16,2026-04-16,P,A,MAKER_ID_106,2026-04-16,CHECKER_ID_1,2026-04-16,REV_MAKER_ID,2026-04-16,REV_CHECKER_,2026-04-16,73757,305963,94,P,P,I,2026-04-16,S,C,L
100000000107,007,878181,2026-04-17,2026-04-17,P,A,MAKER_ID_107,2026-04-17,CHECKER_ID_1,2026-04-17,REV_MAKER_ID,2026-04-17,REV_CHECKER_,2026-04-17,147881,126317,70,P,P,I,2026-04-17,S,C,L
