BRN,ACC,CCY,VERSION_NO,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,CREATION_DT,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_EVENT_SEQ_NO,TENOR,NEXT_RATE_CHANGE_DT,INPUT_TAX_AMT,TD_MATURITY_AMT,TD_INT_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,XREF,TD_PRN_AMT_READJ_CCY,TD_INT_AMT,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,TXN_ID
011,100000000011,EUR,4078,P,24783.900,OFF,100000000011,TRN000000000011,2026-01-11,2026-01-11,TD_DEPOSITER,Td Depositer Name 11,TD_CERT_COLL,Td Cert Collector Name 11,TD_WITHDRAWE,Td Withdrawer Name 11,2026-01-11,E,J,JOINT_HOLDER,2026-01-11,PAY,100000000011,EUR,RA,RO,100000000011,INT,EUR,A,G,G,ADVICE_MEDIA_11,EMAIL_11,CU,D,A,A,REASON_CODE_11,3640,4234,2026-01-11,19723.900,17761.200,23574.1000,7163.5000,XREF_11,15230.8000,18739.800,12414.6000,A,132025,3.54000,2026-01-11,369831,743993,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-11,011,MAI,MAI,MAI,CMA,2.5300,COMME,011,45631,440862,BAE,AUTHORIZE,VAL,M,DESTI,CUST000011,CUST000011,OPERATION_KEY_1,D,D,B,0.85000,0.84000,A,RATE_CODE_,4.02000,M,RETN_,RETN_,822749.00000,709717.00000,16353.8000,NAT,TXN0000000000000011
012,100000000012,BRL,8988,P,1378.600,OFF,100000000012,TRN000000000012,2026-01-12,2026-01-12,TD_DEPOSITER,Td Depositer Name 12,TD_CERT_COLL,Td Cert Collector Name 12,TD_WITHDRAWE,Td Withdrawer Name 12,2026-01-12,E,J,JOINT_HOLDER,2026-01-12,PAY,100000000012,BRL,RA,RO,100000000012,INT,BRL,A,G,G,ADVICE_MEDIA_12,EMAIL_12,CU,D,A,A,REASON_CODE_12,7449,2892,2026-01-12,9524.200,528.800,21747.9000,2605.0000,XREF_12,18454.7000,9271.000,20384.3000,A,729557,4.07000,2026-01-12,831631,504147,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-12,012,MAI,MAI,MAI,CMA,1.3800,COMME,012,399222,718154,BAE,AUTHORIZE,VAL,M,DESTI,CUST000012,CUST000012,OPERATION_KEY_1,D,D,B,4.50000,4.16000,A,RATE_CODE_,2.84000,M,RETN_,RETN_,124183.00000,477113.00000,891.3000,NAT,TXN0000000000000012
013,100000000013,USD,9367,P,3400.300,OFF,100000000013,TRN000000000013,2026-01-13,2026-01-13,TD_DEPOSITER,Td Depositer Name 13,TD_CERT_COLL,Td Cert Collector Name 13,TD_WITHDRAWE,Td Withdrawer Name 13,2026-01-13,E,J,JOINT_HOLDER,2026-01-13,PAY,100000000013,USD,RA,RO,100000000013,INT,USD,A,G,G,ADVICE_MEDIA_13,EMAIL_13,CU,D,A,A,REASON_CODE_13,5705,7462,2026-01-13,80.800,24863.300,13364.1000,4024.1000,XREF_13,24056.9000,24955.200,24279.5000,A,657869,3.21000,2026-01-13,285092,434610,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-13,013,MAI,MAI,MAI,CMA,1.6500,COMME,013,889076,433326,BAE,AUTHORIZE,VAL,M,DESTI,CUST000013,CUST000013,OPERATION_KEY_1,D,D,B,1.46000,2.18000,A,RATE_CODE_,2.15000,M,RETN_,RETN_,939523.00000,145309.00000,16248.2000,NAT,TXN0000000000000013
014,100000000014,PEN,3851,P,23275.300,OFF,100000000014,TRN000000000014,2026-01-14,2026-01-14,TD_DEPOSITER,Td Depositer Name 14,TD_CERT_COLL,Td Cert Collector Name 14,TD_WITHDRAWE,Td Withdrawer Name 14,2026-01-14,E,J,JOINT_HOLDER,2026-01-14,PAY,100000000014,PEN,RA,RO,100000000014,INT,PEN,A,G,G,ADVICE_MEDIA_14,EMAIL_14,CU,D,A,A,REASON_CODE_14,994,7154,2026-01-14,3005.600,14837.000,9788.6000,15630.5000,XREF_14,20080.9000,8768.100,19796.3000,A,319541,4.30000,2026-01-14,103070,58569,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-14,014,MAI,MAI,MAI,CMA,3.2300,COMME,014,72217,427580,BAE,AUTHORIZE,VAL,M,DESTI,CUST000014,CUST000014,OPERATION_KEY_1,D,D,B,2.25000,4.42000,A,RATE_CODE_,1.55000,M,RETN_,RETN_,947920.00000,776211.00000,24421.2000,NAT,TXN0000000000000014
015,100000000015,EUR,3193,P,5449.000,OFF,100000000015,TRN000000000015,2026-01-15,2026-01-15,TD_DEPOSITER,Td Depositer Name 15,TD_CERT_COLL,Td Cert Collector Name 15,TD_WITHDRAWE,Td Withdrawer Name 15,2026-01-15,E,J,JOINT_HOLDER,2026-01-15,PAY,100000000015,EUR,RA,RO,100000000015,INT,EUR,A,G,G,ADVICE_MEDIA_15,EMAIL_15,CU,D,A,A,REASON_CODE_15,7848,6072,2026-01-15,2479.000,16034.600,23483.1000,4201.6000,XREF_15,20471.4000,8407.300,2817.6000,A,375481,1.45000,2026-01-15,911543,423674,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-15,015,MAI,MAI,MAI,CMA,3.5300,COMME,015,459482,494602,BAE,AUTHORIZE,VAL,M,DESTI,CUST000015,CUST000015,OPERATION_KEY_1,D,D,B,1.83000,2.32000,A,RATE_CODE_,3.79000,M,RETN_,RETN_,23321.00000,670622.00000,19365.9000,NAT,TXN0000000000000015
016,100000000016,BRL,2440,P,7843.100,OFF,100000000016,TRN000000000016,2026-01-16,2026-01-16,TD_DEPOSITER,Td Depositer Name 16,TD_CERT_COLL,Td Cert Collector Name 16,TD_WITHDRAWE,Td Withdrawer Name 16,2026-01-16,E,J,JOINT_HOLDER,2026-01-16,PAY,100000000016,BRL,RA,RO,100000000016,INT,BRL,A,G,G,ADVICE_MEDIA_16,EMAIL_16,CU,D,A,A,REASON_CODE_16,8502,4386,2026-01-16,4714.500,7381.800,14204.8000,14867.1000,XREF_16,24217.2000,19564.900,11298.0000,A,399280,3.64000,2026-01-16,774229,927288,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-16,016,MAI,MAI,MAI,CMA,2.3100,COMME,016,843811,788347,BAE,AUTHORIZE,VAL,M,DESTI,CUST000016,CUST000016,OPERATION_KEY_1,D,D,B,2.75000,1.42000,A,RATE_CODE_,4.20000,M,RETN_,RETN_,302134.00000,2031.00000,20416.6000,NAT,TXN0000000000000016
017,100000000017,USD,1876,P,21798.600,OFF,100000000017,TRN000000000017,2026-01-17,2026-01-17,TD_DEPOSITER,Td Depositer Name 17,TD_CERT_COLL,Td Cert Collector Name 17,TD_WITHDRAWE,Td Withdrawer Name 17,2026-01-17,E,J,JOINT_HOLDER,2026-01-17,PAY,100000000017,USD,RA,RO,100000000017,INT,USD,A,G,G,ADVICE_MEDIA_17,EMAIL_17,CU,D,A,A,REASON_CODE_17,5550,414,2026-01-17,10212.500,20522.000,11779.9000,19801.0000,XREF_17,7817.8000,21997.100,18511.8000,A,663139,3.36000,2026-01-17,545205,93340,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-17,017,MAI,MAI,MAI,CMA,3.4100,COMME,017,94649,946003,BAE,AUTHORIZE,VAL,M,DESTI,CUST000017,CUST000017,OPERATION_KEY_1,D,D,B,3.36000,0.93000,A,RATE_CODE_,1.43000,M,RETN_,RETN_,660133.00000,375381.00000,18647.2000,NAT,TXN0000000000000017
018,100000000018,PEN,3487,P,20555.600,OFF,100000000018,TRN000000000018,2026-01-18,2026-01-18,TD_DEPOSITER,Td Depositer Name 18,TD_CERT_COLL,Td Cert Collector Name 18,TD_WITHDRAWE,Td Withdrawer Name 18,2026-01-18,E,J,JOINT_HOLDER,2026-01-18,PAY,100000000018,PEN,RA,RO,100000000018,INT,PEN,A,G,G,ADVICE_MEDIA_18,EMAIL_18,CU,D,A,A,REASON_CODE_18,6107,4092,2026-01-18,12598.200,13790.900,13767.9000,9486.6000,XREF_18,19216.3000,5.400,18401.4000,A,547588,3.52000,2026-01-18,733545,853714,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-18,018,MAI,MAI,MAI,CMA,4.4800,COMME,018,729517,222987,BAE,AUTHORIZE,VAL,M,DESTI,CUST000018,CUST000018,OPERATION_KEY_1,D,D,B,4.44000,1.58000,A,RATE_CODE_,1.98000,M,RETN_,RETN_,159866.00000,168048.00000,11718.5000,NAT,TXN0000000000000018
019,100000000019,EUR,166,P,24075.900,OFF,100000000019,TRN000000000019,2026-01-19,2026-01-19,TD_DEPOSITER,Td Depositer Name 19,TD_CERT_COLL,Td Cert Collector Name 19,TD_WITHDRAWE,Td Withdrawer Name 19,2026-01-19,E,J,JOINT_HOLDER,2026-01-19,PAY,100000000019,EUR,RA,RO,100000000019,INT,EUR,A,G,G,ADVICE_MEDIA_19,EMAIL_19,CU,D,A,A,REASON_CODE_19,4069,8801,2026-01-19,5218.300,7938.700,24860.4000,23529.9000,XREF_19,15358.7000,7044.300,12310.0000,A,369451,3.07000,2026-01-19,682905,800548,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-19,019,MAI,MAI,MAI,CMA,1.4100,COMME,019,338249,636967,BAE,AUTHORIZE,VAL,M,DESTI,CUST000019,CUST000019,OPERATION_KEY_1,D,D,B,3.71000,3.17000,A,RATE_CODE_,4.40000,M,RETN_,RETN_,922217.00000,65730.00000,11433.1000,NAT,TXN0000000000000019
020,100000000020,BRL,4764,P,3930.600,OFF,100000000020,TRN000000000020,2026-01-20,2026-01-20,TD_DEPOSITER,Td Depositer Name 20,TD_CERT_COLL,Td Cert Collector Name 20,TD_WITHDRAWE,Td Withdrawer Name 20,2026-01-20,E,J,JOINT_HOLDER,2026-01-20,PAY,100000000020,BRL,RA,RO,100000000020,INT,BRL,A,G,G,ADVICE_MEDIA_20,EMAIL_20,CU,D,A,A,REASON_CODE_20,3737,2784,2026-01-20,14216.700,15798.200,17494.6000,10210.4000,XREF_20,5243.1000,6686.400,10386.0000,A,782496,0.86000,2026-01-20,738638,248380,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-20,020,MAI,MAI,MAI,CMA,4.0600,COMME,020,691112,491084,BAE,AUTHORIZE,VAL,M,DESTI,CUST000020,CUST000020,OPERATION_KEY_2,D,D,B,1.68000,3.83000,A,RATE_CODE_,2.06000,M,RETN_,RETN_,656625.00000,20543.00000,5345.0000,NAT,TXN0000000000000020
