BRN,ACC,CALC_ACC,BOOK_ACC,HAS_IS,INT_START_DATE,LAST_IS_DATE,ACC_TYPE,BOOK_BRN,SHOW_BV_IS,BVT_DATE,CHARGE_ACC,BOOK_CCY,CHARGE_CCY,COMBVT_DATE,VERSION_NO,AUTO_ROLLOVER,CLOSE_ON_MATURITY,MOVE_INT_TO_UNCLAIMED,MOVE_PRIC_TO_UNCLAIMED,MATURITY_DATE,PRINC_LIQ_AC,ROLLOVER_TYPE,ROLLOVER_AMT,PRINC_LIQ_BRANCH,NEXT_MATURITY_DATE,HAS_DRCR_ADV,RD_FLAG,RD_AUTO_PMNT_TAKEDOWN,RD_MOVE_MAT_TO_UNCLAIMED,RD_MOVE_FUNDS_ON_OVD,RD_TAKEDOWN_DAYS,RD_TAKEDOWN_MONTHS,RD_TAKEDOWN_YEARS,RD_PAYMENT_ACC,RD_PAYMENT_BRN,RD_PAYMENT_CCY,RD_INSTALLMENT_AMT,RD_PAY_SCHDT,OVERRIDE_AMT_BLOCK,CHG_START_DATE,CHARGE_BRN,REDIRECT_LCY_ENTRIES,PRINC_LIQ_MODE,PRINC_LIQ_CCY,ARCHIVE_DATE,REFERENCE_NO
019,100000000044,100000000044,100000000044,H,2026-02-13,2026-02-13,1,BOO,S,2026-02-13,100000000044,BRL,BRL,2026-02-13,111742,A,C,M,M,2026-02-13,PRINC_LIQ_AC_44,R,10705,019,2026-02-13,C,N,R,R,R,7,16944,85153,100000000044,RD_,BRL,19968.300,2026-02-13,O,2026-02-13,CHA,R,PRI,BRL,2026-02-13,TRN000000000044
020,100000000045,100000000045,100000000045,H,2026-02-14,2026-02-14,1,BOO,S,2026-02-14,100000000045,USD,USD,2026-02-14,18156,A,C,M,M,2026-02-14,PRINC_LIQ_AC_45,R,4559,020,2026-02-14,D,N,R,R,R,20,67341,66034,100000000045,RD_,USD,10253.200,2026-02-14,O,2026-02-14,CHA,R,PRI,USD,2026-02-14,TRN000000000045
021,100000000046,100000000046,100000000046,H,2026-02-15,2026-02-15,1,BOO,S,2026-02-15,100000000046,PEN,PEN,2026-02-15,856564,A,C,M,M,2026-02-15,PRINC_LIQ_AC_46,R,16140,021,2026-02-15,C,Y,R,R,R,30,58720,91000,100000000046,RD_,PEN,14379.600,2026-02-15,O,2026-02-15,CHA,R,PRI,PEN,2026-02-15,TRN000000000046
022,100000000047,100000000047,100000000047,H,2026-02-16,2026-02-16,1,BOO,S,2026-02-16,100000000047,EUR,EUR,2026-02-16,53759,A,C,M,M,2026-02-16,PRINC_LIQ_AC_47,R,12349,022,2026-02-16,D,N,R,R,R,3,2598,71003,100000000047,RD_,EUR,3746.100,2026-02-16,O,2026-02-16,CHA,R,PRI,EUR,2026-02-16,TRN000000000047
023,100000000048,100000000048,100000000048,H,2026-02-17,2026-02-17,1,BOO,S,2026-02-17,100000000048,BRL,BRL,2026-02-17,641746,A,C,M,M,2026-02-17,PRINC_LIQ_AC_48,R,5016,023,2026-02-17,C,N,R,R,R,22,14837,47880,100000000048,RD_,BRL,20579.200,2026-02-17,O,2026-02-17,CHA,R,PRI,BRL,2026-02-17,TRN000000000048
024,100000000049,100000000049,100000000049,H,2026-02-18,2026-02-18,1,BOO,S,2026-02-18,100000000049,USD,USD,2026-02-18,725141,A,C,M,M,2026-02-18,PRINC_LIQ_AC_49,R,7669,024,2026-02-18,D,N,R,R,R,10,57284,49338,100000000049,RD_,USD,7620.500,2026-02-18,O,2026-02-18,CHA,R,PRI,USD,2026-02-18,TRN000000000049
025,100000000050,100000000050,100000000050,H,2026-02-19,2026-02-19,1,BOO,S,2026-02-19,100000000050,PEN,PEN,2026-02-19,131568,A,C,M,M,2026-02-19,PRINC_LIQ_AC_50,R,19129,025,2026-02-19,C,N,R,R,R,29,36625,5448,100000000050,RD_,PEN,22415.400,2026-02-19,O,2026-02-19,CHA,R,PRI,PEN,2026-02-19,TRN000000000050
001,100000000051,100000000051,100000000051,H,2026-02-20,2026-02-20,1,BOO,S,2026-02-20,100000000051,EUR,EUR,2026-02-20,751364,A,C,M,M,2026-02-20,PRINC_LIQ_AC_51,R,17113,001,2026-02-20,D,Y,R,R,R,17,65601,95090,100000000051,RD_,EUR,11395.300,2026-02-20,O,2026-02-20,CHA,R,PRI,EUR,2026-02-20,TRN000000000051
002,100000000052,100000000052,100000000052,H,2026-02-21,2026-02-21,1,BOO,S,2026-02-21,100000000052,BRL,BRL,2026-02-21,663786,A,C,M,M,2026-02-21,PRINC_LIQ_AC_52,R,11146,002,2026-02-21,C,N,R,R,R,31,50229,73465,100000000052,RD_,BRL,7837.800,2026-02-21,O,2026-02-21,CHA,R,PRI,BRL,2026-02-21,TRN000000000052
003,100000000053,100000000053,100000000053,H,2026-02-22,2026-02-22,1,BOO,S,2026-02-22,100000000053,USD,USD,2026-02-22,241674,A,C,M,M,2026-02-22,PRINC_LIQ_AC_53,R,11747,003,2026-02-22,D,N,R,R,R,36,88566,49177,100000000053,RD_,USD,16489.800,2026-02-22,O,2026-02-22,CHA,R,PRI,USD,2026-02-22,TRN000000000053
004,100000000054,100000000054,100000000054,H,2026-02-23,2026-02-23,1,BOO,S,2026-02-23,100000000054,PEN,PEN,2026-02-23,840662,A,C,M,M,2026-02-23,PRINC_LIQ_AC_54,R,21052,004,2026-02-23,C,N,R,R,R,27,90862,43525,100000000054,RD_,PEN,16950.600,2026-02-23,O,2026-02-23,CHA,R,PRI,PEN,2026-02-23,TRN000000000054
005,100000000055,100000000055,100000000055,H,2026-02-24,2026-02-24,1,BOO,S,2026-02-24,100000000055,EUR,EUR,2026-02-24,624303,A,C,M,M,2026-02-24,PRINC_LIQ_AC_55,R,7913,005,2026-02-24,D,N,R,R,R,9,79700,75170,100000000055,RD_,EUR,1700.600,2026-02-24,O,2026-02-24,CHA,R,PRI,EUR,2026-02-24,TRN000000000055
006,100000000056,100000000056,100000000056,H,2026-02-25,2026-02-25,1,BOO,S,2026-02-25,100000000056,BRL,BRL,2026-02-25,15163,A,C,M,M,2026-02-25,PRINC_LIQ_AC_56,R,19771,006,2026-02-25,C,Y,R,R,R,4,55106,45837,100000000056,RD_,BRL,10000.600,2026-02-25,O,2026-02-25,CHA,R,PRI,BRL,2026-02-25,TRN000000000056
007,100000000057,100000000057,100000000057,H,2026-02-26,2026-02-26,1,BOO,S,2026-02-26,100000000057,USD,USD,2026-02-26,810037,A,C,M,M,2026-02-26,PRINC_LIQ_AC_57,R,1044,007,2026-02-26,D,N,R,R,R,0,46805,22659,100000000057,RD_,USD,6754.800,2026-02-26,O,2026-02-26,CHA,R,PRI,USD,2026-02-26,TRN000000000057
008,100000000058,100000000058,100000000058,H,2026-02-27,2026-02-27,1,BOO,S,2026-02-27,100000000058,PEN,PEN,2026-02-27,847923,A,C,M,M,2026-02-27,PRINC_LIQ_AC_58,R,3069,008,2026-02-27,C,N,R,R,R,20,43172,10076,100000000058,RD_,PEN,6294.400,2026-02-27,O,2026-02-27,CHA,R,PRI,PEN,2026-02-27,TRN000000000058
009,100000000059,100000000059,100000000059,H,2026-02-28,2026-02-28,1,BOO,S,2026-02-28,100000000059,EUR,EUR,2026-02-28,67372,A,C,M,M,2026-02-28,PRINC_LIQ_AC_59,R,24098,009,2026-02-28,D,N,R,R,R,18,40491,17264,100000000059,RD_,EUR,1274.000,2026-02-28,O,2026-02-28,CHA,R,PRI,EUR,2026-02-28,TRN000000000059
010,100000000060,100000000060,100000000060,H,2026-03-01,2026-03-01,1,BOO,S,2026-03-01,100000000060,BRL,BRL,2026-03-01,234220,A,C,M,M,2026-03-01,PRINC_LIQ_AC_60,R,18070,010,2026-03-01,C,N,R,R,R,21,70417,23582,100000000060,RD_,BRL,2864.000,2026-03-01,O,2026-03-01,CHA,R,PRI,BRL,2026-03-01,TRN000000000060
011,100000000061,100000000061,100000000061,H,2026-03-02,2026-03-02,1,BOO,S,2026-03-02,100000000061,USD,USD,2026-03-02,222827,A,C,M,M,2026-03-02,PRINC_LIQ_AC_61,R,8589,011,2026-03-02,D,Y,R,R,R,33,76777,59340,100000000061,RD_,USD,20343.600,2026-03-02,O,2026-03-02,CHA,R,PRI,USD,2026-03-02,TRN000000000061
012,100000000062,100000000062,100000000062,H,2026-03-03,2026-03-03,1,BOO,S,2026-03-03,100000000062,PEN,PEN,2026-03-03,234436,A,C,M,M,2026-03-03,PRINC_LIQ_AC_62,R,20468,012,2026-03-03,C,N,R,R,R,13,81194,39094,100000000062,RD_,PEN,1691.700,2026-03-03,O,2026-03-03,CHA,R,PRI,PEN,2026-03-03,TRN000000000062
013,100000000063,100000000063,100000000063,H,2026-03-04,2026-03-04,1,BOO,S,2026-03-04,100000000063,EUR,EUR,2026-03-04,396434,A,C,M,M,2026-03-04,PRINC_LIQ_AC_63,R,4754,013,2026-03-04,D,N,R,R,R,20,82149,98989,100000000063,RD_,EUR,17353.800,2026-03-04,O,2026-03-04,CHA,R,PRI,EUR,2026-03-04,TRN000000000063
014,100000000064,100000000064,100000000064,H,2026-03-05,2026-03-05,1,BOO,S,2026-03-05,100000000064,BRL,BRL,2026-03-05,602984,A,C,M,M,2026-03-05,PRINC_LIQ_AC_64,R,18708,014,2026-03-05,C,N,R,R,R,14,48644,93498,100000000064,RD_,BRL,8821.800,2026-03-05,O,2026-03-05,CHA,R,PRI,BRL,2026-03-05,TRN000000000064
015,100000000065,100000000065,100000000065,H,2026-03-06,2026-03-06,1,BOO,S,2026-03-06,100000000065,USD,USD,2026-03-06,474593,A,C,M,M,2026-03-06,PRINC_LIQ_AC_65,R,21947,015,2026-03-06,D,N,R,R,R,21,32063,67230,100000000065,RD_,USD,23449.200,2026-03-06,O,2026-03-06,CHA,R,PRI,USD,2026-03-06,TRN000000000065
