BRN,ACC,CCY,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,TENOR,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CREATION_DT,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_VERSION_NO,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,LATEST_EVENT_SEQ_NO,TXN_ID,NEXT_RATE_CHANGE_DT,TD_INT_AMT_READJ_CCY,TD_INT_AMT,TD_MATURITY_AMT,TD_PRN_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,INPUT_TAX_AMT,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,ARCHIVE_DATE
011,100000000011,EUR,P,12988.200,OFF,100000000011,TRN000000000011,491,Td Withdrawer Name 11,2026-01-11,E,J,JOINT_HOLDER,2026-01-11,PAY,100000000011,EUR,RA,RO,100000000011,INT,EUR,A,G,GE,ADVICE_MEDIA_11,EMAIL_11,2026-01-11,CU,D,A,A,REASON_CODE_11,LATE,2026-01-11,TD_DEPOSITER,Td Depositer Name 11,TD_CERT_COLL,Td Cert Collector Name 11,TD_WITHDRAWE,3265,TXN0000000000000011,2026-01-11,10533.8000,20145.600,15465.700,16667.3000,5855.8000,17505.900,A,96713,1.36000,2026-01-11,442557,78386,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-11,011,MAI,MAI,MAI,CMA,2.7100,COMME,011,798751,848815,BAE,AUTHORIZE,VAL,M,DESTI,CUST000011,CUST000011,OPERATION_KEY_1,D,D,B,1.28000,1.13000,A,RATE_CODE_,2.64000,M,RETN_,RETN_,10177.800,9912.00000,767071.00000,5777.9000,NAT,2026-01-11
012,100000000012,BRL,P,17195.800,OFF,100000000012,TRN000000000012,3765,Td Withdrawer Name 12,2026-01-12,E,J,JOINT_HOLDER,2026-01-12,PAY,100000000012,BRL,RA,RO,100000000012,INT,BRL,A,G,GE,ADVICE_MEDIA_12,EMAIL_12,2026-01-12,CU,D,A,A,REASON_CODE_12,LATE,2026-01-12,TD_DEPOSITER,Td Depositer Name 12,TD_CERT_COLL,Td Cert Collector Name 12,TD_WITHDRAWE,1781,TXN0000000000000012,2026-01-12,3392.4000,22425.400,17631.500,10920.3000,12554.4000,21448.800,A,130762,3.78000,2026-01-12,908304,946853,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-12,012,MAI,MAI,MAI,CMA,1.2800,COMME,012,917188,518174,BAE,AUTHORIZE,VAL,M,DESTI,CUST000012,CUST000012,OPERATION_KEY_1,D,D,B,3.92000,3.88000,A,RATE_CODE_,3.20000,M,RETN_,RETN_,11512.800,676492.00000,79474.00000,16233.9000,NAT,2026-01-12
013,100000000013,USD,P,5108.300,OFF,100000000013,TRN000000000013,2608,Td Withdrawer Name 13,2026-01-13,E,J,JOINT_HOLDER,2026-01-13,PAY,100000000013,USD,RA,RO,100000000013,INT,USD,A,G,GE,ADVICE_MEDIA_13,EMAIL_13,2026-01-13,CU,D,A,A,REASON_CODE_13,LATE,2026-01-13,TD_DEPOSITER,Td Depositer Name 13,TD_CERT_COLL,Td Cert Collector Name 13,TD_WITHDRAWE,6830,TXN0000000000000013,2026-01-13,2650.1000,12621.500,15931.000,13122.2000,3296.5000,21883.000,A,67266,1.72000,2026-01-13,434460,423116,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-13,013,MAI,MAI,MAI,CMA,3.7900,COMME,013,542411,114817,BAE,AUTHORIZE,VAL,M,DESTI,CUST000013,CUST000013,OPERATION_KEY_1,D,D,B,1.59000,3.64000,A,RATE_CODE_,2.31000,M,RETN_,RETN_,6843.700,250198.00000,153563.00000,3271.8000,NAT,2026-01-13
014,100000000014,PEN,P,17707.600,OFF,100000000014,TRN000000000014,9649,Td Withdrawer Name 14,2026-01-14,E,J,JOINT_HOLDER,2026-01-14,PAY,100000000014,PEN,RA,RO,100000000014,INT,PEN,A,G,GE,ADVICE_MEDIA_14,EMAIL_14,2026-01-14,CU,D,A,A,REASON_CODE_14,LATE,2026-01-14,TD_DEPOSITER,Td Depositer Name 14,TD_CERT_COLL,Td Cert Collector Name 14,TD_WITHDRAWE,4467,TXN0000000000000014,2026-01-14,800.6000,4041.100,6189.300,14808.9000,309.1000,19339.500,A,909958,1.85000,2026-01-14,626330,931755,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-14,014,MAI,MAI,MAI,CMA,2.3700,COMME,014,674795,313222,BAE,AUTHORIZE,VAL,M,DESTI,CUST000014,CUST000014,OPERATION_KEY_1,D,D,B,2.03000,2.42000,A,RATE_CODE_,4.37000,M,RETN_,RETN_,15938.900,964196.00000,144027.00000,23419.4000,NAT,2026-01-14
015,100000000015,EUR,P,7105.900,OFF,100000000015,TRN000000000015,3301,Td Withdrawer Name 15,2026-01-15,E,J,JOINT_HOLDER,2026-01-15,PAY,100000000015,EUR,RA,RO,100000000015,INT,EUR,A,G,GE,ADVICE_MEDIA_15,EMAIL_15,2026-01-15,CU,D,A,A,REASON_CODE_15,LATE,2026-01-15,TD_DEPOSITER,Td Depositer Name 15,TD_CERT_COLL,Td Cert Collector Name 15,TD_WITHDRAWE,2135,TXN0000000000000015,2026-01-15,13064.9000,21450.600,3686.000,22522.2000,5308.9000,20625.300,A,13923,0.99000,2026-01-15,716491,566519,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-15,015,MAI,MAI,MAI,CMA,2.3500,COMME,015,741516,831035,BAE,AUTHORIZE,VAL,M,DESTI,CUST000015,CUST000015,OPERATION_KEY_1,D,D,B,2.69000,3.03000,A,RATE_CODE_,2.43000,M,RETN_,RETN_,24310.400,456415.00000,147375.00000,1583.3000,NAT,2026-01-15
016,100000000016,BRL,P,12511.700,OFF,100000000016,TRN000000000016,8609,Td Withdrawer Name 16,2026-01-16,E,J,JOINT_HOLDER,2026-01-16,PAY,100000000016,BRL,RA,RO,100000000016,INT,BRL,A,G,GE,ADVICE_MEDIA_16,EMAIL_16,2026-01-16,CU,D,A,A,REASON_CODE_16,LATE,2026-01-16,TD_DEPOSITER,Td Depositer Name 16,TD_CERT_COLL,Td Cert Collector Name 16,TD_WITHDRAWE,9988,TXN0000000000000016,2026-01-16,399.8000,18015.800,19339.800,14574.1000,22943.5000,5753.800,A,983042,4.30000,2026-01-16,929110,579152,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-16,016,MAI,MAI,MAI,CMA,2.2200,COMME,016,170102,257647,BAE,AUTHORIZE,VAL,M,DESTI,CUST000016,CUST000016,OPERATION_KEY_1,D,D,B,1.67000,2.31000,A,RATE_CODE_,3.81000,M,RETN_,RETN_,10980.500,22247.00000,462993.00000,18335.7000,NAT,2026-01-16
017,100000000017,USD,P,864.000,OFF,100000000017,TRN000000000017,5086,Td Withdrawer Name 17,2026-01-17,E,J,JOINT_HOLDER,2026-01-17,PAY,100000000017,USD,RA,RO,100000000017,INT,USD,A,G,GE,ADVICE_MEDIA_17,EMAIL_17,2026-01-17,CU,D,A,A,REASON_CODE_17,LATE,2026-01-17,TD_DEPOSITER,Td Depositer Name 17,TD_CERT_COLL,Td Cert Collector Name 17,TD_WITHDRAWE,3318,TXN0000000000000017,2026-01-17,7898.2000,7105.400,15011.600,18001.5000,15977.3000,17649.400,A,372014,0.96000,2026-01-17,476347,627893,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-17,017,MAI,MAI,MAI,CMA,1.7700,COMME,017,225790,321421,BAE,AUTHORIZE,VAL,M,DESTI,CUST000017,CUST000017,OPERATION_KEY_1,D,D,B,3.12000,2.74000,A,RATE_CODE_,2.15000,M,RETN_,RETN_,23624.000,839497.00000,147278.00000,13876.8000,NAT,2026-01-17
018,100000000018,PEN,P,4202.900,OFF,100000000018,TRN000000000018,3848,Td Withdrawer Name 18,2026-01-18,E,J,JOINT_HOLDER,2026-01-18,PAY,100000000018,PEN,RA,RO,100000000018,INT,PEN,A,G,GE,ADVICE_MEDIA_18,EMAIL_18,2026-01-18,CU,D,A,A,REASON_CODE_18,LATE,2026-01-18,TD_DEPOSITER,Td Depositer Name 18,TD_CERT_COLL,Td Cert Collector Name 18,TD_WITHDRAWE,9768,TXN0000000000000018,2026-01-18,21930.6000,5420.500,22381.000,5849.0000,10226.7000,20844.800,A,71102,1.63000,2026-01-18,951817,264011,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-18,018,MAI,MAI,MAI,CMA,1.6700,COMME,018,282750,387115,BAE,AUTHORIZE,VAL,M,DESTI,CUST000018,CUST000018,OPERATION_KEY_1,D,D,B,0.97000,4.37000,A,RATE_CODE_,2.04000,M,RETN_,RETN_,1323.800,269530.00000,792468.00000,2462.9000,NAT,2026-01-18
019,100000000019,EUR,P,22226.300,OFF,100000000019,TRN000000000019,1311,Td Withdrawer Name 19,2026-01-19,E,J,JOINT_HOLDER,2026-01-19,PAY,100000000019,EUR,RA,RO,100000000019,INT,EUR,A,G,GE,ADVICE_MEDIA_19,EMAIL_19,2026-01-19,CU,D,A,A,REASON_CODE_19,LATE,2026-01-19,TD_DEPOSITER,Td Depositer Name 19,TD_CERT_COLL,Td Cert Collector Name 19,TD_WITHDRAWE,8610,TXN0000000000000019,2026-01-19,2740.8000,981.100,24478.200,17497.4000,21868.5000,8551.200,A,426591,3.71000,2026-01-19,947975,890313,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-19,019,MAI,MAI,MAI,CMA,1.7200,COMME,019,754365,490398,BAE,AUTHORIZE,VAL,M,DESTI,CUST000019,CUST000019,OPERATION_KEY_1,D,D,B,1.03000,3.86000,A,RATE_CODE_,3.28000,M,RETN_,RETN_,11295.800,813682.00000,112936.00000,18686.8000,NAT,2026-01-19
020,100000000020,BRL,P,21399.400,OFF,100000000020,TRN000000000020,3709,Td Withdrawer Name 20,2026-01-20,E,J,JOINT_HOLDER,2026-01-20,PAY,100000000020,BRL,RA,RO,100000000020,INT,BRL,A,G,GE,ADVICE_MEDIA_20,EMAIL_20,2026-01-20,CU,D,A,A,REASON_CODE_20,LATE,2026-01-20,TD_DEPOSITER,Td Depositer Name 20,TD_CERT_COLL,Td Cert Collector Name 20,TD_WITHDRAWE,1602,TXN0000000000000020,2026-01-20,17288.3000,23494.500,322.300,4583.2000,21685.1000,1159.100,A,490949,2.38000,2026-01-20,970606,248588,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-20,020,MAI,MAI,MAI,CMA,1.7300,COMME,020,314823,254016,BAE,AUTHORIZE,VAL,M,DESTI,CUST000020,CUST000020,OPERATION_KEY_2,D,D,B,3.59000,1.79000,A,RATE_CODE_,4.40000,M,RETN_,RETN_,19371.400,490073.00000,474759.00000,24978.5000,NAT,2026-01-20
