REFERENCE_NO,EVENT_SEQ_NO,INSTRUMENT_NO_1,INSTRUMENT_NO_2,VAL_DATE_BNK,VAL_DATE_CUST,BANK_CODE,BRANCH_CODE,SECTOR_CODE,ROUTING_NO,END_POINT,INSTRUMENT_AMT,LOCAL_CLEARING,DOCUMENT_TYPE,VAL_DATE_BNK_OLD,VAL_DATE_CUST_OLD,ROUTING_NO_OLD,ADDL_RETENTION_DAYS,INSTRUMENT_DATE,REM_ACCOUNT,REM_CUST,REVERSED,HOUSE_LOCATION,DOC_TRACK_NUM,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,TXN_ID,SAV_CODE,SAV_VAL_STAT
TRN000000000011,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-11,2026-01-11,BANK_CODE,011,SECTOR_CO,ROUTING_NO_11,END_POINT,13455.900,L,DOCUMENT_TYPE_11,2026-01-11,2026-01-11,ROUTING_NO_OLD_11,33,2026-01-11,100000000011,REM_CUST_11,N,HOUS,DOC_TRACK_NUM_1,DATA_1_11,DATA_2_11,DATA_3_11,DATA_4_11,DATA_5_11,DATA_6_11,DATA_7_11,DATA_8_11,DATA_9_11,C,BATCH_REF_NO_11,WDR,TXN0000000000000011,SAV_,S
TRN000000000012,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-12,2026-01-12,BANK_CODE,012,SECTOR_CO,ROUTING_NO_12,END_POINT,14302.800,L,DOCUMENT_TYPE_12,2026-01-12,2026-01-12,ROUTING_NO_OLD_12,17,2026-01-12,100000000012,REM_CUST_12,N,HOUS,DOC_TRACK_NUM_1,DATA_1_12,DATA_2_12,DATA_3_12,DATA_4_12,DATA_5_12,DATA_6_12,DATA_7_12,DATA_8_12,DATA_9_12,C,BATCH_REF_NO_12,TRF,TXN0000000000000012,SAV_,S
TRN000000000013,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-13,2026-01-13,BANK_CODE,013,SECTOR_CO,ROUTING_NO_13,END_POINT,16096.000,L,DOCUMENT_TYPE_13,2026-01-13,2026-01-13,ROUTING_NO_OLD_13,5,2026-01-13,100000000013,REM_CUST_13,N,HOUS,DOC_TRACK_NUM_1,DATA_1_13,DATA_2_13,DATA_3_13,DATA_4_13,DATA_5_13,DATA_6_13,DATA_7_13,DATA_8_13,DATA_9_13,C,BATCH_REF_NO_13,FEE,TXN0000000000000013,SAV_,S
TRN000000000014,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-14,2026-01-14,BANK_CODE,014,SECTOR_CO,ROUTING_NO_14,END_POINT,18494.400,L,DOCUMENT_TYPE_14,2026-01-14,2026-01-14,ROUTING_NO_OLD_14,4,2026-01-14,100000000014,REM_CUST_14,N,HOUS,DOC_TRACK_NUM_1,DATA_1_14,DATA_2_14,DATA_3_14,DATA_4_14,DATA_5_14,DATA_6_14,DATA_7_14,DATA_8_14,DATA_9_14,C,BATCH_REF_NO_14,INT,TXN0000000000000014,SAV_,S
TRN000000000015,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-15,2026-01-15,BANK_CODE,015,SECTOR_CO,ROUTING_NO_15,END_POINT,13468.700,L,DOCUMENT_TYPE_15,2026-01-15,2026-01-15,ROUTING_NO_OLD_15,18,2026-01-15,100000000015,REM_CUST_15,N,HOUS,DOC_TRACK_NUM_1,DATA_1_15,DATA_2_15,DATA_3_15,DATA_4_15,DATA_5_15,DATA_6_15,DATA_7_15,DATA_8_15,DATA_9_15,C,BATCH_REF_NO_15,REV,TXN0000000000000015,SAV_,S
TRN000000000016,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-16,2026-01-16,BANK_CODE,016,SECTOR_CO,ROUTING_NO_16,END_POINT,16509.000,L,DOCUMENT_TYPE_16,2026-01-16,2026-01-16,ROUTING_NO_OLD_16,1,2026-01-16,100000000016,REM_CUST_16,N,HOUS,DOC_TRACK_NUM_1,DATA_1_16,DATA_2_16,DATA_3_16,DATA_4_16,DATA_5_16,DATA_6_16,DATA_7_16,DATA_8_16,DATA_9_16,C,BATCH_REF_NO_16,PAY,TXN0000000000000016,SAV_,S
TRN000000000017,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-17,2026-01-17,BANK_CODE,017,SECTOR_CO,ROUTING_NO_17,END_POINT,23080.700,L,DOCUMENT_TYPE_17,2026-01-17,2026-01-17,ROUTING_NO_OLD_17,4,2026-01-17,100000000017,REM_CUST_17,N,HOUS,DOC_TRACK_NUM_1,DATA_1_17,DATA_2_17,DATA_3_17,DATA_4_17,DATA_5_17,DATA_6_17,DATA_7_17,DATA_8_17,DATA_9_17,C,BATCH_REF_NO_17,ATM,TXN0000000000000017,SAV_,S
TRN000000000018,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-18,2026-01-18,BANK_CODE,018,SECTOR_CO,ROUTING_NO_18,END_POINT,13948.900,L,DOCUMENT_TYPE_18,2026-01-18,2026-01-18,ROUTING_NO_OLD_18,14,2026-01-18,100000000018,REM_CUST_18,N,HOUS,DOC_TRACK_NUM_1,DATA_1_18,DATA_2_18,DATA_3_18,DATA_4_18,DATA_5_18,DATA_6_18,DATA_7_18,DATA_8_18,DATA_9_18,C,BATCH_REF_NO_18,DEP,TXN0000000000000018,SAV_,S
TRN000000000019,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-19,2026-01-19,BANK_CODE,019,SECTOR_CO,ROUTING_NO_19,END_POINT,8001.500,L,DOCUMENT_TYPE_19,2026-01-19,2026-01-19,ROUTING_NO_OLD_19,4,2026-01-19,100000000019,REM_CUST_19,N,HOUS,DOC_TRACK_NUM_1,DATA_1_19,DATA_2_19,DATA_3_19,DATA_4_19,DATA_5_19,DATA_6_19,DATA_7_19,DATA_8_19,DATA_9_19,C,BATCH_REF_NO_19,WDR,TXN0000000000000019,SAV_,S
TRN000000000020,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-20,2026-01-20,BANK_CODE,020,SECTOR_CO,ROUTING_NO_20,END_POINT,4518.700,L,DOCUMENT_TYPE_20,2026-01-20,2026-01-20,ROUTING_NO_OLD_20,24,2026-01-20,100000000020,REM_CUST_20,Y,HOUS,DOC_TRACK_NUM_2,DATA_1_20,DATA_2_20,DATA_3_20,DATA_4_20,DATA_5_20,DATA_6_20,DATA_7_20,DATA_8_20,DATA_9_20,C,BATCH_REF_NO_20,TRF,TXN0000000000000020,SAV_,S
TRN000000000021,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-21,2026-01-21,BANK_CODE,021,SECTOR_CO,ROUTING_NO_21,END_POINT,13139.900,L,DOCUMENT_TYPE_21,2026-01-21,2026-01-21,ROUTING_NO_OLD_21,12,2026-01-21,100000000021,REM_CUST_21,N,HOUS,DOC_TRACK_NUM_2,DATA_1_21,DATA_2_21,DATA_3_21,DATA_4_21,DATA_5_21,DATA_6_21,DATA_7_21,DATA_8_21,DATA_9_21,C,BATCH_REF_NO_21,FEE,TXN0000000000000021,SAV_,S
TRN000000000022,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-22,2026-01-22,BANK_CODE,022,SECTOR_CO,ROUTING_NO_22,END_POINT,21369.300,L,DOCUMENT_TYPE_22,2026-01-22,2026-01-22,ROUTING_NO_OLD_22,32,2026-01-22,100000000022,REM_CUST_22,N,HOUS,DOC_TRACK_NUM_2,DATA_1_22,DATA_2_22,DATA_3_22,DATA_4_22,DATA_5_22,DATA_6_22,DATA_7_22,DATA_8_22,DATA_9_22,C,BATCH_REF_NO_22,INT,TXN0000000000000022,SAV_,S
TRN000000000023,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-23,2026-01-23,BANK_CODE,023,SECTOR_CO,ROUTING_NO_23,END_POINT,23585.800,L,DOCUMENT_TYPE_23,2026-01-23,2026-01-23,ROUTING_NO_OLD_23,3,2026-01-23,100000000023,REM_CUST_23,N,HOUS,DOC_TRACK_NUM_2,DATA_1_23,DATA_2_23,DATA_3_23,DATA_4_23,DATA_5_23,DATA_6_23,DATA_7_23,DATA_8_23,DATA_9_23,C,BATCH_REF_NO_23,REV,TXN0000000000000023,SAV_,S
TRN000000000024,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-24,2026-01-24,BANK_CODE,024,SECTOR_CO,ROUTING_NO_24,END_POINT,2959.900,L,DOCUMENT_TYPE_24,2026-01-24,2026-01-24,ROUTING_NO_OLD_24,33,2026-01-24,100000000024,REM_CUST_24,N,HOUS,DOC_TRACK_NUM_2,DATA_1_24,DATA_2_24,DATA_3_24,DATA_4_24,DATA_5_24,DATA_6_24,DATA_7_24,DATA_8_24,DATA_9_24,C,BATCH_REF_NO_24,PAY,TXN0000000000000024,SAV_,S
TRN000000000025,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-25,2026-01-25,BANK_CODE,025,SECTOR_CO,ROUTING_NO_25,END_POINT,11879.100,L,DOCUMENT_TYPE_25,2026-01-25,2026-01-25,ROUTING_NO_OLD_25,33,2026-01-25,100000000025,REM_CUST_25,N,HOUS,DOC_TRACK_NUM_2,DATA_1_25,DATA_2_25,DATA_3_25,DATA_4_25,DATA_5_25,DATA_6_25,DATA_7_25,DATA_8_25,DATA_9_25,C,BATCH_REF_NO_25,ATM,TXN0000000000000025,SAV_,S
TRN000000000026,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-26,2026-01-26,BANK_CODE,001,SECTOR_CO,ROUTING_NO_26,END_POINT,5975.000,L,DOCUMENT_TYPE_26,2026-01-26,2026-01-26,ROUTING_NO_OLD_26,21,2026-01-26,100000000026,REM_CUST_26,N,HOUS,DOC_TRACK_NUM_2,DATA_1_26,DATA_2_26,DATA_3_26,DATA_4_26,DATA_5_26,DATA_6_26,DATA_7_26,DATA_8_26,DATA_9_26,C,BATCH_REF_NO_26,DEP,TXN0000000000000026,SAV_,S
TRN000000000027,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-27,2026-01-27,BANK_CODE,002,SECTOR_CO,ROUTING_NO_27,END_POINT,9015.200,L,DOCUMENT_TYPE_27,2026-01-27,2026-01-27,ROUTING_NO_OLD_27,4,2026-01-27,100000000027,REM_CUST_27,N,HOUS,DOC_TRACK_NUM_2,DATA_1_27,DATA_2_27,DATA_3_27,DATA_4_27,DATA_5_27,DATA_6_27,DATA_7_27,DATA_8_27,DATA_9_27,C,BATCH_REF_NO_27,WDR,TXN0000000000000027,SAV_,S
TRN000000000028,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-28,2026-01-28,BANK_CODE,003,SECTOR_CO,ROUTING_NO_28,END_POINT,24880.600,L,DOCUMENT_TYPE_28,2026-01-28,2026-01-28,ROUTING_NO_OLD_28,26,2026-01-28,100000000028,REM_CUST_28,N,HOUS,DOC_TRACK_NUM_2,DATA_1_28,DATA_2_28,DATA_3_28,DATA_4_28,DATA_5_28,DATA_6_28,DATA_7_28,DATA_8_28,DATA_9_28,C,BATCH_REF_NO_28,TRF,TXN0000000000000028,SAV_,S
TRN000000000029,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-29,2026-01-29,BANK_CODE,004,SECTOR_CO,ROUTING_NO_29,END_POINT,13771.800,L,DOCUMENT_TYPE_29,2026-01-29,2026-01-29,ROUTING_NO_OLD_29,1,2026-01-29,100000000029,REM_CUST_29,N,HOUS,DOC_TRACK_NUM_2,DATA_1_29,DATA_2_29,DATA_3_29,DATA_4_29,DATA_5_29,DATA_6_29,DATA_7_29,DATA_8_29,DATA_9_29,C,BATCH_REF_NO_29,FEE,TXN0000000000000029,SAV_,S
TRN000000000030,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-30,2026-01-30,BANK_CODE,005,SECTOR_CO,ROUTING_NO_30,END_POINT,12195.900,L,DOCUMENT_TYPE_30,2026-01-30,2026-01-30,ROUTING_NO_OLD_30,7,2026-01-30,100000000030,REM_CUST_30,N,HOUS,DOC_TRACK_NUM_3,DATA_1_30,DATA_2_30,DATA_3_30,DATA_4_30,DATA_5_30,DATA_6_30,DATA_7_30,DATA_8_30,DATA_9_30,C,BATCH_REF_NO_30,INT,TXN0000000000000030,SAV_,S
TRN000000000031,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-01-31,2026-01-31,BANK_CODE,006,SECTOR_CO,ROUTING_NO_31,END_POINT,4130.800,L,DOCUMENT_TYPE_31,2026-01-31,2026-01-31,ROUTING_NO_OLD_31,2,2026-01-31,100000000031,REM_CUST_31,N,HOUS,DOC_TRACK_NUM_3,DATA_1_31,DATA_2_31,DATA_3_31,DATA_4_31,DATA_5_31,DATA_6_31,DATA_7_31,DATA_8_31,DATA_9_31,C,BATCH_REF_NO_31,REV,TXN0000000000000031,SAV_,S
TRN000000000032,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-01,2026-02-01,BANK_CODE,007,SECTOR_CO,ROUTING_NO_32,END_POINT,5087.700,L,DOCUMENT_TYPE_32,2026-02-01,2026-02-01,ROUTING_NO_OLD_32,21,2026-02-01,100000000032,REM_CUST_32,N,HOUS,DOC_TRACK_NUM_3,DATA_1_32,DATA_2_32,DATA_3_32,DATA_4_32,DATA_5_32,DATA_6_32,DATA_7_32,DATA_8_32,DATA_9_32,C,BATCH_REF_NO_32,PAY,TXN0000000000000032,SAV_,S
TRN000000000033,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-02,2026-02-02,BANK_CODE,008,SECTOR_CO,ROUTING_NO_33,END_POINT,13098.400,L,DOCUMENT_TYPE_33,2026-02-02,2026-02-02,ROUTING_NO_OLD_33,6,2026-02-02,100000000033,REM_CUST_33,N,HOUS,DOC_TRACK_NUM_3,DATA_1_33,DATA_2_33,DATA_3_33,DATA_4_33,DATA_5_33,DATA_6_33,DATA_7_33,DATA_8_33,DATA_9_33,C,BATCH_REF_NO_33,ATM,TXN0000000000000033,SAV_,S
TRN000000000034,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-03,2026-02-03,BANK_CODE,009,SECTOR_CO,ROUTING_NO_34,END_POINT,5098.500,L,DOCUMENT_TYPE_34,2026-02-03,2026-02-03,ROUTING_NO_OLD_34,13,2026-02-03,100000000034,REM_CUST_34,N,HOUS,DOC_TRACK_NUM_3,DATA_1_34,DATA_2_34,DATA_3_34,DATA_4_34,DATA_5_34,DATA_6_34,DATA_7_34,DATA_8_34,DATA_9_34,C,BATCH_REF_NO_34,DEP,TXN0000000000000034,SAV_,S
TRN000000000035,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-04,2026-02-04,BANK_CODE,010,SECTOR_CO,ROUTING_NO_35,END_POINT,748.100,L,DOCUMENT_TYPE_35,2026-02-04,2026-02-04,ROUTING_NO_OLD_35,26,2026-02-04,100000000035,REM_CUST_35,N,HOUS,DOC_TRACK_NUM_3,DATA_1_35,DATA_2_35,DATA_3_35,DATA_4_35,DATA_5_35,DATA_6_35,DATA_7_35,DATA_8_35,DATA_9_35,C,BATCH_REF_NO_35,WDR,TXN0000000000000035,SAV_,S
TRN000000000036,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-05,2026-02-05,BANK_CODE,011,SECTOR_CO,ROUTING_NO_36,END_POINT,1051.700,L,DOCUMENT_TYPE_36,2026-02-05,2026-02-05,ROUTING_NO_OLD_36,24,2026-02-05,100000000036,REM_CUST_36,N,HOUS,DOC_TRACK_NUM_3,DATA_1_36,DATA_2_36,DATA_3_36,DATA_4_36,DATA_5_36,DATA_6_36,DATA_7_36,DATA_8_36,DATA_9_36,C,BATCH_REF_NO_36,TRF,TXN0000000000000036,SAV_,S
TRN000000000037,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-06,2026-02-06,BANK_CODE,012,SECTOR_CO,ROUTING_NO_37,END_POINT,6045.800,L,DOCUMENT_TYPE_37,2026-02-06,2026-02-06,ROUTING_NO_OLD_37,5,2026-02-06,100000000037,REM_CUST_37,N,HOUS,DOC_TRACK_NUM_3,DATA_1_37,DATA_2_37,DATA_3_37,DATA_4_37,DATA_5_37,DATA_6_37,DATA_7_37,DATA_8_37,DATA_9_37,C,BATCH_REF_NO_37,FEE,TXN0000000000000037,SAV_,S
TRN000000000038,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-07,2026-02-07,BANK_CODE,013,SECTOR_CO,ROUTING_NO_38,END_POINT,174710.400,L,DOCUMENT_TYPE_38,2026-02-07,2026-02-07,ROUTING_NO_OLD_38,19,2026-02-07,100000000038,REM_CUST_38,N,HOUS,DOC_TRACK_NUM_3,DATA_1_38,DATA_2_38,DATA_3_38,DATA_4_38,DATA_5_38,DATA_6_38,DATA_7_38,DATA_8_38,DATA_9_38,C,BATCH_REF_NO_38,INT,TXN0000000000000038,SAV_,S
TRN000000000039,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-08,2026-02-08,BANK_CODE,014,SECTOR_CO,ROUTING_NO_39,END_POINT,22092.500,L,DOCUMENT_TYPE_39,2026-02-08,2026-02-08,ROUTING_NO_OLD_39,4,2026-02-08,100000000039,REM_CUST_39,Y,HOUS,DOC_TRACK_NUM_3,DATA_1_39,DATA_2_39,DATA_3_39,DATA_4_39,DATA_5_39,DATA_6_39,DATA_7_39,DATA_8_39,DATA_9_39,C,BATCH_REF_NO_39,REV,TXN0000000000000039,SAV_,S
TRN000000000040,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-09,2026-02-09,BANK_CODE,015,SECTOR_CO,ROUTING_NO_40,END_POINT,14542.300,L,DOCUMENT_TYPE_40,2026-02-09,2026-02-09,ROUTING_NO_OLD_40,2,2026-02-09,100000000040,REM_CUST_40,N,HOUS,DOC_TRACK_NUM_4,DATA_1_40,DATA_2_40,DATA_3_40,DATA_4_40,DATA_5_40,DATA_6_40,DATA_7_40,DATA_8_40,DATA_9_40,C,BATCH_REF_NO_40,PAY,TXN0000000000000040,SAV_,S
TRN000000000041,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-10,2026-02-10,BANK_CODE,016,SECTOR_CO,ROUTING_NO_41,END_POINT,17953.100,L,DOCUMENT_TYPE_41,2026-02-10,2026-02-10,ROUTING_NO_OLD_41,26,2026-02-10,100000000041,REM_CUST_41,N,HOUS,DOC_TRACK_NUM_4,DATA_1_41,DATA_2_41,DATA_3_41,DATA_4_41,DATA_5_41,DATA_6_41,DATA_7_41,DATA_8_41,DATA_9_41,C,BATCH_REF_NO_41,ATM,TXN0000000000000041,SAV_,S
TRN000000000042,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-11,2026-02-11,BANK_CODE,017,SECTOR_CO,ROUTING_NO_42,END_POINT,5914.800,L,DOCUMENT_TYPE_42,2026-02-11,2026-02-11,ROUTING_NO_OLD_42,17,2026-02-11,100000000042,REM_CUST_42,N,HOUS,DOC_TRACK_NUM_4,DATA_1_42,DATA_2_42,DATA_3_42,DATA_4_42,DATA_5_42,DATA_6_42,DATA_7_42,DATA_8_42,DATA_9_42,C,BATCH_REF_NO_42,DEP,TXN0000000000000042,SAV_,S
TRN000000000043,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-12,2026-02-12,BANK_CODE,018,SECTOR_CO,ROUTING_NO_43,END_POINT,5143.900,L,DOCUMENT_TYPE_43,2026-02-12,2026-02-12,ROUTING_NO_OLD_43,2,2026-02-12,100000000043,REM_CUST_43,N,HOUS,DOC_TRACK_NUM_4,DATA_1_43,DATA_2_43,DATA_3_43,DATA_4_43,DATA_5_43,DATA_6_43,DATA_7_43,DATA_8_43,DATA_9_43,C,BATCH_REF_NO_43,WDR,TXN0000000000000043,SAV_,S
TRN000000000044,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-02-13,2026-02-13,BANK_CODE,019,SECTOR_CO,ROUTING_NO_44,END_POINT,11319.000,L,DOCUMENT_TYPE_44,2026-02-13,2026-02-13,ROUTING_NO_OLD_44,29,2026-02-13,100000000044,REM_CUST_44,N,HOUS,DOC_TRACK_NUM_4,DATA_1_44,DATA_2_44,DATA_3_44,DATA_4_44,DATA_5_44,DATA_6_44,DATA_7_44,DATA_8_44,DATA_9_44,C,BATCH_REF_NO_44,TRF,TXN0000000000000044,SAV_,S
