BRN,ACC,CALC_ACC,BOOK_ACC,HAS_IS,INT_START_DATE,LAST_IS_DATE,ACC_TYPE,BOOK_BRN,SHOW_BV_IS,BVT_DATE,CHARGE_ACC,BOOK_CCY,CHARGE_CCY,COMBVT_DATE,VERSION_NO,AUTO_ROLLOVER,CLOSE_ON_MATURITY,MOVE_INT_TO_UNCLAIMED,MOVE_PRIC_TO_UNCLAIMED,MATURITY_DATE,PRINC_LIQ_AC,ROLLOVER_TYPE,ROLLOVER_AMT,PRINC_LIQ_BRANCH,NEXT_MATURITY_DATE,HAS_DRCR_ADV,RD_FLAG,RD_AUTO_PMNT_TAKEDOWN,RD_MOVE_MAT_TO_UNCLAIMED,RD_MOVE_FUNDS_ON_OVD,RD_TAKEDOWN_DAYS,RD_TAKEDOWN_MONTHS,RD_TAKEDOWN_YEARS,RD_PAYMENT_ACC,RD_PAYMENT_BRN,RD_PAYMENT_CCY,RD_INSTALLMENT_AMT,RD_PAY_SCHDT,OVERRIDE_AMT_BLOCK,CHG_START_DATE,CHARGE_BRN,REDIRECT_LCY_ENTRIES,PRINC_LIQ_MODE,PRINC_LIQ_CCY
011,100000000011,100000000011,100000000011,H,2026-01-11,2026-01-11,1,BOO,S,2026-01-11,100000000011,EUR,EUR,2026-01-11,426065,A,C,M,M,2026-01-11,PRINC_LIQ_AC_11,R,22303,011,2026-01-11,D,Y,R,R,R,8,77587,42599,100000000011,RD_,EUR,16692.800,2026-01-11,O,2026-01-11,CHA,R,PRI,EUR
012,100000000012,100000000012,100000000012,H,2026-01-12,2026-01-12,1,BOO,S,2026-01-12,100000000012,BRL,BRL,2026-01-12,597543,A,C,M,M,2026-01-12,PRINC_LIQ_AC_12,R,4791,012,2026-01-12,C,N,R,R,R,24,38593,91421,100000000012,RD_,BRL,7868.200,2026-01-12,O,2026-01-12,CHA,R,PRI,BRL
013,100000000013,100000000013,100000000013,H,2026-01-13,2026-01-13,1,BOO,S,2026-01-13,100000000013,USD,USD,2026-01-13,810186,A,C,M,M,2026-01-13,PRINC_LIQ_AC_13,R,953,013,2026-01-13,D,N,R,R,R,10,62909,2805,100000000013,RD_,USD,13751.400,2026-01-13,O,2026-01-13,CHA,R,PRI,USD
014,100000000014,100000000014,100000000014,H,2026-01-14,2026-01-14,1,BOO,S,2026-01-14,100000000014,PEN,PEN,2026-01-14,231845,A,C,M,M,2026-01-14,PRINC_LIQ_AC_14,R,8277,014,2026-01-14,C,N,R,R,R,36,99585,89258,100000000014,RD_,PEN,15566.400,2026-01-14,O,2026-01-14,CHA,R,PRI,PEN
015,100000000015,100000000015,100000000015,H,2026-01-15,2026-01-15,1,BOO,S,2026-01-15,100000000015,EUR,EUR,2026-01-15,2845,A,C,M,M,2026-01-15,PRINC_LIQ_AC_15,R,1880,015,2026-01-15,D,N,R,R,R,0,14944,92119,100000000015,RD_,EUR,6178.200,2026-01-15,O,2026-01-15,CHA,R,PRI,EUR
016,100000000016,100000000016,100000000016,H,2026-01-16,2026-01-16,1,BOO,S,2026-01-16,100000000016,BRL,BRL,2026-01-16,481391,A,C,M,M,2026-01-16,PRINC_LIQ_AC_16,R,526,016,2026-01-16,C,Y,R,R,R,5,23056,89107,100000000016,RD_,BRL,9123.400,2026-01-16,O,2026-01-16,CHA,R,PRI,BRL
017,100000000017,100000000017,100000000017,H,2026-01-17,2026-01-17,1,BOO,S,2026-01-17,100000000017,USD,USD,2026-01-17,25237,A,C,M,M,2026-01-17,PRINC_LIQ_AC_17,R,12346,017,2026-01-17,D,N,R,R,R,33,26447,23064,100000000017,RD_,USD,6958.300,2026-01-17,O,2026-01-17,CHA,R,PRI,USD
018,100000000018,100000000018,100000000018,H,2026-01-18,2026-01-18,1,BOO,S,2026-01-18,100000000018,PEN,PEN,2026-01-18,832445,A,C,M,M,2026-01-18,PRINC_LIQ_AC_18,R,8563,018,2026-01-18,C,N,R,R,R,0,74486,25702,100000000018,RD_,PEN,22088.500,2026-01-18,O,2026-01-18,CHA,R,PRI,PEN
019,100000000019,100000000019,100000000019,H,2026-01-19,2026-01-19,1,BOO,S,2026-01-19,100000000019,EUR,EUR,2026-01-19,704469,A,C,M,M,2026-01-19,PRINC_LIQ_AC_19,R,6607,019,2026-01-19,D,N,R,R,R,15,50378,42377,100000000019,RD_,EUR,2197.200,2026-01-19,O,2026-01-19,CHA,R,PRI,EUR
020,100000000020,100000000020,100000000020,H,2026-01-20,2026-01-20,1,BOO,S,2026-01-20,100000000020,BRL,BRL,2026-01-20,553095,A,C,M,M,2026-01-20,PRINC_LIQ_AC_20,R,2202,020,2026-01-20,C,N,R,R,R,2,86760,67587,100000000020,RD_,BRL,1745.200,2026-01-20,O,2026-01-20,CHA,R,PRI,BRL
021,100000000021,100000000021,100000000021,H,2026-01-21,2026-01-21,1,BOO,S,2026-01-21,100000000021,USD,USD,2026-01-21,272774,A,C,M,M,2026-01-21,PRINC_LIQ_AC_21,R,4491,021,2026-01-21,D,Y,R,R,R,35,68990,24093,100000000021,RD_,USD,4512.500,2026-01-21,O,2026-01-21,CHA,R,PRI,USD
022,100000000022,100000000022,100000000022,H,2026-01-22,2026-01-22,1,BOO,S,2026-01-22,100000000022,PEN,PEN,2026-01-22,630105,A,C,M,M,2026-01-22,PRINC_LIQ_AC_22,R,12505,022,2026-01-22,C,N,R,R,R,22,32708,39479,100000000022,RD_,PEN,489.900,2026-01-22,O,2026-01-22,CHA,R,PRI,PEN
023,100000000023,100000000023,100000000023,H,2026-01-23,2026-01-23,1,BOO,S,2026-01-23,100000000023,EUR,EUR,2026-01-23,797474,A,C,M,M,2026-01-23,PRINC_LIQ_AC_23,R,12748,023,2026-01-23,D,N,R,R,R,28,52817,20009,100000000023,RD_,EUR,17116.900,2026-01-23,O,2026-01-23,CHA,R,PRI,EUR
024,100000000024,100000000024,100000000024,H,2026-01-24,2026-01-24,1,BOO,S,2026-01-24,100000000024,BRL,BRL,2026-01-24,601575,A,C,M,M,2026-01-24,PRINC_LIQ_AC_24,R,23118,024,2026-01-24,C,N,R,R,R,8,58660,36475,100000000024,RD_,BRL,13438.000,2026-01-24,O,2026-01-24,CHA,R,PRI,BRL
025,100000000025,100000000025,100000000025,H,2026-01-25,2026-01-25,1,BOO,S,2026-01-25,100000000025,USD,USD,2026-01-25,755649,A,C,M,M,2026-01-25,PRINC_LIQ_AC_25,R,1160,025,2026-01-25,D,N,R,R,R,32,39562,98181,100000000025,RD_,USD,10720.500,2026-01-25,O,2026-01-25,CHA,R,PRI,USD
001,100000000026,100000000026,100000000026,H,2026-01-26,2026-01-26,1,BOO,S,2026-01-26,100000000026,PEN,PEN,2026-01-26,157722,A,C,M,M,2026-01-26,PRINC_LIQ_AC_26,R,23387,001,2026-01-26,C,Y,R,R,R,19,6513,6254,100000000026,RD_,PEN,12540.900,2026-01-26,O,2026-01-26,CHA,R,PRI,PEN
002,100000000027,100000000027,100000000027,H,2026-01-27,2026-01-27,1,BOO,S,2026-01-27,100000000027,EUR,EUR,2026-01-27,104076,A,C,M,M,2026-01-27,PRINC_LIQ_AC_27,R,9757,002,2026-01-27,D,N,R,R,R,17,4271,65083,100000000027,RD_,EUR,9167.400,2026-01-27,O,2026-01-27,CHA,R,PRI,EUR
003,100000000028,100000000028,100000000028,H,2026-01-28,2026-01-28,1,BOO,S,2026-01-28,100000000028,BRL,BRL,2026-01-28,768860,A,C,M,M,2026-01-28,PRINC_LIQ_AC_28,R,840,003,2026-01-28,C,N,R,R,R,1,11096,49975,100000000028,RD_,BRL,24376.400,2026-01-28,O,2026-01-28,CHA,R,PRI,BRL
004,100000000029,100000000029,100000000029,H,2026-01-29,2026-01-29,1,BOO,S,2026-01-29,100000000029,USD,USD,2026-01-29,754253,A,C,M,M,2026-01-29,PRINC_LIQ_AC_29,R,14326,004,2026-01-29,D,N,R,R,R,32,72606,73958,100000000029,RD_,USD,14459.100,2026-01-29,O,2026-01-29,CHA,R,PRI,USD
005,100000000030,100000000030,100000000030,H,2026-01-30,2026-01-30,1,BOO,S,2026-01-30,100000000030,PEN,PEN,2026-01-30,802662,A,C,M,M,2026-01-30,PRINC_LIQ_AC_30,R,17743,005,2026-01-30,C,N,R,R,R,11,93134,31640,100000000030,RD_,PEN,503.500,2026-01-30,O,2026-01-30,CHA,R,PRI,PEN
006,100000000031,100000000031,100000000031,H,2026-01-31,2026-01-31,1,BOO,S,2026-01-31,100000000031,EUR,EUR,2026-01-31,737608,A,C,M,M,2026-01-31,PRINC_LIQ_AC_31,R,11780,006,2026-01-31,D,Y,R,R,R,27,74545,46559,100000000031,RD_,EUR,9341.400,2026-01-31,O,2026-01-31,CHA,R,PRI,EUR
007,100000000032,100000000032,100000000032,H,2026-02-01,2026-02-01,1,BOO,S,2026-02-01,100000000032,BRL,BRL,2026-02-01,399045,A,C,M,M,2026-02-01,PRINC_LIQ_AC_32,R,23435,007,2026-02-01,C,N,R,R,R,1,79591,14010,100000000032,RD_,BRL,23951.700,2026-02-01,O,2026-02-01,CHA,R,PRI,BRL
008,100000000033,100000000033,100000000033,H,2026-02-02,2026-02-02,1,BOO,S,2026-02-02,100000000033,USD,USD,2026-02-02,47165,A,C,M,M,2026-02-02,PRINC_LIQ_AC_33,R,4957,008,2026-02-02,D,N,R,R,R,9,41875,83838,100000000033,RD_,USD,246.200,2026-02-02,O,2026-02-02,CHA,R,PRI,USD
009,100000000034,100000000034,100000000034,H,2026-02-03,2026-02-03,1,BOO,S,2026-02-03,100000000034,PEN,PEN,2026-02-03,94300,A,C,M,M,2026-02-03,PRINC_LIQ_AC_34,R,4202,009,2026-02-03,C,N,R,R,R,1,45356,51185,100000000034,RD_,PEN,15990.500,2026-02-03,O,2026-02-03,CHA,R,PRI,PEN
010,100000000035,100000000035,100000000035,H,2026-02-04,2026-02-04,1,BOO,S,2026-02-04,100000000035,EUR,EUR,2026-02-04,175278,A,C,M,M,2026-02-04,PRINC_LIQ_AC_35,R,2449,010,2026-02-04,D,N,R,R,R,18,94023,80305,100000000035,RD_,EUR,12512.800,2026-02-04,O,2026-02-04,CHA,R,PRI,EUR
011,100000000036,100000000036,100000000036,H,2026-02-05,2026-02-05,1,BOO,S,2026-02-05,100000000036,BRL,BRL,2026-02-05,515077,A,C,M,M,2026-02-05,PRINC_LIQ_AC_36,R,19932,011,2026-02-05,C,Y,R,R,R,21,59131,9753,100000000036,RD_,BRL,18821.600,2026-02-05,O,2026-02-05,CHA,R,PRI,BRL
012,100000000037,100000000037,100000000037,H,2026-02-06,2026-02-06,1,BOO,S,2026-02-06,100000000037,USD,USD,2026-02-06,61225,A,C,M,M,2026-02-06,PRINC_LIQ_AC_37,R,22563,012,2026-02-06,D,N,R,R,R,17,84871,54525,100000000037,RD_,USD,3921.600,2026-02-06,O,2026-02-06,CHA,R,PRI,USD
013,100000000038,100000000038,100000000038,H,2026-02-07,2026-02-07,1,BOO,S,2026-02-07,100000000038,PEN,PEN,2026-02-07,366535,A,C,M,M,2026-02-07,PRINC_LIQ_AC_38,R,114073,013,2026-02-07,C,N,R,R,R,33,2519,20483,100000000038,RD_,PEN,133309.600,2026-02-07,O,2026-02-07,CHA,R,PRI,PEN
014,100000000039,100000000039,100000000039,H,2026-02-08,2026-02-08,1,BOO,S,2026-02-08,100000000039,EUR,EUR,2026-02-08,825721,A,C,M,M,2026-02-08,PRINC_LIQ_AC_39,R,14026,014,2026-02-08,D,N,R,R,R,31,34983,48172,100000000039,RD_,EUR,8195.700,2026-02-08,O,2026-02-08,CHA,R,PRI,EUR
015,100000000040,100000000040,100000000040,H,2026-02-09,2026-02-09,1,BOO,S,2026-02-09,100000000040,BRL,BRL,2026-02-09,84323,A,C,M,M,2026-02-09,PRINC_LIQ_AC_40,R,5204,015,2026-02-09,C,N,R,R,R,8,24113,92013,100000000040,RD_,BRL,15279.800,2026-02-09,O,2026-02-09,CHA,R,PRI,BRL
016,100000000041,100000000041,100000000041,H,2026-02-10,2026-02-10,1,BOO,S,2026-02-10,100000000041,USD,USD,2026-02-10,154771,A,C,M,M,2026-02-10,PRINC_LIQ_AC_41,R,9789,016,2026-02-10,D,Y,R,R,R,16,79225,66414,100000000041,RD_,USD,10795.700,2026-02-10,O,2026-02-10,CHA,R,PRI,USD
017,100000000042,100000000042,100000000042,H,2026-02-11,2026-02-11,1,BOO,S,2026-02-11,100000000042,PEN,PEN,2026-02-11,175339,A,C,M,M,2026-02-11,PRINC_LIQ_AC_42,R,3983,017,2026-02-11,C,N,R,R,R,29,45373,87094,100000000042,RD_,PEN,5047.200,2026-02-11,O,2026-02-11,CHA,R,PRI,PEN
018,100000000043,100000000043,100000000043,H,2026-02-12,2026-02-12,1,BOO,S,2026-02-12,100000000043,EUR,EUR,2026-02-12,161111,A,C,M,M,2026-02-12,PRINC_LIQ_AC_43,R,17527,018,2026-02-12,D,N,R,R,R,30,86130,84941,100000000043,RD_,EUR,1984.400,2026-02-12,O,2026-02-12,CHA,R,PRI,EUR
019,100000000044,100000000044,100000000044,H,2026-02-13,2026-02-13,1,BOO,S,2026-02-13,100000000044,BRL,BRL,2026-02-13,932056,A,C,M,M,2026-02-13,PRINC_LIQ_AC_44,R,17172,019,2026-02-13,C,N,R,R,R,8,99770,37019,100000000044,RD_,BRL,9701.300,2026-02-13,O,2026-02-13,CHA,R,PRI,BRL
020,100000000045,100000000045,100000000045,H,2026-02-14,2026-02-14,1,BOO,S,2026-02-14,100000000045,USD,USD,2026-02-14,554117,A,C,M,M,2026-02-14,PRINC_LIQ_AC_45,R,21650,020,2026-02-14,D,N,R,R,R,14,3777,39773,100000000045,RD_,USD,1164.700,2026-02-14,O,2026-02-14,CHA,R,PRI,USD
021,100000000046,100000000046,100000000046,H,2026-02-15,2026-02-15,1,BOO,S,2026-02-15,100000000046,PEN,PEN,2026-02-15,45111,A,C,M,M,2026-02-15,PRINC_LIQ_AC_46,R,24266,021,2026-02-15,C,Y,R,R,R,34,84797,99373,100000000046,RD_,PEN,16924.200,2026-02-15,O,2026-02-15,CHA,R,PRI,PEN
022,100000000047,100000000047,100000000047,H,2026-02-16,2026-02-16,1,BOO,S,2026-02-16,100000000047,EUR,EUR,2026-02-16,383218,A,C,M,M,2026-02-16,PRINC_LIQ_AC_47,R,4412,022,2026-02-16,D,N,R,R,R,34,11184,53199,100000000047,RD_,EUR,17761.300,2026-02-16,O,2026-02-16,CHA,R,PRI,EUR
023,100000000048,100000000048,100000000048,H,2026-02-17,2026-02-17,1,BOO,S,2026-02-17,100000000048,BRL,BRL,2026-02-17,426368,A,C,M,M,2026-02-17,PRINC_LIQ_AC_48,R,6070,023,2026-02-17,C,N,R,R,R,6,96777,10865,100000000048,RD_,BRL,5788.400,2026-02-17,O,2026-02-17,CHA,R,PRI,BRL
024,100000000049,100000000049,100000000049,H,2026-02-18,2026-02-18,1,BOO,S,2026-02-18,100000000049,USD,USD,2026-02-18,231183,A,C,M,M,2026-02-18,PRINC_LIQ_AC_49,R,3064,024,2026-02-18,D,N,R,R,R,12,41828,95723,100000000049,RD_,USD,21687.600,2026-02-18,O,2026-02-18,CHA,R,PRI,USD
025,100000000050,100000000050,100000000050,H,2026-02-19,2026-02-19,1,BOO,S,2026-02-19,100000000050,PEN,PEN,2026-02-19,99934,A,C,M,M,2026-02-19,PRINC_LIQ_AC_50,R,2104,025,2026-02-19,C,N,R,R,R,5,90287,8135,100000000050,RD_,PEN,3270.000,2026-02-19,O,2026-02-19,CHA,R,PRI,PEN
001,100000000051,100000000051,100000000051,H,2026-02-20,2026-02-20,1,BOO,S,2026-02-20,100000000051,EUR,EUR,2026-02-20,636273,A,C,M,M,2026-02-20,PRINC_LIQ_AC_51,R,19260,001,2026-02-20,D,Y,R,R,R,22,97908,11403,100000000051,RD_,EUR,16315.500,2026-02-20,O,2026-02-20,CHA,R,PRI,EUR
002,100000000052,100000000052,100000000052,H,2026-02-21,2026-02-21,1,BOO,S,2026-02-21,100000000052,BRL,BRL,2026-02-21,153296,A,C,M,M,2026-02-21,PRINC_LIQ_AC_52,R,1859,002,2026-02-21,C,N,R,R,R,0,24158,24194,100000000052,RD_,BRL,8077.700,2026-02-21,O,2026-02-21,CHA,R,PRI,BRL
003,100000000053,100000000053,100000000053,H,2026-02-22,2026-02-22,1,BOO,S,2026-02-22,100000000053,USD,USD,2026-02-22,780578,A,C,M,M,2026-02-22,PRINC_LIQ_AC_53,R,14050,003,2026-02-22,D,N,R,R,R,12,2042,3574,100000000053,RD_,USD,3568.300,2026-02-22,O,2026-02-22,CHA,R,PRI,USD
004,100000000054,100000000054,100000000054,H,2026-02-23,2026-02-23,1,BOO,S,2026-02-23,100000000054,PEN,PEN,2026-02-23,839141,A,C,M,M,2026-02-23,PRINC_LIQ_AC_54,R,11008,004,2026-02-23,C,N,R,R,R,23,63932,49888,100000000054,RD_,PEN,17766.100,2026-02-23,O,2026-02-23,CHA,R,PRI,PEN
005,100000000055,100000000055,100000000055,H,2026-02-24,2026-02-24,1,BOO,S,2026-02-24,100000000055,EUR,EUR,2026-02-24,970298,A,C,M,M,2026-02-24,PRINC_LIQ_AC_55,R,7730,005,2026-02-24,D,N,R,R,R,1,87796,56638,100000000055,RD_,EUR,658.900,2026-02-24,O,2026-02-24,CHA,R,PRI,EUR
006,100000000056,100000000056,100000000056,H,2026-02-25,2026-02-25,1,BOO,S,2026-02-25,100000000056,BRL,BRL,2026-02-25,887439,A,C,M,M,2026-02-25,PRINC_LIQ_AC_56,R,15886,006,2026-02-25,C,Y,R,R,R,29,96588,58423,100000000056,RD_,BRL,1242.700,2026-02-25,O,2026-02-25,CHA,R,PRI,BRL
007,100000000057,100000000057,100000000057,H,2026-02-26,2026-02-26,1,BOO,S,2026-02-26,100000000057,USD,USD,2026-02-26,522715,A,C,M,M,2026-02-26,PRINC_LIQ_AC_57,R,12860,007,2026-02-26,D,N,R,R,R,2,88276,41519,100000000057,RD_,USD,8751.200,2026-02-26,O,2026-02-26,CHA,R,PRI,USD
008,100000000058,100000000058,100000000058,H,2026-02-27,2026-02-27,1,BOO,S,2026-02-27,100000000058,PEN,PEN,2026-02-27,401284,A,C,M,M,2026-02-27,PRINC_LIQ_AC_58,R,11410,008,2026-02-27,C,N,R,R,R,30,56976,10760,100000000058,RD_,PEN,10110.500,2026-02-27,O,2026-02-27,CHA,R,PRI,PEN
009,100000000059,100000000059,100000000059,H,2026-02-28,2026-02-28,1,BOO,S,2026-02-28,100000000059,EUR,EUR,2026-02-28,216622,A,C,M,M,2026-02-28,PRINC_LIQ_AC_59,R,1970,009,2026-02-28,D,N,R,R,R,30,69604,5840,100000000059,RD_,EUR,16273.200,2026-02-28,O,2026-02-28,CHA,R,PRI,EUR
010,100000000060,100000000060,100000000060,H,2026-03-01,2026-03-01,1,BOO,S,2026-03-01,100000000060,BRL,BRL,2026-03-01,946829,A,C,M,M,2026-03-01,PRINC_LIQ_AC_60,R,7697,010,2026-03-01,C,N,R,R,R,16,12976,34484,100000000060,RD_,BRL,19336.000,2026-03-01,O,2026-03-01,CHA,R,PRI,BRL
011,100000000061,100000000061,100000000061,H,2026-03-02,2026-03-02,1,BOO,S,2026-03-02,100000000061,USD,USD,2026-03-02,178221,A,C,M,M,2026-03-02,PRINC_LIQ_AC_61,R,10733,011,2026-03-02,D,Y,R,R,R,25,85640,61462,100000000061,RD_,USD,2198.500,2026-03-02,O,2026-03-02,CHA,R,PRI,USD
012,100000000062,100000000062,100000000062,H,2026-03-03,2026-03-03,1,BOO,S,2026-03-03,100000000062,PEN,PEN,2026-03-03,494761,A,C,M,M,2026-03-03,PRINC_LIQ_AC_62,R,3070,012,2026-03-03,C,N,R,R,R,9,3396,58640,100000000062,RD_,PEN,126.200,2026-03-03,O,2026-03-03,CHA,R,PRI,PEN
013,100000000063,100000000063,100000000063,H,2026-03-04,2026-03-04,1,BOO,S,2026-03-04,100000000063,EUR,EUR,2026-03-04,635826,A,C,M,M,2026-03-04,PRINC_LIQ_AC_63,R,14247,013,2026-03-04,D,N,R,R,R,9,62844,38874,100000000063,RD_,EUR,2213.600,2026-03-04,O,2026-03-04,CHA,R,PRI,EUR
014,100000000064,100000000064,100000000064,H,2026-03-05,2026-03-05,1,BOO,S,2026-03-05,100000000064,BRL,BRL,2026-03-05,529851,A,C,M,M,2026-03-05,PRINC_LIQ_AC_64,R,20226,014,2026-03-05,C,N,R,R,R,6,20526,47794,100000000064,RD_,BRL,22062.100,2026-03-05,O,2026-03-05,CHA,R,PRI,BRL
015,100000000065,100000000065,100000000065,H,2026-03-06,2026-03-06,1,BOO,S,2026-03-06,100000000065,USD,USD,2026-03-06,487369,A,C,M,M,2026-03-06,PRINC_LIQ_AC_65,R,6323,015,2026-03-06,D,N,R,R,R,18,1318,50400,100000000065,RD_,USD,12071.000,2026-03-06,O,2026-03-06,CHA,R,PRI,USD
016,100000000066,100000000066,100000000066,H,2026-03-07,2026-03-07,1,BOO,S,2026-03-07,100000000066,PEN,PEN,2026-03-07,536407,A,C,M,M,2026-03-07,PRINC_LIQ_AC_66,R,3392,016,2026-03-07,C,Y,R,R,R,27,35237,62697,100000000066,RD_,PEN,22932.100,2026-03-07,O,2026-03-07,CHA,R,PRI,PEN
017,100000000067,100000000067,100000000067,H,2026-03-08,2026-03-08,1,BOO,S,2026-03-08,100000000067,EUR,EUR,2026-03-08,247772,A,C,M,M,2026-03-08,PRINC_LIQ_AC_67,R,3241,017,2026-03-08,D,N,R,R,R,22,67530,81393,100000000067,RD_,EUR,11099.200,2026-03-08,O,2026-03-08,CHA,R,PRI,EUR
018,100000000068,100000000068,100000000068,H,2026-03-09,2026-03-09,1,BOO,S,2026-03-09,100000000068,BRL,BRL,2026-03-09,626723,A,C,M,M,2026-03-09,PRINC_LIQ_AC_68,R,21229,018,2026-03-09,C,N,R,R,R,25,37748,60695,100000000068,RD_,BRL,12609.800,2026-03-09,O,2026-03-09,CHA,R,PRI,BRL
019,100000000069,100000000069,100000000069,H,2026-03-10,2026-03-10,1,BOO,S,2026-03-10,100000000069,USD,USD,2026-03-10,296892,A,C,M,M,2026-03-10,PRINC_LIQ_AC_69,R,2950,019,2026-03-10,D,N,R,R,R,3,537,86965,100000000069,RD_,USD,21496.100,2026-03-10,O,2026-03-10,CHA,R,PRI,USD
020,100000000070,100000000070,100000000070,H,2026-03-11,2026-03-11,1,BOO,S,2026-03-11,100000000070,PEN,PEN,2026-03-11,383576,A,C,M,M,2026-03-11,PRINC_LIQ_AC_70,R,1340,020,2026-03-11,C,N,R,R,R,20,6800,7404,100000000070,RD_,PEN,15752.400,2026-03-11,O,2026-03-11,CHA,R,PRI,PEN
021,100000000071,100000000071,100000000071,H,2026-03-12,2026-03-12,1,BOO,S,2026-03-12,100000000071,EUR,EUR,2026-03-12,795225,A,C,M,M,2026-03-12,PRINC_LIQ_AC_71,R,20754,021,2026-03-12,D,Y,R,R,R,17,27317,87053,100000000071,RD_,EUR,21761.200,2026-03-12,O,2026-03-12,CHA,R,PRI,EUR
