BRN,ACC,PROD,UDE_EFF_DT,UDE_ID,UDE_VALUE,RATE_CODE,AUTH_STAT,RECORD_STAT,VERSION_NO,WAIVE_NOTARY_CHARGE,VALIDATE_MCR
002,100000000102,PROD,2026-04-12,UDE_ID_102,325008.00000,RATE_CODE_,A,O,9690,W,V
003,100000000103,PROD,2026-04-13,UDE_ID_103,935891.00000,RATE_CODE_,A,O,7249,W,V
004,100000000104,PROD,2026-04-14,UDE_ID_104,844670.00000,RATE_CODE_,A,O,5527,W,V
005,100000000105,PROD,2026-04-15,UDE_ID_105,372219.00000,RATE_CODE_,A,O,1682,W,V
006,100000000106,PROD,2026-04-16,UDE_ID_106,173744.00000,RATE_CODE_,A,O,8060,W,V
007,100000000107,PROD,2026-04-17,UDE_ID_107,633014.00000,RATE_CODE_,A,O,5728,W,V
008,100000000108,PROD,2026-04-18,UDE_ID_108,812037.00000,RATE_CODE_,A,O,6931,W,V
009,100000000109,PROD,2026-04-19,UDE_ID_109,125245.00000,RATE_CODE_,A,O,7327,W,V
010,100000000110,PROD,2026-04-20,UDE_ID_110,304161.00000,RATE_CODE_,A,O,6316,W,V
011,100000000111,PROD,2026-04-21,UDE_ID_111,77341.00000,RATE_CODE_,A,O,4345,W,V
012,100000000112,PROD,2026-04-22,UDE_ID_112,942897.00000,RATE_CODE_,A,O,6047,W,V
013,100000000113,PROD,2026-04-23,UDE_ID_113,640736.00000,RATE_CODE_,A,O,9905,W,V
014,100000000114,PROD,2026-04-24,UDE_ID_114,504425.00000,RATE_CODE_,A,O,4030,W,V
015,100000000115,PROD,2026-04-25,UDE_ID_115,420513.00000,RATE_CODE_,A,O,4498,W,V
016,100000000116,PROD,2026-04-26,UDE_ID_116,19221.00000,RATE_CODE_,U,O,4435,W,V
017,100000000117,PROD,2026-04-27,UDE_ID_117,358528.00000,RATE_CODE_,A,O,6594,W,V
018,100000000118,PROD,2026-04-28,UDE_ID_118,677768.00000,RATE_CODE_,A,O,5025,W,V
019,100000000119,PROD,2026-04-29,UDE_ID_119,10986.00000,RATE_CODE_,A,O,8850,W,V
020,100000000120,PROD,2026-04-30,UDE_ID_120,372207.00000,RATE_CODE_,A,O,8012,W,V
021,100000000121,PROD,2026-05-01,UDE_ID_121,805250.00000,RATE_CODE_,A,O,7220,W,V
022,100000000122,PROD,2026-05-02,UDE_ID_122,1674.00000,RATE_CODE_,A,O,5434,W,V
023,100000000123,PROD,2026-05-03,UDE_ID_123,773267.00000,RATE_CODE_,A,O,3213,W,V
024,100000000124,PROD,2026-05-04,UDE_ID_124,315404.00000,RATE_CODE_,A,O,4622,W,V
025,100000000125,PROD,2026-05-05,UDE_ID_125,584817.00000,RATE_CODE_,A,O,2056,W,V
001,100000000126,PROD,2026-05-06,UDE_ID_126,214900.00000,RATE_CODE_,A,O,7888,W,V
002,100000000127,PROD,2026-05-07,UDE_ID_127,654295.00000,RATE_CODE_,A,O,6045,W,V
003,100000000128,PROD,2026-05-08,UDE_ID_128,994739.00000,RATE_CODE_,A,O,569,W,V
004,100000000129,PROD,2026-05-09,UDE_ID_129,250209.00000,RATE_CODE_,A,O,9851,W,V
005,100000000130,PROD,2026-05-10,UDE_ID_130,338584.00000,RATE_CODE_,A,O,7114,W,V
006,100000000131,PROD,2026-05-11,UDE_ID_131,214964.00000,RATE_CODE_,A,O,2208,W,V
007,100000000132,PROD,2026-05-12,UDE_ID_132,843224.00000,RATE_CODE_,A,O,9103,W,V
008,100000000133,PROD,2026-05-13,UDE_ID_133,607160.00000,RATE_CODE_,A,O,6691,W,V
009,100000000134,PROD,2026-05-14,UDE_ID_134,416364.00000,RATE_CODE_,A,O,9005,W,V
010,100000000135,PROD,2026-05-15,UDE_ID_135,806255.00000,RATE_CODE_,A,O,9995,W,V
011,100000000136,PROD,2026-05-16,UDE_ID_136,986224.00000,RATE_CODE_,A,O,1821,W,V
012,100000000137,PROD,2026-05-17,UDE_ID_137,644816.00000,RATE_CODE_,A,O,3182,W,V
013,100000000138,PROD,2026-05-18,UDE_ID_138,245598.00000,RATE_CODE_,A,O,510,W,V
014,100000000139,PROD,2026-05-19,UDE_ID_139,281713.00000,RATE_CODE_,U,O,9714,W,V
015,100000000140,PROD,2026-05-20,UDE_ID_140,61503.00000,RATE_CODE_,A,O,961,W,V
016,100000000141,PROD,2026-05-21,UDE_ID_141,886219.00000,RATE_CODE_,A,O,2211,W,V
017,100000000142,PROD,2026-05-22,UDE_ID_142,479367.00000,RATE_CODE_,A,O,956,W,V
018,100000000143,PROD,2026-05-23,UDE_ID_143,460945.00000,RATE_CODE_,A,O,5515,W,V
019,100000000144,PROD,2026-05-24,UDE_ID_144,661270.00000,RATE_CODE_,A,O,8951,W,V
020,100000000145,PROD,2026-05-25,UDE_ID_145,428653.00000,RATE_CODE_,A,O,7567,W,V
021,100000000146,PROD,2026-05-26,UDE_ID_146,124856.00000,RATE_CODE_,A,O,6826,W,V
022,100000000147,PROD,2026-05-27,UDE_ID_147,384577.00000,RATE_CODE_,A,O,8479,W,V
023,100000000148,PROD,2026-05-28,UDE_ID_148,824903.00000,RATE_CODE_,A,O,9002,W,V
024,100000000149,PROD,2026-05-29,UDE_ID_149,289622.00000,RATE_CODE_,A,O,3089,W,V
025,100000000150,PROD,2026-05-30,UDE_ID_150,553642.00000,RATE_CODE_,A,O,6625,W,V
001,100000000151,PROD,2026-05-31,UDE_ID_151,894405.00000,RATE_CODE_,A,O,1457,W,V
002,100000000152,PROD,2026-06-01,UDE_ID_152,708857.00000,RATE_CODE_,A,O,4337,W,V
003,100000000153,PROD,2026-06-02,UDE_ID_153,4639.00000,RATE_CODE_,A,O,5603,W,V
004,100000000154,PROD,2026-06-03,UDE_ID_154,32757.00000,RATE_CODE_,A,O,9621,W,V
005,100000000155,PROD,2026-06-04,UDE_ID_155,395900.00000,RATE_CODE_,A,O,600,W,V
006,100000000156,PROD,2026-06-05,UDE_ID_156,832219.00000,RATE_CODE_,A,O,4059,W,V
007,100000000157,PROD,2026-06-06,UDE_ID_157,545197.00000,RATE_CODE_,A,O,3285,W,V
008,100000000158,PROD,2026-06-07,UDE_ID_158,589117.00000,RATE_CODE_,A,O,7727,W,V
009,100000000159,PROD,2026-06-08,UDE_ID_159,915810.00000,RATE_CODE_,A,O,9043,W,V
010,100000000160,PROD,2026-06-09,UDE_ID_160,537535.00000,RATE_CODE_,A,O,8838,W,V
011,100000000161,PROD,2026-06-10,UDE_ID_161,297972.00000,RATE_CODE_,A,O,9804,W,V
012,100000000162,PROD,2026-06-11,UDE_ID_162,318606.00000,RATE_CODE_,U,O,4359,W,V
013,100000000163,PROD,2026-06-12,UDE_ID_163,723971.00000,RATE_CODE_,A,O,1798,W,V
014,100000000164,PROD,2026-06-13,UDE_ID_164,279032.00000,RATE_CODE_,A,O,2140,W,V
015,100000000165,PROD,2026-06-14,UDE_ID_165,504988.00000,RATE_CODE_,A,O,760,W,V
016,100000000166,PROD,2026-06-15,UDE_ID_166,804006.00000,RATE_CODE_,A,O,2510,W,V
017,100000000167,PROD,2026-06-16,UDE_ID_167,802289.00000,RATE_CODE_,A,O,1236,W,V
018,100000000168,PROD,2026-06-17,UDE_ID_168,83570.00000,RATE_CODE_,A,O,809,W,V
019,100000000169,PROD,2026-06-18,UDE_ID_169,570363.00000,RATE_CODE_,A,O,2312,W,V
020,100000000170,PROD,2026-06-19,UDE_ID_170,850537.00000,RATE_CODE_,A,O,219,W,V
021,100000000171,PROD,2026-06-20,UDE_ID_171,912154.00000,RATE_CODE_,A,O,3174,W,V
022,100000000172,PROD,2026-06-21,UDE_ID_172,728271.00000,RATE_CODE_,A,O,9328,W,V
023,100000000173,PROD,2026-06-22,UDE_ID_173,247051.00000,RATE_CODE_,A,O,7203,W,V
024,100000000174,PROD,2026-06-23,UDE_ID_174,191440.00000,RATE_CODE_,A,O,6376,W,V
025,100000000175,PROD,2026-06-24,UDE_ID_175,656294.00000,RATE_CODE_,A,O,6334,W,V
001,100000000176,PROD,2026-06-25,UDE_ID_176,925981.00000,RATE_CODE_,A,O,3258,W,V
002,100000000177,PROD,2026-06-26,UDE_ID_177,260150.00000,RATE_CODE_,A,O,7847,W,V
003,100000000178,PROD,2026-06-27,UDE_ID_178,565269.00000,RATE_CODE_,A,O,4472,W,V
004,100000000179,PROD,2026-06-28,UDE_ID_179,680167.00000,RATE_CODE_,A,O,2303,W,V
005,100000000180,PROD,2026-06-29,UDE_ID_180,415788.00000,RATE_CODE_,A,O,7783,W,V
006,100000000181,PROD,2026-06-30,UDE_ID_181,505756.00000,RATE_CODE_,A,O,6331,W,V
007,100000000182,PROD,2026-07-01,UDE_ID_182,581714.00000,RATE_CODE_,A,O,9474,W,V
008,100000000183,PROD,2026-07-02,UDE_ID_183,810626.00000,RATE_CODE_,A,O,5379,W,V
009,100000000184,PROD,2026-07-03,UDE_ID_184,461654.00000,RATE_CODE_,A,O,7006,W,V
010,100000000185,PROD,2026-07-04,UDE_ID_185,376369.00000,RATE_CODE_,U,O,8644,W,V
011,100000000186,PROD,2026-07-05,UDE_ID_186,676854.00000,RATE_CODE_,A,O,9268,W,V
012,100000000187,PROD,2026-07-06,UDE_ID_187,929481.00000,RATE_CODE_,A,O,6935,W,V
013,100000000188,PROD,2026-07-07,UDE_ID_188,502809.00000,RATE_CODE_,A,O,9535,W,V
014,100000000189,PROD,2026-07-08,UDE_ID_189,903880.00000,RATE_CODE_,A,O,5323,W,V
015,100000000190,PROD,2026-07-09,UDE_ID_190,4372.00000,RATE_CODE_,A,O,9814,W,V
016,100000000191,PROD,2026-07-10,UDE_ID_191,860088.00000,RATE_CODE_,A,O,8647,W,V
017,100000000192,PROD,2026-07-11,UDE_ID_192,969906.00000,RATE_CODE_,A,O,4728,W,V
018,100000000193,PROD,2026-07-12,UDE_ID_193,970123.00000,RATE_CODE_,A,O,9815,W,V
019,100000000194,PROD,2026-07-13,UDE_ID_194,67449.00000,RATE_CODE_,A,O,289,W,V
020,100000000195,PROD,2026-07-14,UDE_ID_195,867146.00000,RATE_CODE_,A,O,4388,W,V
021,100000000196,PROD,2026-07-15,UDE_ID_196,876255.00000,RATE_CODE_,A,O,8516,W,V
022,100000000197,PROD,2026-07-16,UDE_ID_197,448312.00000,RATE_CODE_,A,O,7126,W,V
023,100000000198,PROD,2026-07-17,UDE_ID_198,999709.00000,RATE_CODE_,A,O,6477,W,V
024,100000000199,PROD,2026-07-18,UDE_ID_199,320416.00000,RATE_CODE_,A,O,9542,W,V
025,100000000200,PROD,2026-07-19,UDE_ID_200,285839.00000,RATE_CODE_,A,O,3904,W,V
001,100000000201,PROD,2026-07-20,UDE_ID_201,634581.00000,RATE_CODE_,A,O,7165,W,V
002,100000000202,PROD,2026-07-21,UDE_ID_202,651950.00000,RATE_CODE_,A,O,3173,W,V
003,100000000203,PROD,2026-07-22,UDE_ID_203,863224.00000,RATE_CODE_,A,O,9318,W,V
004,100000000204,PROD,2026-07-23,UDE_ID_204,198940.00000,RATE_CODE_,A,O,6675,W,V
005,100000000205,PROD,2026-07-24,UDE_ID_205,802971.00000,RATE_CODE_,A,O,6833,W,V
006,100000000206,PROD,2026-07-25,UDE_ID_206,337535.00000,RATE_CODE_,A,O,1867,W,V
007,100000000207,PROD,2026-07-26,UDE_ID_207,424525.00000,RATE_CODE_,A,O,5979,W,V
008,100000000208,PROD,2026-07-27,UDE_ID_208,301557.00000,RATE_CODE_,U,O,6419,W,V
009,100000000209,PROD,2026-07-28,UDE_ID_209,213268.00000,RATE_CODE_,A,O,5202,W,V
010,100000000210,PROD,2026-07-29,UDE_ID_210,538691.00000,RATE_CODE_,A,O,671,W,V
011,100000000211,PROD,2026-07-30,UDE_ID_211,882517.00000,RATE_CODE_,A,O,9476,W,V
012,100000000212,PROD,2026-07-31,UDE_ID_212,252213.00000,RATE_CODE_,A,O,7876,W,V
013,100000000213,PROD,2026-08-01,UDE_ID_213,240205.00000,RATE_CODE_,A,O,6830,W,V
014,100000000214,PROD,2026-08-02,UDE_ID_214,463482.00000,RATE_CODE_,A,O,7737,W,V
015,100000000215,PROD,2026-08-03,UDE_ID_215,609456.00000,RATE_CODE_,A,O,7140,W,V
016,100000000216,PROD,2026-08-04,UDE_ID_216,347660.00000,RATE_CODE_,A,O,2811,W,V
017,100000000217,PROD,2026-08-05,UDE_ID_217,141118.00000,RATE_CODE_,A,O,7760,W,V
018,100000000218,PROD,2026-08-06,UDE_ID_218,380766.00000,RATE_CODE_,A,O,3019,W,V
019,100000000219,PROD,2026-08-07,UDE_ID_219,575024.00000,RATE_CODE_,A,O,8775,W,V
020,100000000220,PROD,2026-08-08,UDE_ID_220,872021.00000,RATE_CODE_,A,O,5533,W,V
021,100000000221,PROD,2026-08-09,UDE_ID_221,913752.00000,RATE_CODE_,A,O,1990,W,V
022,100000000222,PROD,2026-08-10,UDE_ID_222,693802.00000,RATE_CODE_,A,O,1279,W,V
023,100000000223,PROD,2026-08-11,UDE_ID_223,155324.00000,RATE_CODE_,A,O,9101,W,V
024,100000000224,PROD,2026-08-12,UDE_ID_224,507731.00000,RATE_CODE_,A,O,2798,W,V
025,100000000225,PROD,2026-08-13,UDE_ID_225,270054.00000,RATE_CODE_,A,O,2516,W,V
001,100000000226,PROD,2026-08-14,UDE_ID_226,526599.00000,RATE_CODE_,A,O,4132,W,V
002,100000000227,PROD,2026-08-15,UDE_ID_227,763578.00000,RATE_CODE_,A,O,9865,W,V
003,100000000228,PROD,2026-08-16,UDE_ID_228,929603.00000,RATE_CODE_,A,O,2422,W,V
004,100000000229,PROD,2026-08-17,UDE_ID_229,205526.00000,RATE_CODE_,A,O,2361,W,V
005,100000000230,PROD,2026-08-18,UDE_ID_230,416284.00000,RATE_CODE_,A,O,5119,W,V
006,100000000231,PROD,2026-08-19,UDE_ID_231,912747.00000,RATE_CODE_,U,O,4439,W,V
007,100000000232,PROD,2026-08-20,UDE_ID_232,871122.00000,RATE_CODE_,A,O,8111,W,V
008,100000000233,PROD,2026-08-21,UDE_ID_233,259956.00000,RATE_CODE_,A,O,8324,W,V
009,100000000234,PROD,2026-08-22,UDE_ID_234,125938.00000,RATE_CODE_,A,O,4554,W,V
010,100000000235,PROD,2026-08-23,UDE_ID_235,16598.00000,RATE_CODE_,A,O,9715,W,V
011,100000000236,PROD,2026-08-24,UDE_ID_236,265745.00000,RATE_CODE_,A,O,5172,W,V
012,100000000237,PROD,2026-08-25,UDE_ID_237,265135.00000,RATE_CODE_,A,O,8147,W,V
013,100000000238,PROD,2026-08-26,UDE_ID_238,801189.00000,RATE_CODE_,A,O,5745,W,V
014,100000000239,PROD,2026-08-27,UDE_ID_239,261903.00000,RATE_CODE_,A,O,2909,W,V
015,100000000240,PROD,2026-08-28,UDE_ID_240,884274.00000,RATE_CODE_,A,O,5922,W,V
016,100000000241,PROD,2026-08-29,UDE_ID_241,938379.00000,RATE_CODE_,A,O,3011,W,V
017,100000000242,PROD,2026-08-30,UDE_ID_242,596983.00000,RATE_CODE_,A,O,1074,W,V
018,100000000243,PROD,2026-08-31,UDE_ID_243,733736.00000,RATE_CODE_,A,O,7874,W,V
019,100000000244,PROD,2026-09-01,UDE_ID_244,617191.00000,RATE_CODE_,A,O,8562,W,V
020,100000000245,PROD,2026-09-02,UDE_ID_245,669577.00000,RATE_CODE_,A,O,1233,W,V
021,100000000246,PROD,2026-09-03,UDE_ID_246,226833.00000,RATE_CODE_,A,O,9661,W,V
022,100000000247,PROD,2026-09-04,UDE_ID_247,45567.00000,RATE_CODE_,A,O,8167,W,V
023,100000000248,PROD,2026-09-05,UDE_ID_248,963698.00000,RATE_CODE_,A,O,5590,W,V
024,100000000249,PROD,2026-09-06,UDE_ID_249,421636.00000,RATE_CODE_,A,O,5379,W,V
025,100000000250,PROD,2026-09-07,UDE_ID_250,518280.00000,RATE_CODE_,A,O,2129,W,V
001,100000000251,PROD,2026-09-08,UDE_ID_251,250691.00000,RATE_CODE_,A,O,8015,W,V
002,100000000252,PROD,2026-09-09,UDE_ID_252,34950.00000,RATE_CODE_,A,O,9520,W,V
003,100000000253,PROD,2026-09-10,UDE_ID_253,206925.00000,RATE_CODE_,A,O,8942,W,V
004,100000000254,PROD,2026-09-11,UDE_ID_254,601754.00000,RATE_CODE_,U,O,5721,W,V
005,100000000255,PROD,2026-09-12,UDE_ID_255,424482.00000,RATE_CODE_,A,O,5649,W,V
006,100000000256,PROD,2026-09-13,UDE_ID_256,421231.00000,RATE_CODE_,A,O,4202,W,V
007,100000000257,PROD,2026-09-14,UDE_ID_257,343877.00000,RATE_CODE_,A,O,1985,W,V
008,100000000258,PROD,2026-09-15,UDE_ID_258,335345.00000,RATE_CODE_,A,O,6177,W,V
009,100000000259,PROD,2026-09-16,UDE_ID_259,253802.00000,RATE_CODE_,A,O,5360,W,V
010,100000000260,PROD,2026-09-17,UDE_ID_260,371513.00000,RATE_CODE_,A,O,5941,W,V
