BRN,ACC,PROD,SC_MAP_DT,GC_MAP_DT,LAST_CALC_DT,LAST_LIQ_DT,NEXT_LIQ_DT,LAST_ACCR_DT,NEXT_ACCR_DT,LAST_SCHD_LIQ_DT,INC_MTH,NEXT_SCHD_LIQ_DT,FIRST_CALC_DT,NEXT_SCHD_ACCR_DT,PROD_TYPE,HAS_ACCR,NEXT_CALC_DT,PROD_ACCR,HAS_PROBLEMS,BKVAL_RECALC_FLAG,BKVAL_MINCALC_DATE,STOP_IC,FIRST_FIRST_CALC_DATE,NEXT_EVENT_DT,CCY,ACLASS,PROCESS,MIS_REFERENCE,DEPOSIT,IMAT_PROBLEMS,DEFER_LIQ_DT,TAX_PRODUCT,HAS_IADJ
014,100000000014,PROD,2026-01-14,2026-01-14,2026-01-14,2026-01-14,2026-01-14,2026-01-14,2026-01-14,2026-01-14,I,2026-01-14,2026-01-14,2026-01-14,P,1,2026-01-14,1,H,N,2026-01-14,S,2026-01-14,2026-01-14,PEN,ACLASS,15,MIS_REFERENCE_14,D,I,2026-01-14,C,H
015,100000000015,PROD,2026-01-15,2026-01-15,2026-01-15,2026-01-15,2026-01-15,2026-01-15,2026-01-15,2026-01-15,I,2026-01-15,2026-01-15,2026-01-15,P,1,2026-01-15,1,H,N,2026-01-15,S,2026-01-15,2026-01-15,EUR,ACLASS,48,MIS_REFERENCE_15,D,I,2026-01-15,L,H
016,100000000016,PROD,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16,I,2026-01-16,2026-01-16,2026-01-16,P,1,2026-01-16,1,H,Y,2026-01-16,S,2026-01-16,2026-01-16,BRL,ACLASS,58,MIS_REFERENCE_16,D,I,2026-01-16,T,H
017,100000000017,PROD,2026-01-17,2026-01-17,2026-01-17,2026-01-17,2026-01-17,2026-01-17,2026-01-17,2026-01-17,I,2026-01-17,2026-01-17,2026-01-17,P,1,2026-01-17,1,H,N,2026-01-17,S,2026-01-17,2026-01-17,USD,ACLASS,99,MIS_REFERENCE_17,D,I,2026-01-17,C,H
018,100000000018,PROD,2026-01-18,2026-01-18,2026-01-18,2026-01-18,2026-01-18,2026-01-18,2026-01-18,2026-01-18,I,2026-01-18,2026-01-18,2026-01-18,P,1,2026-01-18,1,H,N,2026-01-18,S,2026-01-18,2026-01-18,PEN,ACLASS,12,MIS_REFERENCE_18,D,I,2026-01-18,C,H
019,100000000019,PROD,2026-01-19,2026-01-19,2026-01-19,2026-01-19,2026-01-19,2026-01-19,2026-01-19,2026-01-19,I,2026-01-19,2026-01-19,2026-01-19,P,1,2026-01-19,1,H,N,2026-01-19,S,2026-01-19,2026-01-19,EUR,ACLASS,98,MIS_REFERENCE_19,D,I,2026-01-19,S,H
020,100000000020,PROD,2026-01-20,2026-01-20,2026-01-20,2026-01-20,2026-01-20,2026-01-20,2026-01-20,2026-01-20,I,2026-01-20,2026-01-20,2026-01-20,P,1,2026-01-20,1,H,N,2026-01-20,S,2026-01-20,2026-01-20,BRL,ACLASS,7,MIS_REFERENCE_20,D,I,2026-01-20,C,H
021,100000000021,PROD,2026-01-21,2026-01-21,2026-01-21,2026-01-21,2026-01-21,2026-01-21,2026-01-21,2026-01-21,I,2026-01-21,2026-01-21,2026-01-21,P,1,2026-01-21,1,H,Y,2026-01-21,S,2026-01-21,2026-01-21,USD,ACLASS,30,MIS_REFERENCE_21,D,I,2026-01-21,L,H
022,100000000022,PROD,2026-01-22,2026-01-22,2026-01-22,2026-01-22,2026-01-22,2026-01-22,2026-01-22,2026-01-22,I,2026-01-22,2026-01-22,2026-01-22,P,1,2026-01-22,1,H,N,2026-01-22,S,2026-01-22,2026-01-22,PEN,ACLASS,80,MIS_REFERENCE_22,D,I,2026-01-22,T,H
023,100000000023,PROD,2026-01-23,2026-01-23,2026-01-23,2026-01-23,2026-01-23,2026-01-23,2026-01-23,2026-01-23,I,2026-01-23,2026-01-23,2026-01-23,P,1,2026-01-23,1,H,N,2026-01-23,S,2026-01-23,2026-01-23,EUR,ACLASS,63,MIS_REFERENCE_23,D,I,2026-01-23,C,H
024,100000000024,PROD,2026-01-24,2026-01-24,2026-01-24,2026-01-24,2026-01-24,2026-01-24,2026-01-24,2026-01-24,I,2026-01-24,2026-01-24,2026-01-24,P,1,2026-01-24,1,H,N,2026-01-24,S,2026-01-24,2026-01-24,BRL,ACLASS,7,MIS_REFERENCE_24,D,I,2026-01-24,C,H
025,100000000025,PROD,2026-01-25,2026-01-25,2026-01-25,2026-01-25,2026-01-25,2026-01-25,2026-01-25,2026-01-25,I,2026-01-25,2026-01-25,2026-01-25,P,1,2026-01-25,1,H,N,2026-01-25,S,2026-01-25,2026-01-25,USD,ACLASS,96,MIS_REFERENCE_25,D,I,2026-01-25,S,H
001,100000000026,PROD,2026-01-26,2026-01-26,2026-01-26,2026-01-26,2026-01-26,2026-01-26,2026-01-26,2026-01-26,I,2026-01-26,2026-01-26,2026-01-26,P,1,2026-01-26,1,H,Y,2026-01-26,S,2026-01-26,2026-01-26,PEN,ACLASS,39,MIS_REFERENCE_26,D,I,2026-01-26,C,H
002,100000000027,PROD,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2026-01-27,I,2026-01-27,2026-01-27,2026-01-27,P,1,2026-01-27,1,H,N,2026-01-27,S,2026-01-27,2026-01-27,EUR,ACLASS,81,MIS_REFERENCE_27,D,I,2026-01-27,L,H
003,100000000028,PROD,2026-01-28,2026-01-28,2026-01-28,2026-01-28,2026-01-28,2026-01-28,2026-01-28,2026-01-28,I,2026-01-28,2026-01-28,2026-01-28,P,1,2026-01-28,1,H,N,2026-01-28,S,2026-01-28,2026-01-28,BRL,ACLASS,69,MIS_REFERENCE_28,D,I,2026-01-28,T,H
004,100000000029,PROD,2026-01-29,2026-01-29,2026-01-29,2026-01-29,2026-01-29,2026-01-29,2026-01-29,2026-01-29,I,2026-01-29,2026-01-29,2026-01-29,P,1,2026-01-29,1,H,N,2026-01-29,S,2026-01-29,2026-01-29,USD,ACLASS,62,MIS_REFERENCE_29,D,I,2026-01-29,C,H
005,100000000030,PROD,2026-01-30,2026-01-30,2026-01-30,2026-01-30,2026-01-30,2026-01-30,2026-01-30,2026-01-30,I,2026-01-30,2026-01-30,2026-01-30,P,1,2026-01-30,1,H,N,2026-01-30,S,2026-01-30,2026-01-30,PEN,ACLASS,70,MIS_REFERENCE_30,D,I,2026-01-30,C,H
006,100000000031,PROD,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,I,2026-01-31,2026-01-31,2026-01-31,P,1,2026-01-31,1,H,Y,2026-01-31,S,2026-01-31,2026-01-31,EUR,ACLASS,57,MIS_REFERENCE_31,D,I,2026-01-31,S,H
007,100000000032,PROD,2026-02-01,2026-02-01,2026-02-01,2026-02-01,2026-02-01,2026-02-01,2026-02-01,2026-02-01,I,2026-02-01,2026-02-01,2026-02-01,P,1,2026-02-01,1,H,N,2026-02-01,S,2026-02-01,2026-02-01,BRL,ACLASS,44,MIS_REFERENCE_32,D,I,2026-02-01,C,H
008,100000000033,PROD,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02,I,2026-02-02,2026-02-02,2026-02-02,P,1,2026-02-02,1,H,N,2026-02-02,S,2026-02-02,2026-02-02,USD,ACLASS,1,MIS_REFERENCE_33,D,I,2026-02-02,L,H
009,100000000034,PROD,2026-02-03,2026-02-03,2026-02-03,2026-02-03,2026-02-03,2026-02-03,2026-02-03,2026-02-03,I,2026-02-03,2026-02-03,2026-02-03,P,1,2026-02-03,1,H,N,2026-02-03,S,2026-02-03,2026-02-03,PEN,ACLASS,51,MIS_REFERENCE_34,D,I,2026-02-03,T,H
010,100000000035,PROD,2026-02-04,2026-02-04,2026-02-04,2026-02-04,2026-02-04,2026-02-04,2026-02-04,2026-02-04,I,2026-02-04,2026-02-04,2026-02-04,P,1,2026-02-04,1,H,N,2026-02-04,S,2026-02-04,2026-02-04,EUR,ACLASS,38,MIS_REFERENCE_35,D,I,2026-02-04,C,H
011,100000000036,PROD,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05,I,2026-02-05,2026-02-05,2026-02-05,P,1,2026-02-05,1,H,Y,2026-02-05,S,2026-02-05,2026-02-05,BRL,ACLASS,85,MIS_REFERENCE_36,D,I,2026-02-05,C,H
012,100000000037,PROD,2026-02-06,2026-02-06,2026-02-06,2026-02-06,2026-02-06,2026-02-06,2026-02-06,2026-02-06,I,2026-02-06,2026-02-06,2026-02-06,P,1,2026-02-06,1,H,N,2026-02-06,S,2026-02-06,2026-02-06,USD,ACLASS,53,MIS_REFERENCE_37,D,I,2026-02-06,S,H
013,100000000038,PROD,2026-02-07,2026-02-07,2026-02-07,2026-02-07,2026-02-07,2026-02-07,2026-02-07,2026-02-07,I,2026-02-07,2026-02-07,2026-02-07,P,1,2026-02-07,1,H,N,2026-02-07,S,2026-02-07,2026-02-07,PEN,ACLASS,14,MIS_REFERENCE_38,D,I,2026-02-07,C,H
014,100000000039,PROD,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08,I,2026-02-08,2026-02-08,2026-02-08,P,1,2026-02-08,1,H,N,2026-02-08,S,2026-02-08,2026-02-08,EUR,ACLASS,24,MIS_REFERENCE_39,D,I,2026-02-08,L,H
015,100000000040,PROD,2026-02-09,2026-02-09,2026-02-09,2026-02-09,2026-02-09,2026-02-09,2026-02-09,2026-02-09,I,2026-02-09,2026-02-09,2026-02-09,P,1,2026-02-09,1,H,N,2026-02-09,S,2026-02-09,2026-02-09,BRL,ACLASS,57,MIS_REFERENCE_40,D,I,2026-02-09,T,H
016,100000000041,PROD,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,I,2026-02-10,2026-02-10,2026-02-10,P,1,2026-02-10,1,H,Y,2026-02-10,S,2026-02-10,2026-02-10,USD,ACLASS,55,MIS_REFERENCE_41,D,I,2026-02-10,C,H
017,100000000042,PROD,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,I,2026-02-11,2026-02-11,2026-02-11,P,1,2026-02-11,1,H,N,2026-02-11,S,2026-02-11,2026-02-11,PEN,ACLASS,5,MIS_REFERENCE_42,D,I,2026-02-11,C,H
018,100000000043,PROD,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12,I,2026-02-12,2026-02-12,2026-02-12,P,1,2026-02-12,1,H,N,2026-02-12,S,2026-02-12,2026-02-12,EUR,ACLASS,46,MIS_REFERENCE_43,D,I,2026-02-12,S,H
019,100000000044,PROD,2026-02-13,2026-02-13,2026-02-13,2026-02-13,2026-02-13,2026-02-13,2026-02-13,2026-02-13,I,2026-02-13,2026-02-13,2026-02-13,P,1,2026-02-13,1,H,N,2026-02-13,S,2026-02-13,2026-02-13,BRL,ACLASS,67,MIS_REFERENCE_44,D,I,2026-02-13,C,H
020,100000000045,PROD,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14,I,2026-02-14,2026-02-14,2026-02-14,P,1,2026-02-14,1,H,N,2026-02-14,S,2026-02-14,2026-02-14,USD,ACLASS,16,MIS_REFERENCE_45,D,I,2026-02-14,L,H
021,100000000046,PROD,2026-02-15,2026-02-15,2026-02-15,2026-02-15,2026-02-15,2026-02-15,2026-02-15,2026-02-15,I,2026-02-15,2026-02-15,2026-02-15,P,1,2026-02-15,1,H,Y,2026-02-15,S,2026-02-15,2026-02-15,PEN,ACLASS,69,MIS_REFERENCE_46,D,I,2026-02-15,T,H
022,100000000047,PROD,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16,I,2026-02-16,2026-02-16,2026-02-16,P,1,2026-02-16,1,H,N,2026-02-16,S,2026-02-16,2026-02-16,EUR,ACLASS,90,MIS_REFERENCE_47,D,I,2026-02-16,C,H
023,100000000048,PROD,2026-02-17,2026-02-17,2026-02-17,2026-02-17,2026-02-17,2026-02-17,2026-02-17,2026-02-17,I,2026-02-17,2026-02-17,2026-02-17,P,1,2026-02-17,1,H,N,2026-02-17,S,2026-02-17,2026-02-17,BRL,ACLASS,82,MIS_REFERENCE_48,D,I,2026-02-17,C,H
024,100000000049,PROD,2026-02-18,2026-02-18,2026-02-18,2026-02-18,2026-02-18,2026-02-18,2026-02-18,2026-02-18,I,2026-02-18,2026-02-18,2026-02-18,P,1,2026-02-18,1,H,N,2026-02-18,S,2026-02-18,2026-02-18,USD,ACLASS,91,MIS_REFERENCE_49,D,I,2026-02-18,S,H
025,100000000050,PROD,2026-02-19,2026-02-19,2026-02-19,2026-02-19,2026-02-19,2026-02-19,2026-02-19,2026-02-19,I,2026-02-19,2026-02-19,2026-02-19,P,1,2026-02-19,1,H,N,2026-02-19,S,2026-02-19,2026-02-19,PEN,ACLASS,18,MIS_REFERENCE_50,D,I,2026-02-19,C,H
001,100000000051,PROD,2026-02-20,2026-02-20,2026-02-20,2026-02-20,2026-02-20,2026-02-20,2026-02-20,2026-02-20,I,2026-02-20,2026-02-20,2026-02-20,P,1,2026-02-20,1,H,Y,2026-02-20,S,2026-02-20,2026-02-20,EUR,ACLASS,73,MIS_REFERENCE_51,D,I,2026-02-20,L,H
002,100000000052,PROD,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,I,2026-02-21,2026-02-21,2026-02-21,P,1,2026-02-21,1,H,N,2026-02-21,S,2026-02-21,2026-02-21,BRL,ACLASS,63,MIS_REFERENCE_52,D,I,2026-02-21,T,H
003,100000000053,PROD,2026-02-22,2026-02-22,2026-02-22,2026-02-22,2026-02-22,2026-02-22,2026-02-22,2026-02-22,I,2026-02-22,2026-02-22,2026-02-22,P,1,2026-02-22,1,H,N,2026-02-22,S,2026-02-22,2026-02-22,USD,ACLASS,18,MIS_REFERENCE_53,D,I,2026-02-22,C,H
004,100000000054,PROD,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23,I,2026-02-23,2026-02-23,2026-02-23,P,1,2026-02-23,1,H,N,2026-02-23,S,2026-02-23,2026-02-23,PEN,ACLASS,61,MIS_REFERENCE_54,D,I,2026-02-23,C,H
005,100000000055,PROD,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,I,2026-02-24,2026-02-24,2026-02-24,P,1,2026-02-24,1,H,N,2026-02-24,S,2026-02-24,2026-02-24,EUR,ACLASS,65,MIS_REFERENCE_55,D,I,2026-02-24,S,H
006,100000000056,PROD,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2026-02-25,I,2026-02-25,2026-02-25,2026-02-25,P,1,2026-02-25,1,H,Y,2026-02-25,S,2026-02-25,2026-02-25,BRL,ACLASS,5,MIS_REFERENCE_56,D,I,2026-02-25,C,H
007,100000000057,PROD,2026-02-26,2026-02-26,2026-02-26,2026-02-26,2026-02-26,2026-02-26,2026-02-26,2026-02-26,I,2026-02-26,2026-02-26,2026-02-26,P,1,2026-02-26,1,H,N,2026-02-26,S,2026-02-26,2026-02-26,USD,ACLASS,87,MIS_REFERENCE_57,D,I,2026-02-26,L,H
008,100000000058,PROD,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27,I,2026-02-27,2026-02-27,2026-02-27,P,1,2026-02-27,1,H,N,2026-02-27,S,2026-02-27,2026-02-27,PEN,ACLASS,5,MIS_REFERENCE_58,D,I,2026-02-27,T,H
009,100000000059,PROD,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,I,2026-02-28,2026-02-28,2026-02-28,P,1,2026-02-28,1,H,N,2026-02-28,S,2026-02-28,2026-02-28,EUR,ACLASS,81,MIS_REFERENCE_59,D,I,2026-02-28,C,H
010,100000000060,PROD,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,I,2026-03-01,2026-03-01,2026-03-01,P,1,2026-03-01,1,H,N,2026-03-01,S,2026-03-01,2026-03-01,BRL,ACLASS,49,MIS_REFERENCE_60,D,I,2026-03-01,C,H
011,100000000061,PROD,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02,I,2026-03-02,2026-03-02,2026-03-02,P,1,2026-03-02,1,H,Y,2026-03-02,S,2026-03-02,2026-03-02,USD,ACLASS,0,MIS_REFERENCE_61,D,I,2026-03-02,S,H
012,100000000062,PROD,2026-03-03,2026-03-03,2026-03-03,2026-03-03,2026-03-03,2026-03-03,2026-03-03,2026-03-03,I,2026-03-03,2026-03-03,2026-03-03,P,1,2026-03-03,1,H,N,2026-03-03,S,2026-03-03,2026-03-03,PEN,ACLASS,43,MIS_REFERENCE_62,D,I,2026-03-03,C,H
013,100000000063,PROD,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04,I,2026-03-04,2026-03-04,2026-03-04,P,1,2026-03-04,1,H,N,2026-03-04,S,2026-03-04,2026-03-04,EUR,ACLASS,54,MIS_REFERENCE_63,D,I,2026-03-04,L,H
014,100000000064,PROD,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05,I,2026-03-05,2026-03-05,2026-03-05,P,1,2026-03-05,1,H,N,2026-03-05,S,2026-03-05,2026-03-05,BRL,ACLASS,97,MIS_REFERENCE_64,D,I,2026-03-05,T,H
015,100000000065,PROD,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,I,2026-03-06,2026-03-06,2026-03-06,P,1,2026-03-06,1,H,N,2026-03-06,S,2026-03-06,2026-03-06,USD,ACLASS,55,MIS_REFERENCE_65,D,I,2026-03-06,C,H
016,100000000066,PROD,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07,I,2026-03-07,2026-03-07,2026-03-07,P,1,2026-03-07,1,H,Y,2026-03-07,S,2026-03-07,2026-03-07,PEN,ACLASS,44,MIS_REFERENCE_66,D,I,2026-03-07,C,H
017,100000000067,PROD,2026-03-08,2026-03-08,2026-03-08,2026-03-08,2026-03-08,2026-03-08,2026-03-08,2026-03-08,I,2026-03-08,2026-03-08,2026-03-08,P,1,2026-03-08,1,H,N,2026-03-08,S,2026-03-08,2026-03-08,EUR,ACLASS,25,MIS_REFERENCE_67,D,I,2026-03-08,S,H
018,100000000068,PROD,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09,I,2026-03-09,2026-03-09,2026-03-09,P,1,2026-03-09,1,H,N,2026-03-09,S,2026-03-09,2026-03-09,BRL,ACLASS,80,MIS_REFERENCE_68,D,I,2026-03-09,C,H
019,100000000069,PROD,2026-03-10,2026-03-10,2026-03-10,2026-03-10,2026-03-10,2026-03-10,2026-03-10,2026-03-10,I,2026-03-10,2026-03-10,2026-03-10,P,1,2026-03-10,1,H,N,2026-03-10,S,2026-03-10,2026-03-10,USD,ACLASS,9,MIS_REFERENCE_69,D,I,2026-03-10,L,H
020,100000000070,PROD,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11,I,2026-03-11,2026-03-11,2026-03-11,P,1,2026-03-11,1,H,N,2026-03-11,S,2026-03-11,2026-03-11,PEN,ACLASS,48,MIS_REFERENCE_70,D,I,2026-03-11,T,H
021,100000000071,PROD,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12,I,2026-03-12,2026-03-12,2026-03-12,P,1,2026-03-12,1,H,Y,2026-03-12,S,2026-03-12,2026-03-12,EUR,ACLASS,68,MIS_REFERENCE_71,D,I,2026-03-12,C,H
022,100000000072,PROD,2026-03-13,2026-03-13,2026-03-13,2026-03-13,2026-03-13,2026-03-13,2026-03-13,2026-03-13,I,2026-03-13,2026-03-13,2026-03-13,P,1,2026-03-13,1,H,N,2026-03-13,S,2026-03-13,2026-03-13,BRL,ACLASS,92,MIS_REFERENCE_72,D,I,2026-03-13,C,H
023,100000000073,PROD,2026-03-14,2026-03-14,2026-03-14,2026-03-14,2026-03-14,2026-03-14,2026-03-14,2026-03-14,I,2026-03-14,2026-03-14,2026-03-14,P,1,2026-03-14,1,H,N,2026-03-14,S,2026-03-14,2026-03-14,USD,ACLASS,30,MIS_REFERENCE_73,D,I,2026-03-14,S,H
024,100000000074,PROD,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15,I,2026-03-15,2026-03-15,2026-03-15,P,1,2026-03-15,1,H,N,2026-03-15,S,2026-03-15,2026-03-15,PEN,ACLASS,17,MIS_REFERENCE_74,D,I,2026-03-15,C,H
025,100000000075,PROD,2026-03-16,2026-03-16,2026-03-16,2026-03-16,2026-03-16,2026-03-16,2026-03-16,2026-03-16,I,2026-03-16,2026-03-16,2026-03-16,P,1,2026-03-16,1,H,N,2026-03-16,S,2026-03-16,2026-03-16,EUR,ACLASS,72,MIS_REFERENCE_75,D,I,2026-03-16,L,H
001,100000000076,PROD,2026-03-17,2026-03-17,2026-03-17,2026-03-17,2026-03-17,2026-03-17,2026-03-17,2026-03-17,I,2026-03-17,2026-03-17,2026-03-17,P,1,2026-03-17,1,H,Y,2026-03-17,S,2026-03-17,2026-03-17,BRL,ACLASS,74,MIS_REFERENCE_76,D,I,2026-03-17,T,H
002,100000000077,PROD,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18,I,2026-03-18,2026-03-18,2026-03-18,P,1,2026-03-18,1,H,N,2026-03-18,S,2026-03-18,2026-03-18,USD,ACLASS,47,MIS_REFERENCE_77,D,I,2026-03-18,C,H
003,100000000078,PROD,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19,I,2026-03-19,2026-03-19,2026-03-19,P,1,2026-03-19,1,H,N,2026-03-19,S,2026-03-19,2026-03-19,PEN,ACLASS,4,MIS_REFERENCE_78,D,I,2026-03-19,C,H
