CONTRACT_REF_NO,EVENT_SEQ_NO,ROLE_CODE,SEQ_NO,PAYMENT_MODE,SETTLEMENT_CCY,SETTLEMENT_FCY_AMT,SETTLEMENT_LCY_AMT,SETTLEMENT_ACC_BRN,SETTLEMENT_ACCOUNT,EX_RATE,INSTRUMENT_NO,CLEARING_BANK,CLEARING_BRANCH,ROUTING_NO,END_POINT,PC_CATEGORY,EXTERNAL_ACCOUNT,EXTERNAL_ACC_NAME,CARD_NO,PAYMENT_REF_NO,FLAG_ALLOCATION,VALUE_DATE_BANK,VALUE_DATE_CUST,SECTOR_CODE,PAYMENT_REMARKS,PAY_RECEIVE,MODE_TXN_REF_NO,SOURCE_CODE,EDIT_ALLOWED,LOAN_ACCOUNT_NO,MODE_TXN_STAT,MAT_TD_ACC,TD_AC_CLASS
CONTRACT_REF_NO_,137166,ROLE_CODE_11,157673,PAY,EUR,21951.300,16490.100,100,100000000011,3.28000000,INSTRUMENT_NO_11,CLEA,011,ROUTING_NO_11,END_POINT,PC_C,100000000011,100000000011,933935,PAYMENT_REF_NO_1,F,2026-01-11,2026-01-11,SECTOR_CO,PAYMENT_REMARKS_11,P,MODE_TXN_REF_NO_11,SOURCE_CODE_11,E,100000000011,M,100000000011,TD_AC_
CONTRACT_REF_NO_,523879,ROLE_CODE_12,726376,PAY,BRL,22986.000,22477.400,100,100000000012,0.82000000,INSTRUMENT_NO_12,CLEA,012,ROUTING_NO_12,END_POINT,PC_C,100000000012,100000000012,719068,PAYMENT_REF_NO_1,F,2026-01-12,2026-01-12,SECTOR_CO,PAYMENT_REMARKS_12,P,MODE_TXN_REF_NO_12,SOURCE_CODE_12,E,100000000012,M,100000000012,TD_AC_
CONTRACT_REF_NO_,859487,ROLE_CODE_13,665525,PAY,USD,6904.400,11399.700,100,100000000013,1.05000000,INSTRUMENT_NO_13,CLEA,013,ROUTING_NO_13,END_POINT,PC_C,100000000013,100000000013,313681,PAYMENT_REF_NO_1,F,2026-01-13,2026-01-13,SECTOR_CO,PAYMENT_REMARKS_13,P,MODE_TXN_REF_NO_13,SOURCE_CODE_13,E,100000000013,M,100000000013,TD_AC_
CONTRACT_REF_NO_,893345,ROLE_CODE_14,524252,PAY,PEN,10090.800,94.200,100,100000000014,2.12000000,INSTRUMENT_NO_14,CLEA,014,ROUTING_NO_14,END_POINT,PC_C,100000000014,100000000014,911498,PAYMENT_REF_NO_1,F,2026-01-14,2026-01-14,SECTOR_CO,PAYMENT_REMARKS_14,P,MODE_TXN_REF_NO_14,SOURCE_CODE_14,E,100000000014,M,100000000014,TD_AC_
CONTRACT_REF_NO_,359059,ROLE_CODE_15,611247,PAY,EUR,11106.100,4422.500,100,100000000015,3.96000000,INSTRUMENT_NO_15,CLEA,015,ROUTING_NO_15,END_POINT,PC_C,100000000015,100000000015,418032,PAYMENT_REF_NO_1,F,2026-01-15,2026-01-15,SECTOR_CO,PAYMENT_REMARKS_15,P,MODE_TXN_REF_NO_15,SOURCE_CODE_15,E,100000000015,M,100000000015,TD_AC_
CONTRACT_REF_NO_,626748,ROLE_CODE_16,192305,PAY,BRL,11609.400,19127.300,100,100000000016,1.95000000,INSTRUMENT_NO_16,CLEA,016,ROUTING_NO_16,END_POINT,PC_C,100000000016,100000000016,189669,PAYMENT_REF_NO_1,F,2026-01-16,2026-01-16,SECTOR_CO,PAYMENT_REMARKS_16,P,MODE_TXN_REF_NO_16,SOURCE_CODE_16,E,100000000016,M,100000000016,TD_AC_
CONTRACT_REF_NO_,924507,ROLE_CODE_17,344607,PAY,USD,19728.700,9668.300,100,100000000017,2.31000000,INSTRUMENT_NO_17,CLEA,017,ROUTING_NO_17,END_POINT,PC_C,100000000017,100000000017,971618,PAYMENT_REF_NO_1,F,2026-01-17,2026-01-17,SECTOR_CO,PAYMENT_REMARKS_17,P,MODE_TXN_REF_NO_17,SOURCE_CODE_17,E,100000000017,M,100000000017,TD_AC_
CONTRACT_REF_NO_,147257,ROLE_CODE_18,602444,PAY,PEN,1438.700,12760.200,100,100000000018,4.42000000,INSTRUMENT_NO_18,CLEA,018,ROUTING_NO_18,END_POINT,PC_C,100000000018,100000000018,744276,PAYMENT_REF_NO_1,F,2026-01-18,2026-01-18,SECTOR_CO,PAYMENT_REMARKS_18,P,MODE_TXN_REF_NO_18,SOURCE_CODE_18,E,100000000018,M,100000000018,TD_AC_
CONTRACT_REF_NO_,550961,ROLE_CODE_19,55028,PAY,EUR,598.100,16815.700,100,100000000019,1.63000000,INSTRUMENT_NO_19,CLEA,019,ROUTING_NO_19,END_POINT,PC_C,100000000019,100000000019,689650,PAYMENT_REF_NO_1,F,2026-01-19,2026-01-19,SECTOR_CO,PAYMENT_REMARKS_19,P,MODE_TXN_REF_NO_19,SOURCE_CODE_19,E,100000000019,M,100000000019,TD_AC_
CONTRACT_REF_NO_,34034,ROLE_CODE_20,863070,PAY,BRL,17750.600,19714.000,100,100000000020,1.74000000,INSTRUMENT_NO_20,CLEA,020,ROUTING_NO_20,END_POINT,PC_C,100000000020,100000000020,926978,PAYMENT_REF_NO_2,F,2026-01-20,2026-01-20,SECTOR_CO,PAYMENT_REMARKS_20,P,MODE_TXN_REF_NO_20,SOURCE_CODE_20,E,100000000020,M,100000000020,TD_AC_
CONTRACT_REF_NO_,675200,ROLE_CODE_21,769240,PAY,USD,21261.800,4506.800,100,100000000021,1.77000000,INSTRUMENT_NO_21,CLEA,021,ROUTING_NO_21,END_POINT,PC_C,100000000021,100000000021,132137,PAYMENT_REF_NO_2,F,2026-01-21,2026-01-21,SECTOR_CO,PAYMENT_REMARKS_21,P,MODE_TXN_REF_NO_21,SOURCE_CODE_21,E,100000000021,M,100000000021,TD_AC_
CONTRACT_REF_NO_,849988,ROLE_CODE_22,53132,PAY,PEN,13983.100,8012.600,100,100000000022,2.58000000,INSTRUMENT_NO_22,CLEA,022,ROUTING_NO_22,END_POINT,PC_C,100000000022,100000000022,805182,PAYMENT_REF_NO_2,F,2026-01-22,2026-01-22,SECTOR_CO,PAYMENT_REMARKS_22,P,MODE_TXN_REF_NO_22,SOURCE_CODE_22,E,100000000022,M,100000000022,TD_AC_
CONTRACT_REF_NO_,318583,ROLE_CODE_23,813810,PAY,EUR,6534.200,20915.300,100,100000000023,3.56000000,INSTRUMENT_NO_23,CLEA,023,ROUTING_NO_23,END_POINT,PC_C,100000000023,100000000023,663339,PAYMENT_REF_NO_2,F,2026-01-23,2026-01-23,SECTOR_CO,PAYMENT_REMARKS_23,P,MODE_TXN_REF_NO_23,SOURCE_CODE_23,E,100000000023,M,100000000023,TD_AC_
CONTRACT_REF_NO_,984399,ROLE_CODE_24,311620,PAY,BRL,19714.000,5023.300,100,100000000024,2.91000000,INSTRUMENT_NO_24,CLEA,024,ROUTING_NO_24,END_POINT,PC_C,100000000024,100000000024,335103,PAYMENT_REF_NO_2,F,2026-01-24,2026-01-24,SECTOR_CO,PAYMENT_REMARKS_24,P,MODE_TXN_REF_NO_24,SOURCE_CODE_24,E,100000000024,M,100000000024,TD_AC_
CONTRACT_REF_NO_,690194,ROLE_CODE_25,866428,PAY,USD,22319.700,16940.000,100,100000000025,2.94000000,INSTRUMENT_NO_25,CLEA,025,ROUTING_NO_25,END_POINT,PC_C,100000000025,100000000025,32563,PAYMENT_REF_NO_2,F,2026-01-25,2026-01-25,SECTOR_CO,PAYMENT_REMARKS_25,P,MODE_TXN_REF_NO_25,SOURCE_CODE_25,E,100000000025,M,100000000025,TD_AC_
CONTRACT_REF_NO_,726040,ROLE_CODE_26,960158,PAY,PEN,5412.400,12431.800,100,100000000026,1.27000000,INSTRUMENT_NO_26,CLEA,001,ROUTING_NO_26,END_POINT,PC_C,100000000026,100000000026,482753,PAYMENT_REF_NO_2,F,2026-01-26,2026-01-26,SECTOR_CO,PAYMENT_REMARKS_26,P,MODE_TXN_REF_NO_26,SOURCE_CODE_26,E,100000000026,M,100000000026,TD_AC_
CONTRACT_REF_NO_,86437,ROLE_CODE_27,154647,PAY,EUR,4933.700,10169.100,100,100000000027,4.37000000,INSTRUMENT_NO_27,CLEA,002,ROUTING_NO_27,END_POINT,PC_C,100000000027,100000000027,905590,PAYMENT_REF_NO_2,F,2026-01-27,2026-01-27,SECTOR_CO,PAYMENT_REMARKS_27,P,MODE_TXN_REF_NO_27,SOURCE_CODE_27,E,100000000027,M,100000000027,TD_AC_
CONTRACT_REF_NO_,734882,ROLE_CODE_28,498654,PAY,BRL,10135.500,17640.400,100,100000000028,4.45000000,INSTRUMENT_NO_28,CLEA,003,ROUTING_NO_28,END_POINT,PC_C,100000000028,100000000028,649185,PAYMENT_REF_NO_2,F,2026-01-28,2026-01-28,SECTOR_CO,PAYMENT_REMARKS_28,P,MODE_TXN_REF_NO_28,SOURCE_CODE_28,E,100000000028,M,100000000028,TD_AC_
CONTRACT_REF_NO_,220821,ROLE_CODE_29,903869,PAY,USD,14788.500,4470.900,100,100000000029,2.27000000,INSTRUMENT_NO_29,CLEA,004,ROUTING_NO_29,END_POINT,PC_C,100000000029,100000000029,149558,PAYMENT_REF_NO_2,F,2026-01-29,2026-01-29,SECTOR_CO,PAYMENT_REMARKS_29,P,MODE_TXN_REF_NO_29,SOURCE_CODE_29,E,100000000029,M,100000000029,TD_AC_
CONTRACT_REF_NO_,85631,ROLE_CODE_30,777527,PAY,PEN,15380.900,22963.200,100,100000000030,4.45000000,INSTRUMENT_NO_30,CLEA,005,ROUTING_NO_30,END_POINT,PC_C,100000000030,100000000030,12247,PAYMENT_REF_NO_3,F,2026-01-30,2026-01-30,SECTOR_CO,PAYMENT_REMARKS_30,P,MODE_TXN_REF_NO_30,SOURCE_CODE_30,E,100000000030,M,100000000030,TD_AC_
CONTRACT_REF_NO_,228945,ROLE_CODE_31,981144,PAY,EUR,11470.200,5610.100,100,100000000031,3.17000000,INSTRUMENT_NO_31,CLEA,006,ROUTING_NO_31,END_POINT,PC_C,100000000031,100000000031,813699,PAYMENT_REF_NO_3,F,2026-01-31,2026-01-31,SECTOR_CO,PAYMENT_REMARKS_31,P,MODE_TXN_REF_NO_31,SOURCE_CODE_31,E,100000000031,M,100000000031,TD_AC_
CONTRACT_REF_NO_,550339,ROLE_CODE_32,10100,PAY,BRL,10522.400,4377.500,100,100000000032,3.30000000,INSTRUMENT_NO_32,CLEA,007,ROUTING_NO_32,END_POINT,PC_C,100000000032,100000000032,300697,PAYMENT_REF_NO_3,F,2026-02-01,2026-02-01,SECTOR_CO,PAYMENT_REMARKS_32,P,MODE_TXN_REF_NO_32,SOURCE_CODE_32,E,100000000032,M,100000000032,TD_AC_
CONTRACT_REF_NO_,198245,ROLE_CODE_33,384324,PAY,USD,19473.200,8927.000,100,100000000033,0.99000000,INSTRUMENT_NO_33,CLEA,008,ROUTING_NO_33,END_POINT,PC_C,100000000033,100000000033,266426,PAYMENT_REF_NO_3,F,2026-02-02,2026-02-02,SECTOR_CO,PAYMENT_REMARKS_33,P,MODE_TXN_REF_NO_33,SOURCE_CODE_33,E,100000000033,M,100000000033,TD_AC_
CONTRACT_REF_NO_,788834,ROLE_CODE_34,739719,PAY,PEN,23979.400,20103.200,100,100000000034,2.74000000,INSTRUMENT_NO_34,CLEA,009,ROUTING_NO_34,END_POINT,PC_C,100000000034,100000000034,621576,PAYMENT_REF_NO_3,F,2026-02-03,2026-02-03,SECTOR_CO,PAYMENT_REMARKS_34,P,MODE_TXN_REF_NO_34,SOURCE_CODE_34,E,100000000034,M,100000000034,TD_AC_
CONTRACT_REF_NO_,805566,ROLE_CODE_35,731407,PAY,EUR,17047.800,20145.900,100,100000000035,3.20000000,INSTRUMENT_NO_35,CLEA,010,ROUTING_NO_35,END_POINT,PC_C,100000000035,100000000035,918692,PAYMENT_REF_NO_3,F,2026-02-04,2026-02-04,SECTOR_CO,PAYMENT_REMARKS_35,P,MODE_TXN_REF_NO_35,SOURCE_CODE_35,E,100000000035,M,100000000035,TD_AC_
CONTRACT_REF_NO_,990545,ROLE_CODE_36,351160,PAY,BRL,20412.100,1223.400,100,100000000036,2.48000000,INSTRUMENT_NO_36,CLEA,011,ROUTING_NO_36,END_POINT,PC_C,100000000036,100000000036,489211,PAYMENT_REF_NO_3,F,2026-02-05,2026-02-05,SECTOR_CO,PAYMENT_REMARKS_36,P,MODE_TXN_REF_NO_36,SOURCE_CODE_36,E,100000000036,M,100000000036,TD_AC_
CONTRACT_REF_NO_,444558,ROLE_CODE_37,712514,PAY,USD,2690.900,3829.600,100,100000000037,3.51000000,INSTRUMENT_NO_37,CLEA,012,ROUTING_NO_37,END_POINT,PC_C,100000000037,100000000037,798158,PAYMENT_REF_NO_3,F,2026-02-06,2026-02-06,SECTOR_CO,PAYMENT_REMARKS_37,P,MODE_TXN_REF_NO_37,SOURCE_CODE_37,E,100000000037,M,100000000037,TD_AC_
CONTRACT_REF_NO_,49479,ROLE_CODE_38,667219,PAY,PEN,197002.400,15694.400,100,100000000038,3.51000000,INSTRUMENT_NO_38,CLEA,013,ROUTING_NO_38,END_POINT,PC_C,100000000038,100000000038,963897,PAYMENT_REF_NO_3,F,2026-02-07,2026-02-07,SECTOR_CO,PAYMENT_REMARKS_38,P,MODE_TXN_REF_NO_38,SOURCE_CODE_38,E,100000000038,M,100000000038,TD_AC_
CONTRACT_REF_NO_,709932,ROLE_CODE_39,9534,PAY,EUR,12233.400,20488.100,100,100000000039,3.99000000,INSTRUMENT_NO_39,CLEA,014,ROUTING_NO_39,END_POINT,PC_C,100000000039,100000000039,565422,PAYMENT_REF_NO_3,F,2026-02-08,2026-02-08,SECTOR_CO,PAYMENT_REMARKS_39,P,MODE_TXN_REF_NO_39,SOURCE_CODE_39,E,100000000039,M,100000000039,TD_AC_
CONTRACT_REF_NO_,107559,ROLE_CODE_40,161098,PAY,BRL,24054.600,13665.200,100,100000000040,1.04000000,INSTRUMENT_NO_40,CLEA,015,ROUTING_NO_40,END_POINT,PC_C,100000000040,100000000040,311121,PAYMENT_REF_NO_4,F,2026-02-09,2026-02-09,SECTOR_CO,PAYMENT_REMARKS_40,P,MODE_TXN_REF_NO_40,SOURCE_CODE_40,E,100000000040,M,100000000040,TD_AC_
CONTRACT_REF_NO_,598385,ROLE_CODE_41,973508,PAY,USD,13947.900,23786.600,100,100000000041,1.70000000,INSTRUMENT_NO_41,CLEA,016,ROUTING_NO_41,END_POINT,PC_C,100000000041,100000000041,452750,PAYMENT_REF_NO_4,F,2026-02-10,2026-02-10,SECTOR_CO,PAYMENT_REMARKS_41,P,MODE_TXN_REF_NO_41,SOURCE_CODE_41,E,100000000041,M,100000000041,TD_AC_
CONTRACT_REF_NO_,952223,ROLE_CODE_42,541945,PAY,PEN,2197.200,16464.500,100,100000000042,2.17000000,INSTRUMENT_NO_42,CLEA,017,ROUTING_NO_42,END_POINT,PC_C,100000000042,100000000042,27975,PAYMENT_REF_NO_4,F,2026-02-11,2026-02-11,SECTOR_CO,PAYMENT_REMARKS_42,P,MODE_TXN_REF_NO_42,SOURCE_CODE_42,E,100000000042,M,100000000042,TD_AC_
CONTRACT_REF_NO_,749558,ROLE_CODE_43,487845,PAY,EUR,18275.800,4151.200,100,100000000043,4.39000000,INSTRUMENT_NO_43,CLEA,018,ROUTING_NO_43,END_POINT,PC_C,100000000043,100000000043,260023,PAYMENT_REF_NO_4,F,2026-02-12,2026-02-12,SECTOR_CO,PAYMENT_REMARKS_43,P,MODE_TXN_REF_NO_43,SOURCE_CODE_43,E,100000000043,M,100000000043,TD_AC_
CONTRACT_REF_NO_,80514,ROLE_CODE_44,483975,PAY,BRL,3478.600,21685.600,100,100000000044,2.36000000,INSTRUMENT_NO_44,CLEA,019,ROUTING_NO_44,END_POINT,PC_C,100000000044,100000000044,412958,PAYMENT_REF_NO_4,F,2026-02-13,2026-02-13,SECTOR_CO,PAYMENT_REMARKS_44,P,MODE_TXN_REF_NO_44,SOURCE_CODE_44,E,100000000044,M,100000000044,TD_AC_
CONTRACT_REF_NO_,594253,ROLE_CODE_45,29542,PAY,USD,18090.800,3534.200,100,100000000045,2.89000000,INSTRUMENT_NO_45,CLEA,020,ROUTING_NO_45,END_POINT,PC_C,100000000045,100000000045,718446,PAYMENT_REF_NO_4,F,2026-02-14,2026-02-14,SECTOR_CO,PAYMENT_REMARKS_45,P,MODE_TXN_REF_NO_45,SOURCE_CODE_45,E,100000000045,M,100000000045,TD_AC_
CONTRACT_REF_NO_,236353,ROLE_CODE_46,438880,PAY,PEN,4290.700,21297.600,100,100000000046,2.49000000,INSTRUMENT_NO_46,CLEA,021,ROUTING_NO_46,END_POINT,PC_C,100000000046,100000000046,288791,PAYMENT_REF_NO_4,F,2026-02-15,2026-02-15,SECTOR_CO,PAYMENT_REMARKS_46,P,MODE_TXN_REF_NO_46,SOURCE_CODE_46,E,100000000046,M,100000000046,TD_AC_
CONTRACT_REF_NO_,102630,ROLE_CODE_47,134503,PAY,EUR,8290.100,2742.800,100,100000000047,1.69000000,INSTRUMENT_NO_47,CLEA,022,ROUTING_NO_47,END_POINT,PC_C,100000000047,100000000047,58298,PAYMENT_REF_NO_4,F,2026-02-16,2026-02-16,SECTOR_CO,PAYMENT_REMARKS_47,P,MODE_TXN_REF_NO_47,SOURCE_CODE_47,E,100000000047,M,100000000047,TD_AC_
CONTRACT_REF_NO_,209446,ROLE_CODE_48,809827,PAY,BRL,19164.200,2732.900,100,100000000048,1.38000000,INSTRUMENT_NO_48,CLEA,023,ROUTING_NO_48,END_POINT,PC_C,100000000048,100000000048,498498,PAYMENT_REF_NO_4,F,2026-02-17,2026-02-17,SECTOR_CO,PAYMENT_REMARKS_48,P,MODE_TXN_REF_NO_48,SOURCE_CODE_48,E,100000000048,M,100000000048,TD_AC_
CONTRACT_REF_NO_,667284,ROLE_CODE_49,742356,PAY,USD,14137.300,7436.000,100,100000000049,3.37000000,INSTRUMENT_NO_49,CLEA,024,ROUTING_NO_49,END_POINT,PC_C,100000000049,100000000049,641937,PAYMENT_REF_NO_4,F,2026-02-18,2026-02-18,SECTOR_CO,PAYMENT_REMARKS_49,P,MODE_TXN_REF_NO_49,SOURCE_CODE_49,E,100000000049,M,100000000049,TD_AC_
CONTRACT_REF_NO_,389572,ROLE_CODE_50,593341,PAY,PEN,23406.400,8854.800,100,100000000050,2.60000000,INSTRUMENT_NO_50,CLEA,025,ROUTING_NO_50,END_POINT,PC_C,100000000050,100000000050,904247,PAYMENT_REF_NO_5,F,2026-02-19,2026-02-19,SECTOR_CO,PAYMENT_REMARKS_50,P,MODE_TXN_REF_NO_50,SOURCE_CODE_50,E,100000000050,M,100000000050,TD_AC_
CONTRACT_REF_NO_,276701,ROLE_CODE_51,438419,PAY,EUR,14813.700,6050.900,100,100000000051,1.33000000,INSTRUMENT_NO_51,CLEA,001,ROUTING_NO_51,END_POINT,PC_C,100000000051,100000000051,156110,PAYMENT_REF_NO_5,F,2026-02-20,2026-02-20,SECTOR_CO,PAYMENT_REMARKS_51,P,MODE_TXN_REF_NO_51,SOURCE_CODE_51,E,100000000051,M,100000000051,TD_AC_
CONTRACT_REF_NO_,361516,ROLE_CODE_52,823295,PAY,BRL,1737.000,22960.500,100,100000000052,1.11000000,INSTRUMENT_NO_52,CLEA,002,ROUTING_NO_52,END_POINT,PC_C,100000000052,100000000052,405251,PAYMENT_REF_NO_5,F,2026-02-21,2026-02-21,SECTOR_CO,PAYMENT_REMARKS_52,P,MODE_TXN_REF_NO_52,SOURCE_CODE_52,E,100000000052,M,100000000052,TD_AC_
CONTRACT_REF_NO_,474860,ROLE_CODE_53,778336,PAY,USD,19301.900,10525.500,100,100000000053,2.41000000,INSTRUMENT_NO_53,CLEA,003,ROUTING_NO_53,END_POINT,PC_C,100000000053,100000000053,694182,PAYMENT_REF_NO_5,F,2026-02-22,2026-02-22,SECTOR_CO,PAYMENT_REMARKS_53,P,MODE_TXN_REF_NO_53,SOURCE_CODE_53,E,100000000053,M,100000000053,TD_AC_
CONTRACT_REF_NO_,664301,ROLE_CODE_54,247413,PAY,PEN,20206.300,7047.000,100,100000000054,1.43000000,INSTRUMENT_NO_54,CLEA,004,ROUTING_NO_54,END_POINT,PC_C,100000000054,100000000054,327259,PAYMENT_REF_NO_5,F,2026-02-23,2026-02-23,SECTOR_CO,PAYMENT_REMARKS_54,P,MODE_TXN_REF_NO_54,SOURCE_CODE_54,E,100000000054,M,100000000054,TD_AC_
CONTRACT_REF_NO_,763446,ROLE_CODE_55,660134,PAY,EUR,8106.200,18831.100,100,100000000055,1.41000000,INSTRUMENT_NO_55,CLEA,005,ROUTING_NO_55,END_POINT,PC_C,100000000055,100000000055,799422,PAYMENT_REF_NO_5,F,2026-02-24,2026-02-24,SECTOR_CO,PAYMENT_REMARKS_55,P,MODE_TXN_REF_NO_55,SOURCE_CODE_55,E,100000000055,M,100000000055,TD_AC_
CONTRACT_REF_NO_,211402,ROLE_CODE_56,398559,PAY,BRL,10731.700,18114.300,100,100000000056,4.44000000,INSTRUMENT_NO_56,CLEA,006,ROUTING_NO_56,END_POINT,PC_C,100000000056,100000000056,845104,PAYMENT_REF_NO_5,F,2026-02-25,2026-02-25,SECTOR_CO,PAYMENT_REMARKS_56,P,MODE_TXN_REF_NO_56,SOURCE_CODE_56,E,100000000056,M,100000000056,TD_AC_
CONTRACT_REF_NO_,278724,ROLE_CODE_57,177108,PAY,USD,6065.800,23948.800,100,100000000057,1.81000000,INSTRUMENT_NO_57,CLEA,007,ROUTING_NO_57,END_POINT,PC_C,100000000057,100000000057,306780,PAYMENT_REF_NO_5,F,2026-02-26,2026-02-26,SECTOR_CO,PAYMENT_REMARKS_57,P,MODE_TXN_REF_NO_57,SOURCE_CODE_57,E,100000000057,M,100000000057,TD_AC_
CONTRACT_REF_NO_,592513,ROLE_CODE_58,412962,PAY,PEN,17024.400,24532.400,100,100000000058,3.77000000,INSTRUMENT_NO_58,CLEA,008,ROUTING_NO_58,END_POINT,PC_C,100000000058,100000000058,215034,PAYMENT_REF_NO_5,F,2026-02-27,2026-02-27,SECTOR_CO,PAYMENT_REMARKS_58,P,MODE_TXN_REF_NO_58,SOURCE_CODE_58,E,100000000058,M,100000000058,TD_AC_
