DIRECTION,PRODUCT_CODE,TXN_BRANCH,END_POINT,REFERENCE_NO,REM_CUST,BEN_CUST,REM_ACCOUNT,BEN_ACCOUNT,REM_DETAILS1,REM_DETAILS2,REM_DETAILS3,BENE_DETAILS1,BENE_DETAILS2,BENE_DETAILS3,ACC_BRANCH,ACC_CCY,ACC_CCY_AMT,INSTRUMENT_CCY,INSTRUMENT_AMT,EXCH_RATE,INSTRUMENT_NO_1,INSTRUMENT_NO_2,STATUS,TXN_DATE,INSTRUMENT_DATE,VAL_DATE_BNK,VAL_DATE_CUST,BANK_CODE,BRANCH_CODE,SECTOR_CODE,ROUTING_NO,LATE_CLG_FLG,ERR_CODE,REJECT_REASON,RECORD_STAT,AUTH_STAT,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,XREF,SCODE,SERIAL_NO,ENTRY_NO,MODULE_REFERENCE_NO,EVENT_SEQ_NO,MODULE_CODE,BENE_CCY,MOD_NO,DIN,DIN_DATE,REMARKS,ONCE_AUTH,CONSIDER_FOR_REG_CC,SPL_CHQ_FLG,DEPOSIT_PLACE,LOCAL_CLEARING,DOCUMENT_TYPE,ADDL_RETENTION_DAYS,BULK,OPERATION_CODE,LOT_CORELATIVE_NO,ORG_ACCOUNT,EXT_ACCOUNT,ADJ_AMT,HOUSE_LOCATION,DOC_TRACK_NUM,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,TXN_ID,SAV_CODE,SAV_VAL_STAT
D,CARD,011,END_POINT,TRN000000000011,REM_CUST_11,BEN_CUST_11,100000000011,100000000011,REM_DETAILS1_11,REM_DETAILS2_11,REM_DETAILS3_11,BENE_DETAILS1_11,BENE_DETAILS2_11,BENE_DETAILS3_11,011,EUR,20468.900,EUR,22448.900,1.840000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-11,2026-01-11,2026-01-11,2026-01-11,BANK_CODE,011,SECTOR_CO,ROUTING_NO_11,L,ERR_CODE_11,REJECT_REASON_11,O,A,MAKER_ID_11,2026-01-11,CHECKER_ID_1,2026-01-11,XREF_11,SCODE_11,SERIAL_NO_11,990768,TRN000000000011,235317,MO,EUR,7763,DIN_11,2026-01-11,REMARKS_11,Y,C,S,DEPOSIT_PLACE_11,L,DOCUMENT_TYPE_11,8,B,OPERATI,LOT_CORELATIVE_N,100000000011,100000000011,16172.000,HOUS,DOC_TRACK_NUM_1,DATA_1_11,DATA_2_11,DATA_3_11,DATA_4_11,DATA_5_11,DATA_6_11,DATA_7_11,DATA_8_11,DATA_9_11,C,BATCH_REF_NO_11,WDR,TXN0000000000000011,SAV_,S
D,CLRG,012,END_POINT,TRN000000000012,REM_CUST_12,BEN_CUST_12,100000000012,100000000012,REM_DETAILS1_12,REM_DETAILS2_12,REM_DETAILS3_12,BENE_DETAILS1_12,BENE_DETAILS2_12,BENE_DETAILS3_12,012,BRL,23260.700,BRL,18105.000,3.180000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-12,2026-01-12,2026-01-12,2026-01-12,BANK_CODE,012,SECTOR_CO,ROUTING_NO_12,L,ERR_CODE_12,REJECT_REASON_12,O,A,MAKER_ID_12,2026-01-12,CHECKER_ID_1,2026-01-12,XREF_12,SCODE_12,SERIAL_NO_12,997225,TRN000000000012,352807,MO,BRL,3761,DIN_12,2026-01-12,REMARKS_12,Y,C,S,DEPOSIT_PLACE_12,L,DOCUMENT_TYPE_12,21,B,OPERATI,LOT_CORELATIVE_N,100000000012,100000000012,11899.200,HOUS,DOC_TRACK_NUM_1,DATA_1_12,DATA_2_12,DATA_3_12,DATA_4_12,DATA_5_12,DATA_6_12,DATA_7_12,DATA_8_12,DATA_9_12,C,BATCH_REF_NO_12,TRF,TXN0000000000000012,SAV_,S
D,SAV1,013,END_POINT,TRN000000000013,REM_CUST_13,BEN_CUST_13,100000000013,100000000013,REM_DETAILS1_13,REM_DETAILS2_13,REM_DETAILS3_13,BENE_DETAILS1_13,BENE_DETAILS2_13,BENE_DETAILS3_13,013,USD,946.300,USD,11559.300,2.510000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-13,2026-01-13,2026-01-13,2026-01-13,BANK_CODE,013,SECTOR_CO,ROUTING_NO_13,L,ERR_CODE_13,REJECT_REASON_13,O,A,MAKER_ID_13,2026-01-13,CHECKER_ID_1,2026-01-13,XREF_13,SCODE_13,SERIAL_NO_13,338281,TRN000000000013,631974,MO,USD,3080,DIN_13,2026-01-13,REMARKS_13,Y,C,S,DEPOSIT_PLACE_13,L,DOCUMENT_TYPE_13,12,B,OPERATI,LOT_CORELATIVE_N,100000000013,100000000013,11843.600,HOUS,DOC_TRACK_NUM_1,DATA_1_13,DATA_2_13,DATA_3_13,DATA_4_13,DATA_5_13,DATA_6_13,DATA_7_13,DATA_8_13,DATA_9_13,C,BATCH_REF_NO_13,FEE,TXN0000000000000013,SAV_,S
D,CURR,014,END_POINT,TRN000000000014,REM_CUST_14,BEN_CUST_14,100000000014,100000000014,REM_DETAILS1_14,REM_DETAILS2_14,REM_DETAILS3_14,BENE_DETAILS1_14,BENE_DETAILS2_14,BENE_DETAILS3_14,014,PEN,21735.300,PEN,19073.500,2.110000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-14,2026-01-14,2026-01-14,2026-01-14,BANK_CODE,014,SECTOR_CO,ROUTING_NO_14,L,ERR_CODE_14,REJECT_REASON_14,O,A,MAKER_ID_14,2026-01-14,CHECKER_ID_1,2026-01-14,XREF_14,SCODE_14,SERIAL_NO_14,698540,TRN000000000014,824963,MO,PEN,391,DIN_14,2026-01-14,REMARKS_14,Y,C,S,DEPOSIT_PLACE_14,L,DOCUMENT_TYPE_14,5,B,OPERATI,LOT_CORELATIVE_N,100000000014,100000000014,7347.700,HOUS,DOC_TRACK_NUM_1,DATA_1_14,DATA_2_14,DATA_3_14,DATA_4_14,DATA_5_14,DATA_6_14,DATA_7_14,DATA_8_14,DATA_9_14,C,BATCH_REF_NO_14,INT,TXN0000000000000014,SAV_,S
D,LOAN,015,END_POINT,TRN000000000015,REM_CUST_15,BEN_CUST_15,100000000015,100000000015,REM_DETAILS1_15,REM_DETAILS2_15,REM_DETAILS3_15,BENE_DETAILS1_15,BENE_DETAILS2_15,BENE_DETAILS3_15,015,EUR,5845.300,EUR,3988.100,4.290000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-15,2026-01-15,2026-01-15,2026-01-15,BANK_CODE,015,SECTOR_CO,ROUTING_NO_15,L,ERR_CODE_15,REJECT_REASON_15,O,A,MAKER_ID_15,2026-01-15,CHECKER_ID_1,2026-01-15,XREF_15,SCODE_15,SERIAL_NO_15,866732,TRN000000000015,509245,MO,EUR,803,DIN_15,2026-01-15,REMARKS_15,Y,C,S,DEPOSIT_PLACE_15,L,DOCUMENT_TYPE_15,15,B,OPERATI,LOT_CORELATIVE_N,100000000015,100000000015,23390.600,HOUS,DOC_TRACK_NUM_1,DATA_1_15,DATA_2_15,DATA_3_15,DATA_4_15,DATA_5_15,DATA_6_15,DATA_7_15,DATA_8_15,DATA_9_15,C,BATCH_REF_NO_15,REV,TXN0000000000000015,SAV_,S
D,TD01,016,END_POINT,TRN000000000016,REM_CUST_16,BEN_CUST_16,100000000016,100000000016,REM_DETAILS1_16,REM_DETAILS2_16,REM_DETAILS3_16,BENE_DETAILS1_16,BENE_DETAILS2_16,BENE_DETAILS3_16,016,BRL,4898.500,BRL,23454.900,4.260000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-16,2026-01-16,2026-01-16,2026-01-16,BANK_CODE,016,SECTOR_CO,ROUTING_NO_16,L,ERR_CODE_16,REJECT_REASON_16,O,A,MAKER_ID_16,2026-01-16,CHECKER_ID_1,2026-01-16,XREF_16,SCODE_16,SERIAL_NO_16,594547,TRN000000000016,865206,MO,BRL,1265,DIN_16,2026-01-16,REMARKS_16,Y,C,S,DEPOSIT_PLACE_16,L,DOCUMENT_TYPE_16,25,B,OPERATI,LOT_CORELATIVE_N,100000000016,100000000016,15400.500,HOUS,DOC_TRACK_NUM_1,DATA_1_16,DATA_2_16,DATA_3_16,DATA_4_16,DATA_5_16,DATA_6_16,DATA_7_16,DATA_8_16,DATA_9_16,C,BATCH_REF_NO_16,PAY,TXN0000000000000016,SAV_,S
D,CARD,017,END_POINT,TRN000000000017,REM_CUST_17,BEN_CUST_17,100000000017,100000000017,REM_DETAILS1_17,REM_DETAILS2_17,REM_DETAILS3_17,BENE_DETAILS1_17,BENE_DETAILS2_17,BENE_DETAILS3_17,017,USD,1497.400,USD,15706.000,0.930000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-17,2026-01-17,2026-01-17,2026-01-17,BANK_CODE,017,SECTOR_CO,ROUTING_NO_17,L,ERR_CODE_17,REJECT_REASON_17,O,A,MAKER_ID_17,2026-01-17,CHECKER_ID_1,2026-01-17,XREF_17,SCODE_17,SERIAL_NO_17,404958,TRN000000000017,580989,MO,USD,3946,DIN_17,2026-01-17,REMARKS_17,Y,C,S,DEPOSIT_PLACE_17,L,DOCUMENT_TYPE_17,34,B,OPERATI,LOT_CORELATIVE_N,100000000017,100000000017,20172.400,HOUS,DOC_TRACK_NUM_1,DATA_1_17,DATA_2_17,DATA_3_17,DATA_4_17,DATA_5_17,DATA_6_17,DATA_7_17,DATA_8_17,DATA_9_17,C,BATCH_REF_NO_17,ATM,TXN0000000000000017,SAV_,S
D,CLRG,018,END_POINT,TRN000000000018,REM_CUST_18,BEN_CUST_18,100000000018,100000000018,REM_DETAILS1_18,REM_DETAILS2_18,REM_DETAILS3_18,BENE_DETAILS1_18,BENE_DETAILS2_18,BENE_DETAILS3_18,018,PEN,15788.600,PEN,3734.800,0.920000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-18,2026-01-18,2026-01-18,2026-01-18,BANK_CODE,018,SECTOR_CO,ROUTING_NO_18,L,ERR_CODE_18,REJECT_REASON_18,O,A,MAKER_ID_18,2026-01-18,CHECKER_ID_1,2026-01-18,XREF_18,SCODE_18,SERIAL_NO_18,403357,TRN000000000018,344217,MO,PEN,9543,DIN_18,2026-01-18,REMARKS_18,Y,C,S,DEPOSIT_PLACE_18,L,DOCUMENT_TYPE_18,4,B,OPERATI,LOT_CORELATIVE_N,100000000018,100000000018,8212.400,HOUS,DOC_TRACK_NUM_1,DATA_1_18,DATA_2_18,DATA_3_18,DATA_4_18,DATA_5_18,DATA_6_18,DATA_7_18,DATA_8_18,DATA_9_18,C,BATCH_REF_NO_18,DEP,TXN0000000000000018,SAV_,S
D,SAV1,019,END_POINT,TRN000000000019,REM_CUST_19,BEN_CUST_19,100000000019,100000000019,REM_DETAILS1_19,REM_DETAILS2_19,REM_DETAILS3_19,BENE_DETAILS1_19,BENE_DETAILS2_19,BENE_DETAILS3_19,019,EUR,6446.900,EUR,18373.800,3.050000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-19,2026-01-19,2026-01-19,2026-01-19,BANK_CODE,019,SECTOR_CO,ROUTING_NO_19,L,ERR_CODE_19,REJECT_REASON_19,O,A,MAKER_ID_19,2026-01-19,CHECKER_ID_1,2026-01-19,XREF_19,SCODE_19,SERIAL_NO_19,100883,TRN000000000019,555964,MO,EUR,3299,DIN_19,2026-01-19,REMARKS_19,Y,C,S,DEPOSIT_PLACE_19,L,DOCUMENT_TYPE_19,6,B,OPERATI,LOT_CORELATIVE_N,100000000019,100000000019,4309.400,HOUS,DOC_TRACK_NUM_1,DATA_1_19,DATA_2_19,DATA_3_19,DATA_4_19,DATA_5_19,DATA_6_19,DATA_7_19,DATA_8_19,DATA_9_19,C,BATCH_REF_NO_19,WDR,TXN0000000000000019,SAV_,S
D,CURR,020,END_POINT,TRN000000000020,REM_CUST_20,BEN_CUST_20,100000000020,100000000020,REM_DETAILS1_20,REM_DETAILS2_20,REM_DETAILS3_20,BENE_DETAILS1_20,BENE_DETAILS2_20,BENE_DETAILS3_20,020,BRL,205.700,BRL,7747.000,1.940000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-20,2026-01-20,2026-01-20,2026-01-20,BANK_CODE,020,SECTOR_CO,ROUTING_NO_20,L,ERR_CODE_20,REJECT_REASON_20,O,A,MAKER_ID_20,2026-01-20,CHECKER_ID_2,2026-01-20,XREF_20,SCODE_20,SERIAL_NO_20,117215,TRN000000000020,997581,MO,BRL,9659,DIN_20,2026-01-20,REMARKS_20,Y,C,S,DEPOSIT_PLACE_20,L,DOCUMENT_TYPE_20,17,B,OPERATI,LOT_CORELATIVE_N,100000000020,100000000020,7501.600,HOUS,DOC_TRACK_NUM_2,DATA_1_20,DATA_2_20,DATA_3_20,DATA_4_20,DATA_5_20,DATA_6_20,DATA_7_20,DATA_8_20,DATA_9_20,C,BATCH_REF_NO_20,TRF,TXN0000000000000020,SAV_,S
D,LOAN,021,END_POINT,TRN000000000021,REM_CUST_21,BEN_CUST_21,100000000021,100000000021,REM_DETAILS1_21,REM_DETAILS2_21,REM_DETAILS3_21,BENE_DETAILS1_21,BENE_DETAILS2_21,BENE_DETAILS3_21,021,USD,9377.300,USD,17850.500,2.220000000000,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,STAT,2026-01-21,2026-01-21,2026-01-21,2026-01-21,BANK_CODE,021,SECTOR_CO,ROUTING_NO_21,L,ERR_CODE_21,REJECT_REASON_21,O,A,MAKER_ID_21,2026-01-21,CHECKER_ID_2,2026-01-21,XREF_21,SCODE_21,SERIAL_NO_21,642573,TRN000000000021,921381,MO,USD,9178,DIN_21,2026-01-21,REMARKS_21,Y,C,S,DEPOSIT_PLACE_21,L,DOCUMENT_TYPE_21,14,B,OPERATI,LOT_CORELATIVE_N,100000000021,100000000021,21363.600,HOUS,DOC_TRACK_NUM_2,DATA_1_21,DATA_2_21,DATA_3_21,DATA_4_21,DATA_5_21,DATA_6_21,DATA_7_21,DATA_8_21,DATA_9_21,C,BATCH_REF_NO_21,FEE,TXN0000000000000021,SAV_,S
