TXN_ID,TXN_MODE,MSG_SEQ_NO,TRANS_DATE,PROCESSED_DATE,SOUCE_CODE,MSG_TYPE_CODE,SCR_FI_NO,SCR_TERM_NO,SCR_SEQ_NO,TRANS_CODE,TRANS_SIGN,SCR_TERM_TYPE,SCR_BUSN_DATE,SCR_ABA_NO,SCR_BRANCH_NO,SCR_RCPT_NO,SCR_PASS_THRU,HOST_2_REG_DATA,FORCE_IND,REVERSAL_IND,TRANS_AC_NO,FC_AC_BRANCH,FC_AC_NO,TRANS_AMOUNT,TRANS_AMOUNT_SIGN,TRANS_CCY,FIN_INST_NO,HOST_BUSN_DATE,STND_AUTH_TYPE,STND_AUTH_MTHD,STND_RESULT_CODE,TRACK_DATA,CARD_APP_CD,CARD_NO,MSG_CODE,OTH_FI_NO,OTH_APP_CD,INTERNAL_IND,PAY_CD,PAY_ACC,COMPL_DATA,TRN_REF_NO,TRANS_STATUS,TRANS_MATCH_STATUS,REV_TXN_ID,REC_TYPE,AC_AVL_BAL,AC_AVL_BAL_SIGN,AC_CURR_BAL,AC_CURR_BAL_SIGN,ERR_CODE,ERR_PARAM,EXTENDED_CODE,TRN_DAY,JOB_NO,DD_LAST_UPD,DD_CREATION_DT,DD_ID
TXN0000000000000011,T,19738,2026-01-11,2026-01-11,SOUCE_CODE_11,MS,SCR_FI_NO_1,SCR_TERM,963938,TRANS_,T,SC,2026-01-11,SCR_ABA_NO_,011,SCR_RCPT_N,SCR_PASS_THRU_11,HOST_2_REG_DATA_11,Y,N,TRANS_AC_NO_11,011,FC_AC_NO_11,11972.000,T,EUR,FIN_INST_NO,2026-01-11,S,S,STND,TRACK_DATA_11,CA,CARD_NO_11,7886,OTH_FI_NO_1,OT,3,PAY_,100000000011,COMPL_DATA_11,TRN000000000011,A,A,REV_TXN_ID_11,REC_TYPE_11,16731.100,27,18161.900,20,ERR_CODE_11,ERR_PARAM_11,EXTEN,4,11,2026-01-11 10:10:00,2026-01-11 10:10:00,11
TXN0000000000000012,T,232386,2026-01-12,2026-01-12,SOUCE_CODE_12,MS,SCR_FI_NO_1,SCR_TERM,124595,TRANS_,T,SC,2026-01-12,SCR_ABA_NO_,012,SCR_RCPT_N,SCR_PASS_THRU_12,HOST_2_REG_DATA_12,N,N,TRANS_AC_NO_12,012,FC_AC_NO_12,8799.800,T,BRL,FIN_INST_NO,2026-01-12,S,S,STND,TRACK_DATA_12,CA,CARD_NO_12,6894,OTH_FI_NO_1,OT,6,PAY_,100000000012,COMPL_DATA_12,TRN000000000012,A,A,REV_TXN_ID_12,REC_TYPE_12,8667.400,43,17531.900,52,ERR_CODE_12,ERR_PARAM_12,EXTEN,4,12,2026-01-12 11:17:00,2026-01-12 11:17:00,12
TXN0000000000000013,T,978001,2026-01-13,2026-01-13,SOUCE_CODE_13,MS,SCR_FI_NO_1,SCR_TERM,890093,TRANS_,T,SC,2026-01-13,SCR_ABA_NO_,013,SCR_RCPT_N,SCR_PASS_THRU_13,HOST_2_REG_DATA_13,N,N,TRANS_AC_NO_13,013,FC_AC_NO_13,1095.400,T,USD,FIN_INST_NO,2026-01-13,S,S,STND,TRACK_DATA_13,CA,CARD_NO_13,7242,OTH_FI_NO_1,OT,9,PAY_,100000000013,COMPL_DATA_13,TRN000000000013,A,A,REV_TXN_ID_13,REC_TYPE_13,9468.500,17,8116.400,37,ERR_CODE_13,ERR_PARAM_13,EXTEN,8,13,2026-01-13 12:24:00,2026-01-13 12:24:00,13
TXN0000000000000014,T,324773,2026-01-14,2026-01-14,SOUCE_CODE_14,MS,SCR_FI_NO_1,SCR_TERM,22185,TRANS_,T,SC,2026-01-14,SCR_ABA_NO_,014,SCR_RCPT_N,SCR_PASS_THRU_14,HOST_2_REG_DATA_14,N,N,TRANS_AC_NO_14,014,FC_AC_NO_14,21415.200,T,PEN,FIN_INST_NO,2026-01-14,S,S,STND,TRACK_DATA_14,CA,CARD_NO_14,8038,OTH_FI_NO_1,OT,9,PAY_,100000000014,COMPL_DATA_14,TRN000000000014,A,A,REV_TXN_ID_14,REC_TYPE_14,23090.700,35,1674.700,10,ERR_CODE_14,ERR_PARAM_14,EXTEN,6,14,2026-01-14 13:31:00,2026-01-14 13:31:00,14
TXN0000000000000015,T,241289,2026-01-15,2026-01-15,SOUCE_CODE_15,MS,SCR_FI_NO_1,SCR_TERM,919013,TRANS_,T,SC,2026-01-15,SCR_ABA_NO_,015,SCR_RCPT_N,SCR_PASS_THRU_15,HOST_2_REG_DATA_15,N,N,TRANS_AC_NO_15,015,FC_AC_NO_15,12439.600,T,EUR,FIN_INST_NO,2026-01-15,S,S,STND,TRACK_DATA_15,CA,CARD_NO_15,2275,OTH_FI_NO_1,OT,1,PAY_,100000000015,COMPL_DATA_15,TRN000000000015,A,A,REV_TXN_ID_15,REC_TYPE_15,24092.500,58,24410.600,42,ERR_CODE_15,ERR_PARAM_15,EXTEN,2,15,2026-01-15 14:38:00,2026-01-15 14:38:00,15
TXN0000000000000016,T,274623,2026-01-16,2026-01-16,SOUCE_CODE_16,MS,SCR_FI_NO_1,SCR_TERM,235279,TRANS_,T,SC,2026-01-16,SCR_ABA_NO_,016,SCR_RCPT_N,SCR_PASS_THRU_16,HOST_2_REG_DATA_16,Y,N,TRANS_AC_NO_16,016,FC_AC_NO_16,8096.200,T,BRL,FIN_INST_NO,2026-01-16,S,S,STND,TRACK_DATA_16,CA,CARD_NO_16,5082,OTH_FI_NO_1,OT,3,PAY_,100000000016,COMPL_DATA_16,TRN000000000016,A,A,REV_TXN_ID_16,REC_TYPE_16,5889.500,32,5807.800,74,ERR_CODE_16,ERR_PARAM_16,EXTEN,5,16,2026-01-16 15:45:00,2026-01-16 15:45:00,16
TXN0000000000000017,T,374693,2026-01-17,2026-01-17,SOUCE_CODE_17,MS,SCR_FI_NO_1,SCR_TERM,920803,TRANS_,T,SC,2026-01-17,SCR_ABA_NO_,017,SCR_RCPT_N,SCR_PASS_THRU_17,HOST_2_REG_DATA_17,N,N,TRANS_AC_NO_17,017,FC_AC_NO_17,21567.700,T,USD,FIN_INST_NO,2026-01-17,S,S,STND,TRACK_DATA_17,CA,CARD_NO_17,2719,OTH_FI_NO_1,OT,6,PAY_,100000000017,COMPL_DATA_17,TRN000000000017,A,A,REV_TXN_ID_17,REC_TYPE_17,4444.600,12,5524.700,7,ERR_CODE_17,ERR_PARAM_17,EXTEN,8,17,2026-01-17 16:52:00,2026-01-17 16:52:00,17
TXN0000000000000018,T,654764,2026-01-18,2026-01-18,SOUCE_CODE_18,MS,SCR_FI_NO_1,SCR_TERM,372187,TRANS_,T,SC,2026-01-18,SCR_ABA_NO_,018,SCR_RCPT_N,SCR_PASS_THRU_18,HOST_2_REG_DATA_18,N,N,TRANS_AC_NO_18,018,FC_AC_NO_18,1186.600,T,PEN,FIN_INST_NO,2026-01-18,S,S,STND,TRACK_DATA_18,CA,CARD_NO_18,5340,OTH_FI_NO_1,OT,9,PAY_,100000000018,COMPL_DATA_18,TRN000000000018,F,F,REV_TXN_ID_18,REC_TYPE_18,17027.000,29,7178.000,87,ERR_CODE_18,ERR_PARAM_18,EXTEN,9,18,2026-01-18 17:59:00,2026-01-18 17:59:00,18
TXN0000000000000019,T,555310,2026-01-19,2026-01-19,SOUCE_CODE_19,MS,SCR_FI_NO_1,SCR_TERM,589098,TRANS_,T,SC,2026-01-19,SCR_ABA_NO_,019,SCR_RCPT_N,SCR_PASS_THRU_19,HOST_2_REG_DATA_19,N,N,TRANS_AC_NO_19,019,FC_AC_NO_19,19610.000,T,EUR,FIN_INST_NO,2026-01-19,S,S,STND,TRACK_DATA_19,CA,CARD_NO_19,6141,OTH_FI_NO_1,OT,7,PAY_,100000000019,COMPL_DATA_19,TRN000000000019,A,A,REV_TXN_ID_19,REC_TYPE_19,13259.600,67,13941.400,12,ERR_CODE_19,ERR_PARAM_19,EXTEN,5,19,2026-01-19 18:06:00,2026-01-19 18:06:00,19
TXN0000000000000020,T,758082,2026-01-20,2026-01-20,SOUCE_CODE_20,MS,SCR_FI_NO_2,SCR_TERM,290944,TRANS_,T,SC,2026-01-20,SCR_ABA_NO_,020,SCR_RCPT_N,SCR_PASS_THRU_20,HOST_2_REG_DATA_20,N,Y,TRANS_AC_NO_20,020,FC_AC_NO_20,11716.700,T,BRL,FIN_INST_NO,2026-01-20,S,S,STND,TRACK_DATA_20,CA,CARD_NO_20,780,OTH_FI_NO_2,OT,8,PAY_,100000000020,COMPL_DATA_20,TRN000000000020,A,A,REV_TXN_ID_20,REC_TYPE_20,7386.100,17,11714.800,88,ERR_CODE_20,ERR_PARAM_20,EXTEN,5,20,2026-01-20 19:13:00,2026-01-20 19:13:00,20
TXN0000000000000021,T,299621,2026-01-21,2026-01-21,SOUCE_CODE_21,MS,SCR_FI_NO_2,SCR_TERM,365032,TRANS_,T,SC,2026-01-21,SCR_ABA_NO_,021,SCR_RCPT_N,SCR_PASS_THRU_21,HOST_2_REG_DATA_21,Y,N,TRANS_AC_NO_21,021,FC_AC_NO_21,19699.700,T,USD,FIN_INST_NO,2026-01-21,S,S,STND,TRACK_DATA_21,CA,CARD_NO_21,2699,OTH_FI_NO_2,OT,7,PAY_,100000000021,COMPL_DATA_21,TRN000000000021,A,A,REV_TXN_ID_21,REC_TYPE_21,5760.100,82,18676.900,54,ERR_CODE_21,ERR_PARAM_21,EXTEN,2,21,2026-01-21 20:20:00,2026-01-21 20:20:00,21
TXN0000000000000022,T,196255,2026-01-22,2026-01-22,SOUCE_CODE_22,MS,SCR_FI_NO_2,SCR_TERM,576232,TRANS_,T,SC,2026-01-22,SCR_ABA_NO_,022,SCR_RCPT_N,SCR_PASS_THRU_22,HOST_2_REG_DATA_22,N,N,TRANS_AC_NO_22,022,FC_AC_NO_22,7523.500,T,PEN,FIN_INST_NO,2026-01-22,S,S,STND,TRACK_DATA_22,CA,CARD_NO_22,1330,OTH_FI_NO_2,OT,4,PAY_,100000000022,COMPL_DATA_22,TRN000000000022,A,A,REV_TXN_ID_22,REC_TYPE_22,1299.300,22,5713.100,98,ERR_CODE_22,ERR_PARAM_22,EXTEN,8,22,2026-01-22 21:27:00,2026-01-22 21:27:00,22
TXN0000000000000023,T,642033,2026-01-23,2026-01-23,SOUCE_CODE_23,MS,SCR_FI_NO_2,SCR_TERM,290744,TRANS_,T,SC,2026-01-23,SCR_ABA_NO_,023,SCR_RCPT_N,SCR_PASS_THRU_23,HOST_2_REG_DATA_23,N,N,TRANS_AC_NO_23,023,FC_AC_NO_23,8971.300,T,EUR,FIN_INST_NO,2026-01-23,S,S,STND,TRACK_DATA_23,CA,CARD_NO_23,6084,OTH_FI_NO_2,OT,5,PAY_,100000000023,COMPL_DATA_23,TRN000000000023,A,A,REV_TXN_ID_23,REC_TYPE_23,8918.900,59,9472.800,74,ERR_CODE_23,ERR_PARAM_23,EXTEN,4,23,2026-01-23 22:34:00,2026-01-23 22:34:00,23
TXN0000000000000024,T,373205,2026-01-24,2026-01-24,SOUCE_CODE_24,MS,SCR_FI_NO_2,SCR_TERM,573647,TRANS_,T,SC,2026-01-24,SCR_ABA_NO_,024,SCR_RCPT_N,SCR_PASS_THRU_24,HOST_2_REG_DATA_24,N,N,TRANS_AC_NO_24,024,FC_AC_NO_24,14041.500,T,BRL,FIN_INST_NO,2026-01-24,S,S,STND,TRACK_DATA_24,CA,CARD_NO_24,6752,OTH_FI_NO_2,OT,3,PAY_,100000000024,COMPL_DATA_24,TRN000000000024,A,A,REV_TXN_ID_24,REC_TYPE_24,9129.100,50,18084.900,57,ERR_CODE_24,ERR_PARAM_24,EXTEN,1,24,2026-01-24 23:41:00,2026-01-24 23:41:00,24
TXN0000000000000025,T,316777,2026-01-25,2026-01-25,SOUCE_CODE_25,MS,SCR_FI_NO_2,SCR_TERM,138845,TRANS_,T,SC,2026-01-25,SCR_ABA_NO_,025,SCR_RCPT_N,SCR_PASS_THRU_25,HOST_2_REG_DATA_25,N,N,TRANS_AC_NO_25,025,FC_AC_NO_25,9438.000,T,USD,FIN_INST_NO,2026-01-25,S,S,STND,TRACK_DATA_25,CA,CARD_NO_25,8329,OTH_FI_NO_2,OT,4,PAY_,100000000025,COMPL_DATA_25,TRN000000000025,A,A,REV_TXN_ID_25,REC_TYPE_25,715.000,13,808.100,56,ERR_CODE_25,ERR_PARAM_25,EXTEN,8,25,2026-01-25 00:48:00,2026-01-25 00:48:00,25
TXN0000000000000026,T,379904,2026-01-26,2026-01-26,SOUCE_CODE_26,MS,SCR_FI_NO_2,SCR_TERM,442579,TRANS_,T,SC,2026-01-26,SCR_ABA_NO_,001,SCR_RCPT_N,SCR_PASS_THRU_26,HOST_2_REG_DATA_26,Y,N,TRANS_AC_NO_26,001,FC_AC_NO_26,21257.100,T,PEN,FIN_INST_NO,2026-01-26,S,S,STND,TRACK_DATA_26,CA,CARD_NO_26,2319,OTH_FI_NO_2,OT,6,PAY_,100000000026,COMPL_DATA_26,TRN000000000026,A,A,REV_TXN_ID_26,REC_TYPE_26,7503.500,78,14718.900,9,ERR_CODE_26,ERR_PARAM_26,EXTEN,6,26,2026-01-26 01:55:00,2026-01-26 01:55:00,26
TXN0000000000000027,T,505176,2026-01-27,2026-01-27,SOUCE_CODE_27,MS,SCR_FI_NO_2,SCR_TERM,265199,TRANS_,T,SC,2026-01-27,SCR_ABA_NO_,002,SCR_RCPT_N,SCR_PASS_THRU_27,HOST_2_REG_DATA_27,N,N,TRANS_AC_NO_27,002,FC_AC_NO_27,15330.200,T,EUR,FIN_INST_NO,2026-01-27,S,S,STND,TRACK_DATA_27,CA,CARD_NO_27,1165,OTH_FI_NO_2,OT,3,PAY_,100000000027,COMPL_DATA_27,TRN000000000027,A,A,REV_TXN_ID_27,REC_TYPE_27,10994.900,75,8703.300,69,ERR_CODE_27,ERR_PARAM_27,EXTEN,0,27,2026-01-27 02:02:00,2026-01-27 02:02:00,27
TXN0000000000000028,T,565329,2026-01-28,2026-01-28,SOUCE_CODE_28,MS,SCR_FI_NO_2,SCR_TERM,593316,TRANS_,T,SC,2026-01-28,SCR_ABA_NO_,003,SCR_RCPT_N,SCR_PASS_THRU_28,HOST_2_REG_DATA_28,N,N,TRANS_AC_NO_28,003,FC_AC_NO_28,3717.300,T,BRL,FIN_INST_NO,2026-01-28,S,S,STND,TRACK_DATA_28,CA,CARD_NO_28,6616,OTH_FI_NO_2,OT,6,PAY_,100000000028,COMPL_DATA_28,TRN000000000028,A,A,REV_TXN_ID_28,REC_TYPE_28,1784.300,7,1865.000,4,ERR_CODE_28,ERR_PARAM_28,EXTEN,8,28,2026-01-28 03:09:00,2026-01-28 03:09:00,28
TXN0000000000000029,T,968410,2026-01-29,2026-01-29,SOUCE_CODE_29,MS,SCR_FI_NO_2,SCR_TERM,26040,TRANS_,T,SC,2026-01-29,SCR_ABA_NO_,004,SCR_RCPT_N,SCR_PASS_THRU_29,HOST_2_REG_DATA_29,N,N,TRANS_AC_NO_29,004,FC_AC_NO_29,15975.200,T,USD,FIN_INST_NO,2026-01-29,S,S,STND,TRACK_DATA_29,CA,CARD_NO_29,1285,OTH_FI_NO_2,OT,2,PAY_,100000000029,COMPL_DATA_29,TRN000000000029,A,A,REV_TXN_ID_29,REC_TYPE_29,8816.000,52,8566.200,13,ERR_CODE_29,ERR_PARAM_29,EXTEN,0,29,2026-01-29 04:16:00,2026-01-29 04:16:00,29
TXN0000000000000030,T,44201,2026-01-30,2026-01-30,SOUCE_CODE_30,MS,SCR_FI_NO_3,SCR_TERM,759044,TRANS_,T,SC,2026-01-30,SCR_ABA_NO_,005,SCR_RCPT_N,SCR_PASS_THRU_30,HOST_2_REG_DATA_30,N,N,TRANS_AC_NO_30,005,FC_AC_NO_30,2863.800,T,PEN,FIN_INST_NO,2026-01-30,S,S,STND,TRACK_DATA_30,CA,CARD_NO_30,1883,OTH_FI_NO_3,OT,3,PAY_,100000000030,COMPL_DATA_30,TRN000000000030,A,A,REV_TXN_ID_30,REC_TYPE_30,14231.000,96,13864.300,70,ERR_CODE_30,ERR_PARAM_30,EXTEN,5,30,2026-01-30 05:23:00,2026-01-30 05:23:00,30
TXN0000000000000031,T,914551,2026-01-31,2026-01-31,SOUCE_CODE_31,MS,SCR_FI_NO_3,SCR_TERM,831953,TRANS_,T,SC,2026-01-31,SCR_ABA_NO_,006,SCR_RCPT_N,SCR_PASS_THRU_31,HOST_2_REG_DATA_31,Y,N,TRANS_AC_NO_31,006,FC_AC_NO_31,16420.900,T,EUR,FIN_INST_NO,2026-01-31,S,S,STND,TRACK_DATA_31,CA,CARD_NO_31,7500,OTH_FI_NO_3,OT,9,PAY_,100000000031,COMPL_DATA_31,TRN000000000031,A,A,REV_TXN_ID_31,REC_TYPE_31,3663.000,14,6881.500,91,ERR_CODE_31,ERR_PARAM_31,EXTEN,5,31,2026-01-31 06:30:00,2026-01-31 06:30:00,31
TXN0000000000000032,T,721968,2026-02-01,2026-02-01,SOUCE_CODE_32,MS,SCR_FI_NO_3,SCR_TERM,474540,TRANS_,T,SC,2026-02-01,SCR_ABA_NO_,007,SCR_RCPT_N,SCR_PASS_THRU_32,HOST_2_REG_DATA_32,N,N,TRANS_AC_NO_32,007,FC_AC_NO_32,1384.900,T,BRL,FIN_INST_NO,2026-02-01,S,S,STND,TRACK_DATA_32,CA,CARD_NO_32,3562,OTH_FI_NO_3,OT,7,PAY_,100000000032,COMPL_DATA_32,TRN000000000032,A,A,REV_TXN_ID_32,REC_TYPE_32,23798.900,54,7980.300,83,ERR_CODE_32,ERR_PARAM_32,EXTEN,1,32,2026-02-01 07:37:00,2026-02-01 07:37:00,32
TXN0000000000000033,T,440934,2026-02-02,2026-02-02,SOUCE_CODE_33,MS,SCR_FI_NO_3,SCR_TERM,986428,TRANS_,T,SC,2026-02-02,SCR_ABA_NO_,008,SCR_RCPT_N,SCR_PASS_THRU_33,HOST_2_REG_DATA_33,N,N,TRANS_AC_NO_33,008,FC_AC_NO_33,6610.700,T,USD,FIN_INST_NO,2026-02-02,S,S,STND,TRACK_DATA_33,CA,CARD_NO_33,2864,OTH_FI_NO_3,OT,3,PAY_,100000000033,COMPL_DATA_33,TRN000000000033,A,A,REV_TXN_ID_33,REC_TYPE_33,14034.400,35,8276.400,2,ERR_CODE_33,ERR_PARAM_33,EXTEN,6,33,2026-02-02 08:44:00,2026-02-02 08:44:00,33
TXN0000000000000034,T,339145,2026-02-03,2026-02-03,SOUCE_CODE_34,MS,SCR_FI_NO_3,SCR_TERM,749425,TRANS_,T,SC,2026-02-03,SCR_ABA_NO_,009,SCR_RCPT_N,SCR_PASS_THRU_34,HOST_2_REG_DATA_34,N,N,TRANS_AC_NO_34,009,FC_AC_NO_34,19566.100,T,PEN,FIN_INST_NO,2026-02-03,S,S,STND,TRACK_DATA_34,CA,CARD_NO_34,7599,OTH_FI_NO_3,OT,7,PAY_,100000000034,COMPL_DATA_34,TRN000000000034,A,A,REV_TXN_ID_34,REC_TYPE_34,13443.000,33,23358.700,86,ERR_CODE_34,ERR_PARAM_34,EXTEN,0,34,2026-02-03 09:51:00,2026-02-03 09:51:00,34
